feature_name,raw_gain,percentage_share
pca_embed_0,22.447781397843663,22.447781397843663
pca_embed_5,13.098442523488513,13.098442523488513
pca_embed_1,7.032977702884155,7.032977702884155
pca_embed_2,4.629221698820014,4.629221698820014
pca_embed_3,4.151436765988942,4.151436765988942
pca_embed_16,3.9043528212576324,3.9043528212576324
pca_embed_4,2.5358271794055667,2.5358271794055667
pca_embed_12,2.3115278848422447,2.3115278848422447
pca_embed_10,2.2103683684998536,2.2103683684998536
pca_embed_7,2.0406285495049405,2.0406285495049405
pca_embed_6,1.9232377214327552,1.9232377214327552
pca_embed_17,1.8247906959960998,1.8247906959960998
pca_embed_11,1.7979934407163063,1.7979934407163063
pca_embed_9,1.783999230183048,1.783999230183048
total_day_charge,1.7378751717488992,1.7378751717488994
state,1.6561572246006442,1.6561572246006442
pca_embed_14,1.6553762011557818,1.6553762011557818
international_plan,1.6165756613230688,1.6165756613230688
total_day_calls,1.5119662371501135,1.5119662371501135
pca_embed_8,1.3927212816024983,1.3927212816024983
pca_embed_13,1.3311892545122628,1.3311892545122628
total_intl_minutes,1.3207397075184588,1.3207397075184588
total_eve_calls,1.319789143358746,1.319789143358746
pca_embed_18,1.313278001976087,1.313278001976087
total_intl_calls,1.2770514985897046,1.2770514985897046
pca_embed_15,1.2232921481066839,1.2232921481066839
total_intl_charge,1.1868075880043398,1.1868075880043398
total_night_charge,1.1627946886898386,1.1627946886898386
number_customer_service_calls,1.047929826522399,1.047929826522399
account_length,1.0415578655137558,1.0415578655137558
total_day_minutes,1.0072817141425807,1.0072817141425807
number_vmail_messages,0.9761965731218305,0.9761965731218305
total_night_minutes,0.9021790061162406,0.9021790061162405
total_eve_charge,0.8640935332570514,0.8640935332570513
total_night_calls,0.7737464476549877,0.7737464476549877
total_eve_minutes,0.748239408299242,0.748239408299242
voice_mail_plan,0.6647019455987032,0.6647019455987032
area_code,0.5758738905723495,0.5758738905723495
