feature_name,raw_gain,percentage_share
TIME_B_S,8.113684204151781,8.113684204151783
AGE,5.909065425611872,5.909065425611874
ZSN_A,5.8362594914348,5.836259491434801
R_AB_3_n,5.776375649224018,5.77637564922402
NA_R_3_n,4.4242807559946975,4.424280755994698
ant_im,4.243318134052315,4.243318134052316
NOT_NA_3_n,3.8575850273426955,3.8575850273426964
L_BLOOD,3.7574724210655743,3.757472421065575
NA_R_2_n,2.5186894705639062,2.518689470563907
NOT_NA_KB,2.48835129570785,2.488351295707851
D_AD_ORIT,2.3900972397993216,2.3900972397993225
NITR_S,2.1574152807887765,2.157415280788777
S_AD_ORIT,2.148519855200944,2.148519855200945
NA_KB,1.973952647310233,1.9739526473102336
IBS_POST,1.8638396829834751,1.8638396829834758
ritm_ecg_p_01,1.6859649506811436,1.685964950681144
NOT_NA_2_n,1.665927549473305,1.6659275494733055
LID_KB,1.6515218772764462,1.6515218772764466
inf_im,1.596095859958167,1.5960958599581674
GIPO_K,1.5343366901109152,1.5343366901109157
R_AB_2_n,1.3995588378611852,1.3995588378611856
ROE,1.3724976718787811,1.3724976718787816
SEX,1.359087217781807,1.3590872177818074
ritm_ecg_p_07,1.2463332867491106,1.2463332867491108
GEPAR_S_n,1.2402167053146969,1.240216705314697
ALT_BLOOD,1.201756199557578,1.2017561995575785
lat_im,1.1816754981458495,1.18167549814585
zab_leg_02,1.1747710273006364,1.1747710273006366
endocr_01,1.108120788900403,1.1081207889004032
FK_STENOK,1.101453250110883,1.1014532501108831
ASP_S_n,1.087886484058054,1.0878864840580542
n_p_ecg_p_12,1.0279957169012297,1.02799571690123
STENOK_AN,0.9461890395297421,0.9461890395297424
INF_ANAM,0.9338580401990632,0.9338580401990635
GIPER_NA,0.8721488602623148,0.8721488602623151
NA_R_1_n,0.8228163183003748,0.8228163183003752
D_AD_KBRIG,0.790521545481293,0.7905215454812933
NA_BLOOD,0.7838078800939674,0.7838078800939676
K_SH_POST,0.7404653123760088,0.740465312376009
IM_PG_P,0.715621657375328,0.7156216573753282
K_BLOOD,0.6950361941564324,0.6950361941564326
DLIT_AG,0.6673301833653101,0.6673301833653104
R_AB_1_n,0.646629659650757,0.6466296596507572
S_AD_KBRIG,0.5483440142711318,0.5483440142711319
LID_S_n,0.52687537963967,0.5268753796396701
TRENT_S_n,0.5173575430807519,0.517357543080752
NOT_NA_1_n,0.5057881688892288,0.505788168889229
n_r_ecg_p_03,0.48283865401151893,0.4828386540115191
MP_TP_POST,0.4788148822579137,0.47881488225791385
GB,0.46156508230356624,0.46156508230356635
post_im,0.4496129255011666,0.4496129255011667
AST_BLOOD,0.4399016738078914,0.4399016738078915
