feature_name,raw_gain,percentage_share
R_AB_3_n,6884.677954979241,10.406955492267725
NA_R_3_n,5035.790855009109,7.612157262714933
NOT_NA_3_n,4654.522248536348,7.035827411978593
L_BLOOD,3971.4784492477775,6.003330835530227
ZSN_A,3817.661759665236,5.770819822971427
AGE,3126.203598231077,4.725604003456415
S_AD_ORIT,3059.3703193243127,4.624578078419214
K_BLOOD,2134.1844537481666,3.2260568711690514
D_AD_ORIT,1836.35936114192,2.7758611607085375
ALT_BLOOD,1834.614411868155,2.773223476048908
ROE,1764.7581321075559,2.667627949420364
NA_BLOOD,1615.5482375558931,2.442080619282422
ant_im,1557.622273400426,2.3545190899335218
NA_R_2_n,1358.086551219225,2.0528986810434566
AST_BLOOD,1218.9151156172156,1.842525596699313
TIME_B_S,1184.6008866615593,1.7906558279420497
R_AB_2_n,1179.8351837396622,1.7834519385921226
IBS_POST,1090.4061815738678,1.6482700678723408
NITR_S,955.4220562167466,1.44422656809785
S_AD_KBRIG,953.463559960248,1.4412660834526076
inf_im,910.9019993282855,1.3769295567370856
lat_im,890.8680533953011,1.3466460220499945
STENOK_AN,875.0507105663419,1.3227363513430492
NOT_NA_KB,860.5650723129511,1.3008397000303904
DLIT_AG,776.2384416311979,1.1733706305900105
INF_ANAM,767.1598853543401,1.1596473843139843
ritm_ecg_p_01,663.103684335947,1.0023548777110165
FK_STENOK,659.4931131480262,0.996897098291257
NA_KB,631.966440781951,0.9552874752940336
D_AD_KBRIG,613.6362043917179,0.9275792868321556
NOT_NA_2_n,601.4482293128967,0.9091558086367196
zab_leg_02,510.63746815919876,0.7718852557182658
GEPAR_S_n,484.91450230777264,0.7330021354771359
LID_KB,459.8684584721923,0.695142258056761
SEX,441.01166988164186,0.6666381274536686
R_AB_1_n,408.0133576989174,0.6167575130732673
NA_R_1_n,375.91803776472807,0.5682418717826488
K_SH_POST,370.31499829888344,0.5597722552335853
GB,362.4619125723839,0.5479014438220601
IM_PG_P,360.117702960968,0.5443579105950764
ritm_ecg_p_02,341.3178672641516,0.5159398706173002
endocr_01,338.11264592409134,0.5110948225196257
GIPO_K,304.50714659690857,0.46029637732285567
LID_S_n,290.59284803271294,0.4392633694159309
ASP_S_n,290.54093965888023,0.4391849041428004
n_p_ecg_p_12,282.5758472979069,0.4271447822613549
NOT_NA_1_n,275.5926914662123,0.4165889665193192
ritm_ecg_p_07,246.7565324306488,0.3729999089608575
n_r_ecg_p_03,231.1518568843603,0.34941170847516134
post_im,221.82744910451584,0.33531683034271154
n_r_ecg_p_01,216.69027853012085,0.3275514263726899
TRENT_S_n,190.71351435780525,0.2882846617771282
nr_04,189.56026815250516,0.2865414020330025
n_r_ecg_p_05,140.376657910645,0.212194911742067
zab_leg_03,131.3462557196617,0.1985444557158892
endocr_02,118.79355841875076,0.17956965936771588
MP_TP_POST,111.92389605008066,0.1691854016021147
B_BLOK_S_n,98.08720551431179,0.14826970685100666
GIPER_NA,95.94133231043816,0.14502598113561405
ANT_CA_S_n,91.2439521998167,0.13792536930435975
n_p_ecg_p_07,82.91310834884644,0.12533237341740236
O_L_POST,70.19521725177765,0.10610786829629074
SIM_GIPERT,68.02590933442116,0.10282871840829556
nr_03,58.052601516246796,0.08775295578684128
TIKL_S_n,45.29865437746048,0.0684739479534989
n_p_ecg_p_10,44.760994017124176,0.0676612145944999
ritm_ecg_p_08,41.61450079083443,0.06290494056442175
n_r_ecg_p_04,38.06315016746521,0.05753667960631684
zab_leg_01,36.31050871312618,0.05488736736128756
n_r_ecg_p_06,26.895379092544317,0.04065535308900597
n_p_ecg_p_11,25.207309365272522,0.0381036481821909
ritm_ecg_p_04,22.79399400949478,0.03445565394620475
n_p_ecg_p_03,22.05038407444954,0.03333160492775691
np_08,18.815084248781204,0.028441089857909545
ritm_ecg_p_06,15.416499853134155,0.023303752022574137
nr_02,8.446251064538956,0.012767446709922517
fibr_ter_06,8.111740231513977,0.012261796427696231
np_01,7.128673940896988,0.010775782528527495
fibr_ter_08,5.436579942703247,0.00821799448919012
endocr_03,4.867616951465607,0.007357943726427101
n_p_ecg_p_06,4.561809003353119,0.006895681043117904
n_p_ecg_p_08,4.470132052898407,0.006757101148852989
n_r_ecg_p_08,3.9405121207237244,0.005956521790166575
np_05,3.5021790862083435,0.0052939327176169965
nr_11,3.2780839800834656,0.004955188071792288
zab_leg_04,2.918482005596161,0.0044116097420732695
n_p_ecg_p_01,2.2875189781188965,0.0034578390374503556
FIB_G_POST,2.1952099800109863,0.0033183037329485576
fibr_ter_02,2.0510149598121643,0.0031003369424568573
fibr_ter_03,1.5409200191497803,0.0023292717773150287
SVT_POST,1.4869190156459808,0.0022476432619833293
zab_leg_06,1.4761199951171875,0.0022313193428780127
np_09,1.431439995765686,0.0021637805607176456
fibr_ter_07,1.1082600355148315,0.001675258151344666
nr_01,1.0153800249099731,0.0015348596980245602
n_r_ecg_p_02,1.0093989670276642,0.0015258186646479955
np_07,0.6620990037918091,0.0010008361914666977
np_10,0.37856900691986084,0.0005722491061354029
IBS_NASL,0.0,0.0
nr_07,0.0,0.0
nr_08,0.0,0.0
np_04,0.0,0.0
GT_POST,0.0,0.0
n_r_ecg_p_09,0.0,0.0
n_r_ecg_p_10,0.0,0.0
n_p_ecg_p_04,0.0,0.0
n_p_ecg_p_05,0.0,0.0
n_p_ecg_p_09,0.0,0.0
fibr_ter_01,0.0,0.0
fibr_ter_05,0.0,0.0
KFK_BLOOD,0.0,0.0
