feature_name,raw_gain,percentage_share
alcohol,5028.586430423893,25.212550095375857
volatile_acidity,2663.3712252117693,13.353728998662904
free_sulfur_dioxide,1806.0678253276274,9.055343117147306
residual_sugar,1524.359853782691,7.64290317142588
sulphates,1466.1925079161301,7.3512611479930445
total_sulfur_dioxide,1453.6357500599697,7.288303517481112
density,1328.1862739026546,6.6593193594444084
pH,1245.1957971015945,6.2432180190903015
citric_acid,1222.0104347765446,6.126970219199053
chlorides,1197.6968378853053,6.005065626705558
fixed_acidity,997.6077746441588,5.001850190259539
wine_color,11.864456102252007,0.05948653721503214
