feature_name,raw_gain,percentage_share
poutcome,9.921402740281277,9.921402740281279
contact,6.980816136285521,6.9808161362855214
pca_embed_5,5.766464105378102,5.766464105378103
pca_embed_1,4.961630591023387,4.961630591023388
pca_embed_6,3.132410069748738,3.132410069748739
pca_embed_0,3.002845574823006,3.0028455748230063
pca_embed_8,2.7697660935663877,2.769766093566388
balance,2.7227509508801364,2.722750950880137
pca_embed_17,2.710933155043312,2.7109331550433122
housing,2.471542283443334,2.471542283443334
pca_embed_3,2.3123538367520045,2.312353836752005
pca_embed_9,2.305605244102326,2.305605244102326
pca_embed_12,2.1978248342462257,2.1978248342462257
pca_embed_13,2.0733165897205605,2.073316589720561
pca_embed_22,2.06690314581434,2.06690314581434
pca_embed_26,2.0370719203227523,2.0370719203227527
pca_embed_7,2.023855648101647,2.0238556481016476
pca_embed_15,2.0026278749483666,2.0026278749483666
pca_embed_20,1.9559979794217528,1.955997979421753
pca_embed_25,1.9558876780453542,1.9558876780453545
pca_embed_14,1.9500416678287944,1.9500416678287946
pca_embed_4,1.9482789613013307,1.9482789613013312
pca_embed_19,1.9293630325879156,1.9293630325879159
pca_embed_24,1.9174851774055042,1.9174851774055046
pca_embed_23,1.9073149916366412,1.9073149916366414
pca_embed_21,1.8863458214077775,1.886345821407778
pca_embed_27,1.881646506211685,1.8816465062116852
campaign,1.8805934222956027,1.880593422295603
pca_embed_2,1.8663933598520472,1.8663933598520472
pca_embed_16,1.850371171394298,1.8503711713942983
pdays,1.8334741269529935,1.8334741269529937
pca_embed_18,1.8022245950071671,1.8022245950071674
pca_embed_10,1.7773984477216804,1.7773984477216807
pca_embed_11,1.754407628249983,1.7544076282499832
job,1.7348044324299494,1.7348044324299496
age,1.6434652384235109,1.643465238423511
education,1.4762835683961304,1.4762835683961306
marital,1.423576385908178,1.4235763859081783
loan,0.9590454779404501,0.9590454779404503
previous,0.8780744529138503,0.8780744529138504
default,0.3274050821859685,0.32740508218596853
