feature_name,raw_gain,percentage_share
contributionCarPolicies,8.024613853211072,8.02461385321107
pca_embed_0,6.560426474088617,6.560426474088615
pca_embed_3,2.2596181112912395,2.2596181112912386
contributionFirePolicies,2.23630705507055,2.2363070550705495
pca_embed_1,1.6790436993222408,1.6790436993222402
numberOfCarPolicies,1.6153515397227844,1.6153515397227842
pca_embed_6,1.4516229125007303,1.4516229125007298
pca_embed_13,1.382444855061698,1.3824448550616975
pca_embed_4,1.3781685125365166,1.3781685125365162
incomeLessThan30k,1.2247378841403262,1.224737884140326
pca_embed_7,1.1822639721219597,1.1822639721219594
pca_embed_40,1.1788166546286836,1.1788166546286833
pca_embed_10,1.1267454217272932,1.1267454217272928
customerMainType,1.125668499572735,1.1256684995727346
pca_embed_25,1.0962679823490338,1.0962679823490333
pca_embed_45,1.090740170516143,1.0907401705161426
purchasingPowerClass,1.0667058957652367,1.0667058957652364
pca_embed_2,1.0560765954593887,1.0560765954593885
pca_embed_36,1.0530925637511837,1.0530925637511834
pca_embed_47,1.0186356354828976,1.0186356354828972
contributionPrivateThirdPartyInsurance,1.0048706889846015,1.0048706889846013
pca_embed_56,0.9931179887690321,0.9931179887690319
pca_embed_18,0.9872568306998539,0.9872568306998536
pca_embed_19,0.984028477368785,0.9840284773687847
pca_embed_37,0.9693013874417209,0.9693013874417206
pca_embed_8,0.9569173856820195,0.9569173856820191
pca_embed_5,0.9549820831862705,0.9549820831862702
pca_embed_32,0.9538781525841802,0.9538781525841799
pca_embed_26,0.9416654647859397,0.9416654647859395
pca_embed_43,0.9371081096285175,0.9371081096285172
pca_embed_11,0.936052957793278,0.9360529577932777
pca_embed_29,0.9357859611339513,0.935785961133951
pca_embed_33,0.9207925624798265,0.9207925624798262
pca_embed_51,0.9176192226580595,0.9176192226580593
pca_embed_53,0.9172270652741383,0.9172270652741381
pca_embed_22,0.9082989456464281,0.9082989456464279
pca_embed_20,0.8993271804432423,0.8993271804432421
pca_embed_15,0.8968656953899454,0.8968656953899451
pca_embed_9,0.8859728299612214,0.8859728299612211
pca_embed_12,0.8855404474222488,0.8855404474222485
pca_embed_30,0.880928028246095,0.8809280282460946
pca_embed_31,0.8658547120355771,0.8658547120355767
pca_embed_34,0.8638089180407617,0.8638089180407614
pca_embed_39,0.8557908099976743,0.855790809997674
pca_embed_48,0.8424644249092578,0.8424644249092574
oneCar,0.8412329430830001,0.8412329430829998
pca_embed_23,0.8388161672165488,0.8388161672165486
pca_embed_54,0.8300549695218946,0.8300549695218944
pca_embed_46,0.8164947216052522,0.816494721605252
pca_embed_17,0.8134343809918423,0.8134343809918421
pca_embed_55,0.8120064749414594,0.812006474941459
pca_embed_49,0.8082484622303864,0.8082484622303863
pca_embed_28,0.8075183992737196,0.8075183992737194
pca_embed_14,0.8017693118134259,0.8017693118134257
pca_embed_35,0.7728727737307732,0.772872773730773
pca_embed_21,0.7704407955461007,0.7704407955461005
pca_embed_50,0.7698635259663382,0.769863525966338
pca_embed_24,0.7492750358607841,0.7492750358607839
customerSubtype,0.7255880522198395,0.7255880522198392
pca_embed_52,0.7243649831588241,0.7243649831588239
income45To75k,0.7025232093585021,0.7025232093585019
married,0.70231007549389,0.7023100754938898
pca_embed_16,0.7022015324405871,0.702201532440587
pca_embed_27,0.6990694479193613,0.6990694479193611
