number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,9.997931291739254,2026-06-23 22:37:28.116881,2026-06-23 22:37:29.623407,0 days 00:00:01.506526,,,,,,,,,,,,,,100,{},COMPLETE
1,1.179388617906524,2026-06-23 22:37:29.638318,2026-06-23 22:37:38.826467,0 days 00:00:09.188149,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,1.4777022995695372,2026-06-23 22:37:38.839447,2026-06-23 22:37:42.645254,0 days 00:00:03.805807,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,557,,COMPLETE
3,1.1758793733600883,2026-06-23 22:37:42.654461,2026-06-23 22:37:56.660273,0 days 00:00:14.005812,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,1.3730116766237188,2026-06-23 22:37:56.672308,2026-06-23 22:37:59.701844,0 days 00:00:03.029536,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,716,,COMPLETE
5,1.7491826673636066,2026-06-23 22:37:59.710388,2026-06-23 22:38:45.246188,0 days 00:00:45.535800,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,1.7436067346769912,2026-06-23 22:38:45.255162,2026-06-23 22:38:53.484472,0 days 00:00:08.229310,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,936,,COMPLETE
7,2.5118206038940407,2026-06-23 22:38:53.492900,2026-06-23 22:40:11.678956,0 days 00:01:18.186056,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,2.6328801613597785,2026-06-23 22:40:11.687432,2026-06-23 22:41:34.045078,0 days 00:01:22.357646,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,3.4002696454100896,2026-06-23 22:41:34.054876,2026-06-23 22:42:01.618219,0 days 00:00:27.563343,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,462,,COMPLETE
10,4.073528273260191,2026-06-23 22:42:01.627341,2026-06-23 22:44:13.891202,0 days 00:02:12.263861,Plain,Bernoulli,0.9947167472260312,8.0,Depthwise,0.17516619421446947,1.0,0.02632754856303217,254.0,3.0,0.11492914573793168,8.0,0.701799154886745,1000,,COMPLETE
11,1.1781466236792075,2026-06-23 22:44:13.900835,2026-06-23 22:44:23.577951,0 days 00:00:09.677116,Plain,Bernoulli,0.8601730401643931,4.0,SymmetricTree,0.0017481163980583247,19.0,0.015753387726212563,254.0,2.0,0.2204948892099201,51.0,0.7979239426070239,1000,,COMPLETE
12,1.4086663257447212,2026-06-23 22:44:23.587029,2026-06-23 22:44:36.175449,0 days 00:00:12.588420,Plain,Bernoulli,0.8541922776832994,5.0,SymmetricTree,0.002859945715985297,5.0,0.020334499458120252,254.0,3.0,0.20744925311840962,65.0,0.7811858575604234,1000,,COMPLETE
13,1.4060050102693895,2026-06-23 22:44:36.184186,2026-06-23 22:44:56.609176,0 days 00:00:20.424990,Plain,Bernoulli,0.9636007742720188,5.0,Depthwise,0.10697993006690087,18.0,0.027532708516903086,254.0,3.0,0.20881565191192614,54.0,0.8463664784189642,1000,,COMPLETE
14,1.1938800977807735,2026-06-23 22:44:56.617918,2026-06-23 22:45:05.707114,0 days 00:00:09.089196,Plain,Bernoulli,0.9241667179579247,4.0,SymmetricTree,0.006439679936871292,5.0,0.012034057135110266,254.0,2.0,0.32462778233459855,93.0,0.7624841225940271,1000,,COMPLETE
15,1.6213641160912051,2026-06-23 22:45:05.716231,2026-06-23 22:45:12.011606,0 days 00:00:06.295375,Plain,Bernoulli,0.8507110179479633,5.0,SymmetricTree,0.0009649417649234434,1.0,0.04415017166722884,254.0,2.0,0.15862413474372106,38.0,0.8563310824892957,635,,COMPLETE
16,1.8352826881463389,2026-06-23 22:45:12.019851,2026-06-23 22:45:27.659157,0 days 00:00:15.639306,Plain,Bernoulli,0.9950571306332299,4.0,Depthwise,1.2556849320310421,5.0,0.005041462745872785,254.0,3.0,0.32575658412201763,66.0,0.8024650284806477,1000,,COMPLETE
17,1.5980985036397952,2026-06-23 22:45:27.669562,2026-06-23 22:45:53.852591,0 days 00:00:26.183029,Plain,Bernoulli,0.9739071074276635,6.0,SymmetricTree,0.039732991402858436,2.0,0.010007918752186118,254.0,2.0,0.15748206109657623,23.0,0.7525255121737926,1000,,COMPLETE
18,1.353920115010053,2026-06-23 22:45:53.862757,2026-06-23 22:46:19.625842,0 days 00:00:25.763085,Plain,Bernoulli,0.9358595091451619,5.0,Depthwise,0.0008201688600278081,20.0,0.016963336704513762,254.0,3.0,0.4257650150846379,13.0,0.8798608855346057,1000,,COMPLETE
19,1.2927971878182294,2026-06-23 22:46:19.635264,2026-06-23 22:46:27.351966,0 days 00:00:07.716702,Plain,Bernoulli,0.9168615749229699,4.0,Depthwise,0.04572673757626009,1.0,0.03266540548786146,254.0,2.0,0.14516215422337356,41.0,0.8159887397166963,741,,COMPLETE
20,1.7541910044016498,2026-06-23 22:46:27.362047,2026-06-23 22:46:49.103537,0 days 00:00:21.741490,Plain,Bernoulli,0.9469307822788757,6.0,SymmetricTree,0.006229221140283893,3.0,0.008254996255912084,254.0,3.0,0.2460096901471415,63.0,0.775116927475355,1000,,COMPLETE
21,1.1872104904933753,2026-06-23 22:46:49.111905,2026-06-23 22:46:58.557997,0 days 00:00:09.446092,Plain,Bernoulli,0.876064409062362,4.0,SymmetricTree,0.00038045169138715247,15.0,0.015184277322558098,254.0,2.0,1.431612154278977,34.0,0.9968383766596345,1000,,COMPLETE
22,1.1810613998215205,2026-06-23 22:46:58.567262,2026-06-23 22:47:08.001813,0 days 00:00:09.434551,Plain,Bernoulli,0.8615673254289361,4.0,SymmetricTree,0.0003430496316137856,7.0,0.013433473810228126,254.0,2.0,0.9243403439826616,46.0,0.9143342041876494,1000,,COMPLETE
