number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.023316033943271752,2026-06-24 01:37:18.836733,2026-06-24 01:37:19.629841,0 days 00:00:00.793108,,,,,,,,,,,,43,{},COMPLETE
1,0.022794999068425026,2026-06-24 01:37:19.643980,2026-06-24 01:37:31.741013,0 days 00:00:12.097033,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,1000,,COMPLETE
2,0.0402390592086673,2026-06-24 01:37:31.753052,2026-06-24 01:37:37.476083,0 days 00:00:05.723031,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,1000,,COMPLETE
3,0.04595866826169319,2026-06-24 01:37:37.484209,2026-06-24 01:37:45.316946,0 days 00:00:07.832737,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,1000,,COMPLETE
4,0.023559726765863286,2026-06-24 01:37:45.325036,2026-06-24 01:37:57.541237,0 days 00:00:12.216201,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.0484221730403487,2026-06-24 01:37:57.549420,2026-06-24 01:38:04.595863,0 days 00:00:07.046443,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,1000,,COMPLETE
6,0.028855033231941,2026-06-24 01:38:04.604107,2026-06-24 01:38:14.710223,0 days 00:00:10.106116,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,0.04689052871826073,2026-06-24 01:38:14.718577,2026-06-24 01:38:27.158878,0 days 00:00:12.440301,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.02666328396773086,2026-06-24 01:38:27.167109,2026-06-24 01:38:38.081680,0 days 00:00:10.914571,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,1000,,COMPLETE
9,0.03561770491723201,2026-06-24 01:38:38.089961,2026-06-24 01:38:45.884488,0 days 00:00:07.794527,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,1000,,COMPLETE
10,0.05369345137582611,2026-06-24 01:38:45.892631,2026-06-24 01:38:51.397302,0 days 00:00:05.504671,0.8262452362725613,0.7202259292197385,lossguide,0.0864853073450281,8.0,7.0,971.0,0.05528731777524736,4.7988577526525065,2.58248067449815,0.9729161367647149,1000,,COMPLETE
11,0.0699136236609284,2026-06-24 01:38:51.405647,2026-06-24 01:39:04.579147,0 days 00:00:13.173500,0.8044101216064796,0.9934317343731491,lossguide,0.005235264940199332,30.0,10.0,1016.0,0.04042693539277767,4.977790432379125,2.2027368300852346,0.9955755074724779,1000,,COMPLETE
12,0.05526248497883214,2026-06-24 01:39:04.587349,2026-06-24 01:39:10.405988,0 days 00:00:05.818639,0.7403227135411227,0.9127004012642888,lossguide,0.050457787252396434,36.0,6.0,194.0,0.03072871288607785,3.8279366924088967,0.03556311240368615,0.7099725813105942,1000,,COMPLETE
13,0.07975895660458487,2026-06-24 01:39:10.414141,2026-06-24 01:39:18.704861,0 days 00:00:08.290720,0.8878745420426452,0.7007619868624386,lossguide,0.008410037724463188,11.0,10.0,17.0,4.84945231525358,3.879306086722645,3.186392082867091,0.6052561262871233,1000,,COMPLETE
14,0.02995229631811485,2026-06-24 01:39:18.712938,2026-06-24 01:39:25.480671,0 days 00:00:06.767733,0.651129729713056,0.7124279349950516,depthwise,0.03633683735730855,95.0,7.0,8.0,0.13925071458840985,1.25278625121095,1.6732196331143334,0.827684455145088,1000,,COMPLETE
15,0.04436819872680235,2026-06-24 01:39:25.488892,2026-06-24 01:39:37.529278,0 days 00:00:12.040386,0.7692604337143027,0.8937243027997998,lossguide,0.00898965788231808,12.0,5.0,488.0,0.009230581786100709,2.798123503894609,3.332711542974665,0.9362148766913247,1000,,COMPLETE
16,0.057889838944963606,2026-06-24 01:39:37.537715,2026-06-24 01:39:44.137921,0 days 00:00:06.600206,0.9993599312540954,0.6700340162317235,lossguide,0.03918360066441182,53.0,8.0,146.0,0.0018691765469267486,3.9735211812574773,4.826166066144186,0.7281358941031667,1000,,COMPLETE
17,0.02260317798932652,2026-06-24 01:39:44.146079,2026-06-24 01:39:49.494679,0 days 00:00:05.348600,0.88839497398522,0.7517842248725415,depthwise,0.08735283984840085,31.0,6.0,46.0,1.433765733590307,0.1500416089691347,3.8036330837353507,0.867739537486188,1000,,COMPLETE
18,0.023786877491903814,2026-06-24 01:39:49.506094,2026-06-24 01:39:53.106190,0 days 00:00:03.600096,0.8878214660278139,0.7524516915582604,depthwise,0.09952793883362566,29.0,6.0,54.0,1.328589817929496,0.07520455600727383,4.029810589684737,0.8673974237216685,527,,COMPLETE
19,0.02749390172114167,2026-06-24 01:39:53.114489,2026-06-24 01:39:59.148175,0 days 00:00:06.033686,0.6759427552674907,0.753723332915716,depthwise,0.06754454782606205,12.0,8.0,24.0,1.450424139377055,0.9071161589692409,3.89081450903257,0.7951386467132048,1000,,COMPLETE
20,0.019050648350764348,2026-06-24 01:39:59.156672,2026-06-24 01:40:09.497545,0 days 00:00:10.340873,0.7804674034044989,0.6559470099862064,depthwise,0.036449166152060064,41.0,7.0,638.0,0.16677584260410364,0.07542575941851265,2.8879995735468227,0.9404052868155786,1000,,COMPLETE
21,0.018265713608956645,2026-06-24 01:40:09.509029,2026-06-24 01:40:19.468240,0 days 00:00:09.959211,0.765707001966078,0.6621979072081104,depthwise,0.033065135936684545,43.0,7.0,620.0,0.14166200866757792,0.006387150672975517,2.935104555438607,0.9292248274564379,832,,COMPLETE
22,0.022723401791358552,2026-06-24 01:40:19.481408,2026-06-24 01:40:27.496790,0 days 00:00:08.015382,0.782690601521558,0.660046165857235,depthwise,0.03410466490623689,41.0,7.0,544.0,0.15961562339907684,0.6018433283808633,2.979650115336382,0.9458857274802054,1000,,COMPLETE
23,0.027517697996240154,2026-06-24 01:40:27.505093,2026-06-24 01:40:34.153853,0 days 00:00:06.648760,0.8570552384294299,0.6187441936358963,depthwise,0.04631261864193261,42.0,6.0,275.0,0.1209815304040934,1.193899001835273,2.749928426444415,0.9082882720111232,1000,,COMPLETE
24,0.01959121392742367,2026-06-24 01:40:34.162296,2026-06-24 01:40:45.860409,0 days 00:00:11.698113,0.7700977967182601,0.7462126803772035,depthwise,0.027458385364950464,65.0,7.0,685.0,0.07414988977011319,0.007224697463598065,2.071717265626939,0.9493548450474725,1000,,COMPLETE
25,0.01861992196107453,2026-06-24 01:40:45.870239,2026-06-24 01:40:58.416803,0 days 00:00:12.546564,0.7600991144917101,0.6901438301496383,depthwise,0.030084199449261002,66.0,7.0,589.0,0.02209691133902216,0.013548868827852101,2.090758670749878,0.9587668631189717,1000,,COMPLETE
