number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.1198058522915838,2026-06-24 01:41:06.909343,2026-06-24 01:41:12.758184,0 days 00:00:05.848841,,,,,,,,,,,,,,100,{},COMPLETE
1,0.015547586105713669,2026-06-24 01:41:12.771604,2026-06-24 01:41:25.045373,0 days 00:00:12.273769,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.015138833086392996,2026-06-24 01:41:25.058401,2026-06-24 01:41:32.430028,0 days 00:00:07.371627,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,1000,,COMPLETE
3,0.013575345784361426,2026-06-24 01:41:32.441560,2026-06-24 01:41:42.865518,0 days 00:00:10.423958,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.019912709550066483,2026-06-24 01:41:42.877240,2026-06-24 01:41:49.618684,0 days 00:00:06.741444,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,1000,,COMPLETE
5,0.012085598334214919,2026-06-24 01:41:49.627838,2026-06-24 01:42:14.371134,0 days 00:00:24.743296,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.017049292953616624,2026-06-24 01:42:14.383309,2026-06-24 01:42:29.895097,0 days 00:00:15.511788,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,1000,,COMPLETE
7,0.012858288137287455,2026-06-24 01:42:29.903634,2026-06-24 01:43:02.470979,0 days 00:00:32.567345,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,0.009401804586923851,2026-06-24 01:43:02.479419,2026-06-24 01:43:52.905295,0 days 00:00:50.425876,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.01284824290490484,2026-06-24 01:43:52.916840,2026-06-24 01:44:19.189389,0 days 00:00:26.272549,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,1000,,COMPLETE
