number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.009639094338236509,2026-06-24 02:50:42.692510,2026-06-24 02:51:00.259138,0 days 00:00:17.566628,,,,,,,,,,,,,,170,{},COMPLETE
1,0.009450304346279914,2026-06-24 02:51:00.272883,2026-06-24 02:51:14.127294,0 days 00:00:13.854411,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,139,,COMPLETE
2,0.009539045533054069,2026-06-24 02:51:14.139267,2026-06-24 02:51:30.790621,0 days 00:00:16.651354,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,453,,COMPLETE
3,0.010396192976680263,2026-06-24 02:51:30.799211,2026-06-24 02:51:45.601306,0 days 00:00:14.802095,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,999,,COMPLETE
4,0.008900002101344118,2026-06-24 02:51:45.609313,2026-06-24 02:52:00.832715,0 days 00:00:15.223402,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,960,,COMPLETE
5,0.008553556453211875,2026-06-24 02:52:00.844060,2026-06-24 02:52:19.737243,0 days 00:00:18.893183,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,66,,COMPLETE
6,0.010105919930495588,2026-06-24 02:52:19.748502,2026-06-24 02:52:30.913841,0 days 00:00:11.165339,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,606,,COMPLETE
7,0.009385457996678448,2026-06-24 02:52:30.922055,2026-06-24 02:52:40.123590,0 days 00:00:09.201535,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,59,,COMPLETE
8,0.009494695145570109,2026-06-24 02:52:40.132032,2026-06-24 02:52:51.586930,0 days 00:00:11.454898,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,31,,COMPLETE
9,0.008887398021631299,2026-06-24 02:52:51.595509,2026-06-24 02:53:07.388903,0 days 00:00:15.793394,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,95,,COMPLETE
10,0.008986867667822751,2026-06-24 02:53:07.397644,2026-06-24 02:53:22.627674,0 days 00:00:15.230030,0.7022641957948879,1.0,0.04511907294391529,0.04720368256012399,False,0.6839963928728011,0.028575443310857374,0.7118736529455119,0.09147573288296829,99.0,18.0,23.0,146.0,60,,COMPLETE
11,0.008546172792287088,2026-06-24 02:53:22.635643,2026-06-24 02:53:32.795992,0 days 00:00:10.160349,0.802754798121327,1.0,0.035177845139565365,36.27301170985634,True,0.6606137630538468,0.716322597816374,0.7068569370400888,0.09046290094781971,35.0,1.0,5.0,165.0,80,,COMPLETE
12,0.008780417682533903,2026-06-24 02:53:32.807868,2026-06-24 02:53:42.587379,0 days 00:00:09.779511,0.7929658168207508,1.0,0.03993208417694228,0.0013419844206405704,True,0.9836655745726444,0.666652170623448,0.6201434504884924,0.05049708384913899,25.0,1.0,8.0,197.0,45,,COMPLETE
13,0.008304919583592585,2026-06-24 02:53:42.595644,2026-06-24 02:53:55.505627,0 days 00:00:12.909983,0.7665405104267883,1.0,0.029461359128982244,0.18265499970366575,True,0.80708177266071,0.5896395419955747,0.5935368979906448,0.05476773677113816,57.0,1.0,12.0,91.0,122,,COMPLETE
14,0.008606415569518244,2026-06-24 02:53:55.517498,2026-06-24 02:54:10.887403,0 days 00:00:15.369905,0.751826471612619,1.0,0.019827441117184652,73.0976289567651,True,0.7363056697845589,0.6293657331632125,1.0220303248571052,0.04191267613810203,31.0,2.0,16.0,75.0,189,,COMPLETE
15,0.00867837223528345,2026-06-24 02:54:10.895477,2026-06-24 02:54:23.331681,0 days 00:00:12.436204,0.7774448004832161,1.0,0.005611234945680623,94.7000445788559,True,0.8175712502522893,0.676802969960592,0.9153158554670672,0.05965104396408302,51.0,1.0,12.0,20.0,246,,COMPLETE
16,0.008004941163902823,2026-06-24 02:54:23.340690,2026-06-24 02:54:42.181847,0 days 00:00:18.841157,0.7249809309759454,1.0,0.02297458225841997,0.25336149931935176,True,0.6091024465689275,0.5409342894467744,0.3725905208577056,0.03041932888208506,25.0,3.0,32.0,104.0,232,,COMPLETE
