number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.007767201744413477,2026-06-24 02:57:26.195170,2026-06-24 02:57:44.601358,0 days 00:00:18.406188,,,,,,,,,,,,,,219,{},COMPLETE
1,0.007801522729512955,2026-06-24 02:57:44.615452,2026-06-24 02:58:54.810542,0 days 00:01:10.195090,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,958,,COMPLETE
2,0.009054183224927792,2026-06-24 02:58:54.819139,2026-06-24 02:59:24.362959,0 days 00:00:29.543820,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,999,,COMPLETE
3,0.014300859855309822,2026-06-24 02:59:24.371686,2026-06-24 02:59:36.668430,0 days 00:00:12.296744,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,985,,COMPLETE
4,0.012931660944301537,2026-06-24 02:59:36.676628,2026-06-24 02:59:53.438590,0 days 00:00:16.761962,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,998,,COMPLETE
5,0.007865528063120464,2026-06-24 02:59:53.447253,2026-06-24 03:00:16.989382,0 days 00:00:23.542129,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,127,,COMPLETE
6,0.01154288532038339,2026-06-24 03:00:16.997478,2026-06-24 03:00:34.512181,0 days 00:00:17.514703,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,999,,COMPLETE
7,0.00822327591378913,2026-06-24 03:00:34.520529,2026-06-24 03:01:04.998119,0 days 00:00:30.477590,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,633,,COMPLETE
8,0.007770743572275585,2026-06-24 03:01:05.006900,2026-06-24 03:01:38.846508,0 days 00:00:33.839608,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,303,,COMPLETE
9,0.00827320973943202,2026-06-24 03:01:38.856257,2026-06-24 03:01:57.663807,0 days 00:00:18.807550,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,302,,COMPLETE
