number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.13798473930763566,2026-06-24 06:53:04.813238,2026-06-24 06:53:23.968796,0 days 00:00:19.155558,,,,,,,,,,,,166,{},COMPLETE
1,0.12660425153380384,2026-06-24 06:53:23.983625,2026-06-24 06:56:45.324807,0 days 00:03:21.341182,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,649,,COMPLETE
2,0.13173079488106298,2026-06-24 06:56:45.337685,2026-06-24 06:57:04.288505,0 days 00:00:18.950820,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,186,,COMPLETE
3,0.12753882739053024,2026-06-24 06:57:04.298850,2026-06-24 06:59:11.911403,0 days 00:02:07.612553,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,586,,COMPLETE
4,0.12884562030236102,2026-06-24 06:59:11.920260,2026-06-24 07:00:23.442119,0 days 00:01:11.521859,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.13096997153415213,2026-06-24 07:00:23.451108,2026-06-24 07:01:17.527383,0 days 00:00:54.076275,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,565,,COMPLETE
6,0.1287776458872072,2026-06-24 07:01:17.535752,2026-06-24 07:02:48.701144,0 days 00:01:31.165392,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,0.13722335418360987,2026-06-24 07:02:48.709467,2026-06-24 07:03:53.893308,0 days 00:01:05.183841,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.1292724506315608,2026-06-24 07:03:53.901743,2026-06-24 07:05:19.660314,0 days 00:01:25.758571,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,1000,,COMPLETE
9,0.1284807800355331,2026-06-24 07:05:19.668304,2026-06-24 07:06:17.271407,0 days 00:00:57.603103,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,504,,COMPLETE
