number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2775621811052249,2026-06-24 12:43:23.620874,2026-06-24 12:43:25.597826,0 days 00:00:01.976952,,,,,,,,,,,,,,47,{},COMPLETE
1,0.2590531088753032,2026-06-24 12:43:25.612942,2026-06-24 12:43:30.666532,0 days 00:00:05.053590,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,216,,COMPLETE
2,0.25016351019015537,2026-06-24 12:43:30.680342,2026-06-24 12:43:33.105755,0 days 00:00:02.425413,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,427,,COMPLETE
3,0.27377629829755823,2026-06-24 12:43:33.118750,2026-06-24 12:43:35.337856,0 days 00:00:02.219106,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,996,,COMPLETE
4,0.26815183209714555,2026-06-24 12:43:35.347141,2026-06-24 12:43:36.485400,0 days 00:00:01.138259,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,421,,COMPLETE
5,0.26372803914906695,2026-06-24 12:43:36.494693,2026-06-24 12:43:46.856044,0 days 00:00:10.361351,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,238,,COMPLETE
6,0.26919684444150715,2026-06-24 12:43:46.866154,2026-06-24 12:43:48.965040,0 days 00:00:02.098886,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,849,,COMPLETE
7,0.24549363468065266,2026-06-24 12:43:48.974392,2026-06-24 12:43:52.230914,0 days 00:00:03.256522,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,261,,COMPLETE
8,0.259561415475972,2026-06-24 12:43:52.243982,2026-06-24 12:44:00.801121,0 days 00:00:08.557139,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,209,,COMPLETE
9,0.25395023468757727,2026-06-24 12:44:00.810336,2026-06-24 12:44:02.925256,0 days 00:00:02.114920,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,96,,COMPLETE
10,0.2464962495724765,2026-06-24 12:44:02.939341,2026-06-24 12:44:06.091607,0 days 00:00:03.152266,0.9908611332363597,1.0,0.03512175732792625,55.54162315706866,True,0.6839963928728011,0.5905156421247704,0.02569074131920096,0.005556572437269131,99.0,19.0,23.0,12.0,439,,COMPLETE
11,0.2504918947319148,2026-06-24 12:44:06.102395,2026-06-24 12:44:07.269104,0 days 00:00:01.166709,0.9984567420564903,1.0,0.03352561511977935,52.38654328518467,True,0.6606137630538468,0.6091129560474012,0.07101727097318089,0.005738601544760158,100.0,21.0,22.0,14.0,71,,COMPLETE
12,0.24736302516482644,2026-06-24 12:44:07.278857,2026-06-24 12:44:09.695592,0 days 00:00:02.416735,0.9979535080856271,1.0,0.2848884235393859,0.305128880331871,True,0.6537243008275448,0.6091933662784068,0.4702775475535603,0.005311126596497428,100.0,3.0,16.0,9.0,410,,COMPLETE
13,0.24289042192047594,2026-06-24 12:44:09.704696,2026-06-24 12:44:11.751637,0 days 00:00:02.046941,0.9503189177548768,1.0,0.029147700650528047,41.27630723964667,True,0.7644768432606033,0.5896395419955747,0.44189377158627724,0.009804783701770422,69.0,16.0,9.0,25.0,145,,COMPLETE
14,0.24498883926451298,2026-06-24 12:44:11.769075,2026-06-24 12:44:15.942641,0 days 00:00:04.173566,0.9409041505461242,1.0,0.005667458634051511,0.2652032650731302,True,0.8229616337423648,0.17045177131759753,0.6480223495136972,0.010895440393473043,60.0,3.0,7.0,30.0,317,,COMPLETE
15,0.2431377045584977,2026-06-24 12:44:15.951702,2026-06-24 12:44:18.277100,0 days 00:00:02.325398,0.915900264139289,1.0,0.005201650905295392,0.07704079518116252,True,0.8243166871398107,0.03640118275079507,0.8660521297628156,0.0095594353078685,30.0,23.0,10.0,26.0,163,,COMPLETE
16,0.2562502019387253,2026-06-24 12:44:18.286427,2026-06-24 12:44:19.438365,0 days 00:00:01.151938,0.8003126062483137,1.0,0.01525283131278148,0.0016697888938994273,True,0.7816162571198065,0.012354692201737738,0.9777470903303886,0.027556878263997272,27.0,20.0,12.0,5.0,201,,COMPLETE
17,0.24538516851203607,2026-06-24 12:44:19.447545,2026-06-24 12:44:21.849981,0 days 00:00:02.402436,0.9088819521563148,1.0,0.005128838110849322,0.021472137291750935,True,0.9016922247602093,0.26323231063908864,0.9062446416280758,0.007865855501333974,28.0,35.0,42.0,21.0,215,,COMPLETE
18,0.244551478139318,2026-06-24 12:44:21.859354,2026-06-24 12:44:26.745907,0 days 00:00:04.886553,0.7351247059525575,1.0,0.07571944956775223,0.08347216184681973,True,0.757680051933401,0.756993139991207,1.2487456950536533,0.013019373982071928,29.0,10.0,11.0,67.0,337,,COMPLETE
19,0.24484261272151464,2026-06-24 12:44:26.754861,2026-06-24 12:44:34.655388,0 days 00:00:07.900527,0.9095523646561217,1.0,0.02242070401654341,0.004579745934369628,True,0.5779146710856647,0.18057678880289035,0.7446389251272693,0.007451232376041963,41.0,11.0,4.0,190.0,325,,COMPLETE
20,0.25240697939926626,2026-06-24 12:44:34.664464,2026-06-24 12:44:35.908874,0 days 00:00:01.244410,0.8024056473923528,1.0,0.018192136593968157,18.086065571434148,True,0.8664006136069724,0.434852086000726,0.3325183119030031,0.02145411100199554,20.0,26.0,10.0,5.0,243,,COMPLETE
21,0.24521455166177897,2026-06-24 12:44:35.918110,2026-06-24 12:44:37.638968,0 days 00:00:01.720858,0.7132617504359504,1.0,0.07525685513700302,0.12589204751921962,True,0.7523616508623473,0.7859472407720919,1.2275731394672713,0.013339052319188301,26.0,11.0,10.0,62.0,48,,COMPLETE
22,0.2470004635174754,2026-06-24 12:44:37.648620,2026-06-24 12:44:39.347017,0 days 00:00:01.698397,0.7066013010889338,1.0,0.1053929121666928,0.07581961536672624,True,0.40015726738282775,0.717612412432038,1.1336565712154199,0.011211312325154325,32.0,8.0,33.0,95.0,72,,COMPLETE
23,0.24463366053601876,2026-06-24 12:44:39.356503,2026-06-24 12:44:42.648563,0 days 00:00:03.292060,0.7494478610119301,1.0,0.04403892372458775,0.006887144023094747,True,0.7784726703600352,0.680774881613519,1.8430123037313946,0.007150327584377843,14.0,14.0,11.0,44.0,193,,COMPLETE
24,0.24613126999714208,2026-06-24 12:44:42.658432,2026-06-24 12:44:43.890709,0 days 00:00:01.232277,0.9546422085959807,1.0,0.06891297161839813,0.9405752237598528,True,0.7255400691309,0.853826316953791,0.825624151408976,0.01213276001843043,51.0,34.0,15.0,20.0,56,,COMPLETE
25,0.24316270905963933,2026-06-24 12:44:43.900019,2026-06-24 12:44:48.131096,0 days 00:00:04.231077,0.7392030116257073,1.0,0.008540060584659158,0.0685422418994942,True,0.8188270002314172,0.5424647795756331,1.315019791772388,0.01749756266678605,23.0,6.0,4.0,42.0,269,,COMPLETE
