number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.28600095646897206,2026-06-24 12:53:36.335165,2026-06-24 12:53:42.504063,0 days 00:00:06.168898,,,,,,,,,,,,268,{},COMPLETE
1,0.254856648956858,2026-06-24 12:53:42.518376,2026-06-24 12:54:12.630729,0 days 00:00:30.112353,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,345,,COMPLETE
2,0.2540691923927523,2026-06-24 12:54:12.643162,2026-06-24 12:54:15.351711,0 days 00:00:02.708549,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,129,,COMPLETE
3,0.25833396030793154,2026-06-24 12:54:15.363610,2026-06-24 12:54:31.449019,0 days 00:00:16.085409,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,224,,COMPLETE
4,0.24946550800979683,2026-06-24 12:54:31.458087,2026-06-24 12:54:37.321294,0 days 00:00:05.863207,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,333,,COMPLETE
5,0.25287234643777534,2026-06-24 12:54:37.334605,2026-06-24 12:54:44.452851,0 days 00:00:07.118246,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,349,,COMPLETE
6,0.2504142035316148,2026-06-24 12:54:44.461911,2026-06-24 12:54:53.939474,0 days 00:00:09.477563,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,400,,COMPLETE
7,0.2537251191805454,2026-06-24 12:54:53.949347,2026-06-24 12:55:04.103936,0 days 00:00:10.154589,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,784,,COMPLETE
8,0.2573573764862166,2026-06-24 12:55:04.112462,2026-06-24 12:55:11.216117,0 days 00:00:07.103655,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,325,,COMPLETE
9,0.25355855823711915,2026-06-24 12:55:11.225835,2026-06-24 12:55:17.146568,0 days 00:00:05.920733,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,209,,COMPLETE
10,0.26776110374960194,2026-06-24 12:55:17.154826,2026-06-24 12:55:24.364648,0 days 00:00:07.209822,0.8067426612208689,0.9630659181130071,lossguide,0.08641685654424158,31.0,7.0,137.0,0.05330630380208628,4.7988577526525065,2.5876151166352477,0.9729161367647149,103,,COMPLETE
11,0.24813887624854458,2026-06-24 12:55:24.372996,2026-06-24 12:55:33.947403,0 days 00:00:09.574407,0.7273145000499233,0.7708449222533328,lossguide,0.008236597407822864,45.0,5.0,9.0,4.359105583337639,0.034142440330290236,3.6785387663492077,0.742869807831149,680,,COMPLETE
12,0.25202176294926915,2026-06-24 12:55:33.959367,2026-06-24 12:55:42.164545,0 days 00:00:08.205178,0.7551457524243327,0.7336320081207262,lossguide,0.006517848044415345,35.0,5.0,9.0,0.06829067848735262,0.2101524301960419,4.971418225794803,0.7548944548876555,549,,COMPLETE
13,0.25116001595155235,2026-06-24 12:55:42.173917,2026-06-24 12:55:47.785557,0 days 00:00:05.611640,0.6099335813069354,0.7233933640208137,lossguide,0.008219018821177706,14.0,4.0,134.0,4.94518851860614,0.008472600268174982,3.233876512812538,0.7231297516673613,352,,COMPLETE
14,0.25000151034301954,2026-06-24 12:55:47.794025,2026-06-24 12:56:05.870370,0 days 00:00:18.076345,0.6742954100578371,0.8909568783600397,lossguide,0.008846808792590102,95.0,6.0,21.0,0.08309678117321814,1.0734176105029274,3.133512782464091,0.6047337600210452,712,,COMPLETE
15,0.2513035202536287,2026-06-24 12:56:05.879312,2026-06-24 12:56:09.501002,0 days 00:00:03.621690,0.8064114554738083,0.7326539706064991,lossguide,0.033957652539039894,47.0,4.0,62.0,1.237679687034366,1.01595432264829,3.9202738463705535,0.7911302960155628,150,,COMPLETE
16,0.24995918493191216,2026-06-24 12:56:09.509744,2026-06-24 12:56:18.257470,0 days 00:00:08.747726,0.657513942523747,0.9127465030868789,lossguide,0.011355002395558908,12.0,5.0,18.0,0.18079974190150352,1.2732356785204495,2.2928230774281415,0.6997108097658562,365,,COMPLETE
17,0.2516235791702994,2026-06-24 12:56:18.267111,2026-06-24 12:56:37.699303,0 days 00:00:19.432192,0.7616287146723626,0.771611160540024,lossguide,0.008957853685580532,28.0,6.0,276.0,1.7077577894133231,0.060749223339732095,4.956386852998385,0.7945101352497977,605,,COMPLETE
18,0.2508492143586829,2026-06-24 12:56:37.708214,2026-06-24 12:56:41.721863,0 days 00:00:04.013649,0.7041791051705739,0.6752970934926894,lossguide,0.03545623798872137,41.0,4.0,994.0,0.021193013199747167,2.3005330083152393,3.6095830814087755,0.764597800433642,180,,COMPLETE
19,0.251082028490507,2026-06-24 12:56:41.730995,2026-06-24 12:56:57.404808,0 days 00:00:15.673813,0.8801151332999179,0.8558525698737702,depthwise,0.005009749281998703,70.0,5.0,164.0,0.16160334436765317,0.719871350674822,1.9083088930479097,0.6940285933808718,1000,,COMPLETE
20,0.2548845829144033,2026-06-24 12:56:57.413321,2026-06-24 12:57:17.036530,0 days 00:00:19.623209,0.7705000524185361,0.7593351932991563,lossguide,0.011050284619449777,24.0,7.0,33.0,2.055255664566164,4.851901986528535,4.338505804973737,0.9805086233038107,582,,COMPLETE
21,0.25056454915689597,2026-06-24 12:57:17.046005,2026-06-24 12:57:27.595669,0 days 00:00:10.549664,0.6526858699640904,0.9148404221671845,lossguide,0.011628751147826999,12.0,5.0,15.0,0.19305476732737278,1.362428512380954,2.4208879137425177,0.6680177226438371,519,,COMPLETE
22,0.2522296358838956,2026-06-24 12:57:27.604747,2026-06-24 12:57:35.968200,0 days 00:00:08.363453,0.64126930266468,0.8609028763038048,lossguide,0.00701106047221921,11.0,5.0,8.0,0.01652535373239224,1.1594857722515721,1.4123279160141056,0.7119281268996533,605,,COMPLETE
23,0.24930731676436768,2026-06-24 12:57:35.977412,2026-06-24 12:57:43.407545,0 days 00:00:07.430133,0.7005442296100025,0.9186895811626957,lossguide,0.015019375213633224,10.0,4.0,15.0,0.233970755173276,0.5492451573738967,3.1017896462383536,0.6434373753987925,401,,COMPLETE
24,0.25136870258599675,2026-06-24 12:57:43.416962,2026-06-24 12:57:47.673647,0 days 00:00:04.256685,0.6967854561629327,0.9847801718201128,lossguide,0.016675123030375983,10.0,4.0,14.0,0.7614108812951667,0.5714399551842798,3.047506401690456,0.600235390892198,189,,COMPLETE
25,0.2516045761229164,2026-06-24 12:57:47.683081,2026-06-24 12:57:50.824517,0 days 00:00:03.141436,0.740307522244937,0.6899487595422809,lossguide,0.019870427110634487,20.0,4.0,27.0,0.2917584485036008,0.601861295927361,3.8267020418947215,0.6331678308224865,121,,COMPLETE
