feature_name,raw_gain,percentage_share
pca_embed_0,45.79785647734339,45.7978564773434
Discount_offered,34.177863760298514,34.17786376029852
pca_embed_2,3.515076968550253,3.5150769685502543
pca_embed_1,2.444266231369951,2.444266231369952
pca_embed_3,2.1198835549072372,2.1198835549072377
pca_embed_10,1.769801206331405,1.7698012063314055
Product_importance,1.5552838664045907,1.5552838664045912
Weight_in_gms,1.404184684117151,1.4041846841171515
pca_embed_6,1.222357523185325,1.2223575231853254
pca_embed_9,0.8685361623112502,0.8685361623112505
Cost_of_the_Product,0.7505341949592859,0.7505341949592861
pca_embed_5,0.7070308556417817,0.7070308556417819
Prior_purchases,0.6859909967362777,0.685990996736278
Customer_rating,0.523274876852662,0.5232748768526623
pca_embed_4,0.4605389624408145,0.46053896244081466
Customer_care_calls,0.4337427140245812,0.4337427140245813
pca_embed_7,0.4248025470354733,0.42480254703547343
pca_embed_8,0.42170718385431216,0.42170718385431233
Warehouse_block,0.32141971480731946,0.32141971480731957
Mode_of_Shipment,0.3039333472248076,0.30393334722480764
Gender,0.09191417160360131,0.09191417160360134
