feature_name,raw_gain,percentage_share
pca_embed_7,8.795260735371127,8.795260735371125
pca_embed_3,5.383645121096187,5.383645121096185
pca_embed_0,2.990900701513879,2.990900701513878
Recency,2.784494726225615,2.784494726225614
pca_embed_15,2.5998920946659263,2.5998920946659254
pca_embed_9,2.531781100513685,2.531781100513684
pca_embed_8,2.486051399360319,2.486051399360318
pca_embed_18,2.3196150020701336,2.3196150020701327
pca_embed_4,2.028647040414795,2.0286470404147945
MntMeatProducts,1.8757097455383405,1.8757097455383398
NumCatalogPurchases,1.8361010792956938,1.8361010792956933
pca_embed_1,1.783907847896885,1.7839078478968844
MntWines,1.7754994273339182,1.7754994273339177
pca_embed_37,1.5974017784837358,1.597401778483735
pca_embed_22,1.5644422491367396,1.5644422491367393
pca_embed_23,1.530972540419533,1.5309725404195325
pca_embed_32,1.5222788689946318,1.5222788689946314
Income,1.48538799960185,1.4853879996018495
MntGoldProds,1.4767225913952358,1.4767225913952353
pca_embed_41,1.4748059523612527,1.4748059523612522
pca_embed_34,1.4685422324501363,1.4685422324501358
pca_embed_17,1.4579302375465595,1.457930237546559
pca_embed_26,1.4570791269432308,1.4570791269432304
pca_embed_29,1.4232843757519282,1.4232843757519278
pca_embed_39,1.4182238416562074,1.418223841656207
pca_embed_6,1.4166361516373809,1.4166361516373804
pca_embed_19,1.402897858740285,1.4028978587402845
pca_embed_11,1.3545557534265957,1.3545557534265955
pca_embed_2,1.3461264122309922,1.3461264122309917
pca_embed_20,1.2967974134929925,1.296797413492992
pca_embed_31,1.2965809862590605,1.29658098625906
pca_embed_5,1.287093519993648,1.2870935199936475
NumStorePurchases,1.26798179877342,1.2679817987734199
pca_embed_13,1.2595048188097544,1.259504818809754
pca_embed_24,1.25751571145688,1.2575157114568798
pca_embed_12,1.244068579339235,1.2440685793392348
pca_embed_35,1.2426178908833796,1.2426178908833792
pca_embed_38,1.240037430760664,1.2400374307606636
pca_embed_33,1.2399290134778085,1.239929013477808
pca_embed_10,1.2340742859866196,1.2340742859866192
pca_embed_16,1.1798943081931301,1.1798943081931297
pca_embed_30,1.14876068275113,1.1487606827511299
NumWebPurchases,1.14671976197924,1.1467197619792397
pca_embed_14,1.145330901767251,1.1453309017672508
pca_embed_40,1.1372391509998236,1.1372391509998234
pca_embed_21,1.103701938959518,1.1037019389595175
Teenhome,1.0957103248332332,1.0957103248332327
MntSweetProducts,1.0786986961866156,1.0786986961866152
pca_embed_25,1.0780199258838519,1.0780199258838516
pca_embed_36,1.0303375048700893,1.0303375048700891
pca_embed_27,1.019784880523242,1.0197848805232417
pca_embed_28,1.0061987277634237,1.0061987277634235
AcceptedCmp5,0.9591603363791803,0.9591603363791801
Dt_Customer,0.9551595568131581,0.9551595568131578
Marital_Status,0.9458613603735883,0.945861360373588
MntFruits,0.9133419012101779,0.9133419012101777
Year_Birth,0.9098378664393459,0.9098378664393457
MntFishProducts,0.8390829691819082,0.8390829691819081
Education,0.8288667343391201,0.8288667343391198
NumDealsPurchases,0.7877064332595461,0.7877064332595459
AcceptedCmp3,0.7604105960607652,0.760410596060765
AcceptedCmp1,0.7592657334224815,0.7592657334224813
NumWebVisitsMonth,0.7100327687176048,0.7100327687176046
Kidhome,0.5367113912769812,0.5367113912769811
AcceptedCmp4,0.28572458722130056,0.2857245872213005
AcceptedCmp2,0.166999089810677,0.16699908981067693
Complain,0.01644642947738145,0.016446429477381445
