feature_name,raw_gain,percentage_share
pca_embed_0,9927977845241856.0,21.749744707280428
pca_embed_2,7424555478336512.0,16.265365287479202
pca_embed_1,6055253959135232.0,13.265564226864166
TOT_LVG_AREA,4330076130998272.0,9.486126165907725
pca_embed_5,3408375408531456.0,7.466907778975395
pca_embed_3,2456018066957312.0,5.380528319610547
pca_embed_6,1458514747574272.0,3.1952451854782704
OCEAN_DIST,1397907943498752.0,3.062470663142034
pca_embed_4,1247828785687552.0,2.733684336343202
CNTR_DIST,1024855951040512.0,2.2452059869927323
SPEC_FEAT_VAL,1014740178864128.0,2.2230448313391866
SUBCNTR_DI,794834813018112.0,1.7412865476818324
pca_embed_9,640082369551360.0,1.4022622075093945
LND_SQFOOT,549428160598016.0,1.2036612504856377
pca_embed_11,476407312701440.0,1.0436906275837294
LONGITUDE,394396094255104.0,0.8640243257299544
structure_quality,376672187781120.0,0.825195628986879
WATER_DIST,367594350020608.0,0.8053083310030431
pca_embed_7,242998257184768.0,0.5323490987256554
pca_embed_35,170991823255552.0,0.3746008060063386
pca_embed_8,144694000961536.0,0.3169887796533183
pca_embed_29,125602609106944.0,0.2751642605602347
pca_embed_12,112058461249536.0,0.24549238147586844
LATITUDE,95472511139840.0,0.2091566657604604
pca_embed_27,93563465474048.0,0.20497441872961955
pca_embed_26,68311287617536.0,0.1496531407973564
HWY_DIST,67804420044800.0,0.14854271927151763
age,52745034364928.0,0.1155513287697078
pca_embed_10,50988942196736.0,0.11170416503344545
pca_embed_16,50441594040320.0,0.11050506055782919
pca_embed_42,47267484290048.0,0.10355137091252117
pca_embed_19,42314193092608.0,0.09269993462967611
pca_embed_52,40730090667008.0,0.08922955789394475
pca_embed_33,39809768152064.0,0.0872133588189249
pca_embed_17,39573473130496.0,0.08669569485202067
pca_embed_22,37702551644160.0,0.08259696847193754
pca_embed_31,33420364580864.0,0.0732157554125083
pca_embed_20,30925310453760.0,0.0677497087370147
pca_embed_37,29850223803392.0,0.065394459707635
pca_embed_57,29555088975872.0,0.06474789227438234
pca_embed_71,28846833214464.0,0.06319627902159215
pca_embed_66,26701840342016.0,0.05849713000031998
pca_embed_43,26329798130688.0,0.057682077504952634
pca_embed_14,23844944344064.0,0.05223837725335578
RAIL_DIST,23606747846656.0,0.051716547623037325
pca_embed_45,22040589017088.0,0.0482854808695511
pca_embed_44,20916993986560.0,0.04582396197322669
pca_embed_21,20875595522048.0,0.04573326817349778
pca_embed_38,19277466097664.0,0.04223216175168966
pca_embed_59,19172681940992.0,0.042002605572928044
pca_embed_53,18401425281024.0,0.040312972928740254
pca_embed_48,17701702782976.0,0.03878005394607166
pca_embed_72,17482278215680.0,0.03829934897315709
pca_embed_13,16571597877248.0,0.036304273522789456
pca_embed_61,16361965256704.0,0.03584502028409137
pca_embed_24,15930684766208.0,0.034900191366084236
pca_embed_69,15817008590848.0,0.03465115497298178
pca_embed_41,15130845542400.0,0.033147941391732126
pca_embed_39,15017286178816.0,0.03289916090434849
pca_embed_58,14882613032960.0,0.0326041253405153
pca_embed_49,14734422419456.0,0.032279476347339714
pca_embed_54,14562580723712.0,0.03190301368084722
pca_embed_70,13856767783936.0,0.03035675204625056
pca_embed_47,13617918048256.0,0.029833491332395205
pca_embed_62,13278392651776.0,0.029089675138383717
pca_embed_60,13208417298432.0,0.02893637644102984
pca_embed_65,13021971916800.0,0.028527920709605036
pca_embed_25,12376267079680.0,0.027113341065841342
pca_embed_36,12135022661632.0,0.026584834195017174
pca_embed_55,11978397640704.0,0.026241707500633073
pca_embed_50,11272916363264.0,0.0246961724562091
pca_embed_34,11271602800640.0,0.024693294765286096
pca_embed_56,10266383730688.0,0.022491108329422506
pca_embed_67,8892942974976.0,0.01948223922506336
pca_embed_23,8709694611456.0,0.019080787369840185
pca_embed_63,8325812998144.0,0.018239797672088543
pca_embed_40,7942276711424.0,0.017399564499515918
pca_embed_51,7632031705088.0,0.016719894400559102
pca_embed_64,7534667538432.0,0.016506593585285827
pca_embed_15,7320428623872.0,0.016037249095332308
pca_embed_68,6810658420736.0,0.014920468623979798
pca_embed_28,6675674869760.0,0.014624753039278203
pca_embed_46,6553407048704.0,0.014356894474791384
month_sold,5147998586880.0,0.011277992030546552
pca_embed_32,4355044621312.0,0.009540825954577182
pca_embed_18,4132498976768.0,0.009053283473117178
pca_embed_30,3545093689344.0,0.007766423727826576
avno60plus,0.0,0.0
