feature_name,raw_gain,percentage_share
pca_embed_3,5445.052193635609,15.651037331054665
pca_embed_4,4258.496042624582,12.24044842309664
pca_embed_0,4104.221044059843,11.797006620168219
sales_growth_ratio,1635.8008253035405,4.701879591332539
pca_embed_5,1434.417378413491,4.123031173898332
operating_profit_to_financial_expenses,1201.328836994413,3.4530509177944353
sales_profit_to_total_assets,917.7500706519932,2.637943605598732
gross_profit_plus_depreciation_to_total_liabilities,848.8528337366879,2.439908180294942
gross_profit_to_short_term_liabilities,682.5703721651807,1.9619526123763795
liabilities_to_adjusted_operating_profit,557.3357736561447,1.6019833583267034
net_profit_to_inventory,528.6617018394172,1.5195637684903567
sales_profit_to_sales,438.1148128325585,1.2592994607003172
total_costs_to_total_sales,377.77002901304513,1.0858468599341486
pca_embed_1,376.39413210377097,1.0818920376248413
pca_embed_46,353.2671458402183,1.0154167656726778
pca_embed_45,332.8154896935448,0.9566313541742144
pca_embed_2,301.6182582635229,0.8669592966120236
pca_embed_34,301.41612207423896,0.866378284542362
net_profit_plus_depreciation_to_total_liabilities,299.4539821976796,0.860738389209003
retained_earnings_to_total_assets,290.250865523587,0.8342853236540699
pca_embed_8,260.4005854073912,0.7484848883548295
pca_embed_44,254.39423155784607,0.7312204682942409
pca_embed_6,252.05863932985812,0.7245071366583961
current_assets_minus_inventory_to_short_term_liabilities,246.83150162454695,0.7094824639002522
operating_expenses_to_total_liabilities,237.59327849606052,0.6829284897757151
three_year_gross_profit_to_total_assets,228.9167966141831,0.6579891619224015
pca_embed_18,218.71985960006714,0.6286794994628055
pca_embed_22,205.24380224196648,0.5899444663930413
pca_embed_50,203.40737312473357,0.5846659089710863
log_total_assets,188.4093123935163,0.5415560910942119
book_value_equity_to_total_liabilities,185.31076923850924,0.5326497642370362
current_assets_minus_inventories_to_long_term_liabilities,180.22200052719563,0.5180228137069819
inventory_turnover_ratio,176.12008493719622,0.5062324337905223
pca_embed_14,173.49902088567615,0.4986985535156235
pca_embed_9,169.92081642523408,0.488413507643339
pca_embed_33,168.23147473763674,0.48355773236750293
equity_minus_share_capital_to_total_assets,161.51578192040324,0.46425441712852855
pca_embed_32,156.2090069449623,0.44900083822891534
constant_capital_to_fixed_assets,150.91982887743507,0.433797839168186
equity_to_fixed_assets,149.493535026093,0.42969815793124577
net_profit_to_sales,149.26159532740712,0.4290314798621302
pca_embed_10,149.14318421203643,0.4286911237514496
sales_to_short_term_liabilities,147.42437993187923,0.4237506623937128
current_assets_to_short_term_liabilities,146.83503291755915,0.42205666722267465
pca_embed_47,143.89557249471545,0.41360760132302044
constant_capital_to_total_assets,143.7081631787064,0.4130689195810026
pca_embed_17,140.73080426524393,0.40451091979598386
working_capital_absolute,134.9126935589593,0.38778757819666854
pca_embed_41,134.80898019485176,0.3874894687065017
pca_embed_25,131.15829107444733,0.37699607586550954
pca_embed_37,129.9547384493053,0.37353663298119627
short_term_liabilities_days_ratio,120.70611595280934,0.34695276733475117
pca_embed_26,119.3448804821819,0.3430400872704448
gross_profit_plus_depreciation_to_sales,116.84984050225466,0.33586844547902944
pca_embed_48,113.41309002926573,0.3259899892149848
pca_embed_31,109.87197208916768,0.3158115433336173
pca_embed_13,109.39493267954094,0.31444036058955116
pca_embed_49,109.39173758402467,0.3144311767365001
pca_embed_43,109.24469050043263,0.31400851055941337
equity_to_total_assets,108.57074656710029,0.31207135343317843
liquid_assets_to_short_term_liabilities,104.61842427402735,0.300710958426213
operating_profit_to_total_assets,103.62301413528621,0.2978497918685522
receivables_plus_inventory_turnover_days,103.24712801817805,0.2967693600486403
pca_embed_27,102.83469998091459,0.2955838936145208
pca_embed_51,101.57820463180542,0.2919722743102669
pca_embed_16,100.2340111322701,0.28810857899693665
pca_embed_38,97.39347777073272,0.2799438650326718
receivables_days_ratio,97.30673701874912,0.27969454093087426
sales_to_total_assets,96.84321719966829,0.27836221834990854
pca_embed_20,91.34070507693104,0.2625460205275622
extended_profit_to_total_assets,91.24529585242271,0.2622717801196829
short_term_liabilities_to_total_assets,89.47445274889469,0.2571817404772433
working_capital_to_fixed_assets,88.43213508545887,0.2541857448318169
pca_embed_30,86.32806201279163,0.24813788247228385
total_assets_to_total_liabilities,81.43540085176937,0.2340746155363186
pca_embed_36,78.3402915019542,0.2251781586696105
total_sales_to_total_assets,75.76121600158513,0.217764968584295
pca_embed_15,74.9533118022373,0.21544276149899136
working_capital_to_total_assets,74.1091357790865,0.2130162961534879
pca_embed_35,73.2576096933335,0.2105687040859473
inventory_days_ratio,73.10643528845685,0.21013417450384525
pca_embed_28,72.45324712188449,0.20825667691232969
current_assets_to_total_liabilities,72.23449832946062,0.20762791424953084
gross_margin,71.96941690891981,0.20686597495838824
long_term_liabilities_to_equity,64.53663598978892,0.18550149074373914
pca_embed_7,63.63284188695252,0.18290366160637786
pca_embed_23,63.49065453046933,0.1824949640319224
net_profit_to_total_assets,63.264311890583485,0.18184437392176633
inventory_days_cost_ratio,62.62717455998063,0.1800130122026024
total_liabilities_to_total_assets,60.80601891130209,0.17477835621960847
pca_embed_40,59.357510885223746,0.1706148234591727
operating_profit_to_sales,58.29610612243414,0.16756396462898623
pca_embed_29,58.15156250074506,0.1671484943013251
current_liabilities_days_ratio,57.82195086599677,0.1662010719779496
