feature_name,raw_gain,percentage_share
pca_embed_3,10.839410597489913,10.839410597489909
pca_embed_4,6.934694117744059,6.9346941177440575
pca_embed_0,4.9824731873962715,4.98247318739627
pca_embed_1,3.5723620710440662,3.5723620710440653
pca_embed_5,3.476633368799197,3.4766333687991957
sales_growth_ratio,2.4046712128038514,2.404671212803851
pca_embed_46,1.739969248828075,1.7399692488280745
operating_profit_to_financial_expenses,1.4448215568612992,1.4448215568612988
pca_embed_10,1.4239752773120127,1.4239752773120122
pca_embed_44,1.4202885262777054,1.420288526277705
log_total_assets,1.3966150894830454,1.396615089483045
pca_embed_22,1.3709466486543078,1.3709466486543076
pca_embed_6,1.3643810446612652,1.364381044661265
pca_embed_2,1.2689479364336524,1.268947936433652
pca_embed_34,1.1824407793434657,1.1824407793434653
pca_embed_8,1.1725098370741933,1.172509837074193
pca_embed_20,1.1293556013914563,1.129355601391456
three_year_gross_profit_to_total_assets,1.1277960469386759,1.1277960469386756
pca_embed_47,1.0896795506391044,1.0896795506391042
pca_embed_45,0.992909121399727,0.9929091213997268
pca_embed_51,0.9878665792663982,0.987866579266398
pca_embed_32,0.9869333494365803,0.98693334943658
pca_embed_38,0.9858189047929917,0.9858189047929915
pca_embed_50,0.9531104246251034,0.9531104246251032
operating_expenses_to_total_liabilities,0.9493604555612137,0.9493604555612135
equity_minus_share_capital_to_total_assets,0.9326819108398143,0.9326819108398141
pca_embed_13,0.9315143872041968,0.9315143872041964
pca_embed_9,0.8477513235972118,0.8477513235972116
retained_earnings_to_total_assets,0.8450872240565053,0.845087224056505
sales_profit_to_total_assets,0.8234418600103673,0.8234418600103672
pca_embed_23,0.7911034176239831,0.791103417623983
pca_embed_16,0.7873521546317095,0.7873521546317092
pca_embed_27,0.7739522143838138,0.7739522143838136
pca_embed_7,0.7528881044035517,0.7528881044035515
pca_embed_49,0.7491962076134404,0.7491962076134402
pca_embed_25,0.7316764474645958,0.7316764474645956
sales_profit_to_sales,0.7301893913545746,0.7301893913545744
pca_embed_29,0.7236174019847377,0.7236174019847375
pca_embed_17,0.6871025702895407,0.6871025702895406
pca_embed_24,0.6722891452134372,0.672289145213437
pca_embed_42,0.6638711018441262,0.663871101844126
pca_embed_36,0.6561168411047441,0.6561168411047439
net_profit_to_inventory,0.649208391986645,0.6492083919866448
pca_embed_43,0.6295883644328227,0.6295883644328226
constant_capital_to_total_assets,0.6247670672740165,0.6247670672740163
gross_profit_to_sales,0.6244017810776026,0.6244017810776024
pca_embed_12,0.617988089133839,0.6179880891338388
pca_embed_11,0.6136007922020319,0.6136007922020318
net_profit_to_total_assets,0.609675157035055,0.6096751570350549
current_assets_minus_inventory_to_short_term_liabilities,0.6086306927414086,0.6086306927414085
pca_embed_18,0.6040802955900009,0.6040802955900008
working_capital_absolute,0.5923190965730463,0.592319096573046
pca_embed_30,0.5855888477698581,0.585588847769858
pca_embed_39,0.5826937773125787,0.5826937773125784
net_profit_to_sales,0.5793780943933875,0.5793780943933873
receivables_turnover_ratio,0.5709472433872916,0.5709472433872914
book_value_equity_to_total_liabilities,0.5678142155034764,0.5678142155034762
operating_profit_to_total_assets,0.5678054108904323,0.5678054108904322
pca_embed_28,0.5488557194337063,0.5488557194337061
extended_profit_to_total_assets,0.5460537781593142,0.5460537781593141
pca_embed_31,0.5447266916183736,0.5447266916183735
total_costs_to_total_sales,0.5423568282123015,0.5423568282123014
total_sales_to_total_assets,0.5301390824212759,0.5301390824212757
adjusted_liquidity_ratio,0.527843612521592,0.5278436125215918
pca_embed_41,0.5187787557235847,0.5187787557235846
equity_to_total_assets,0.5186699785671541,0.5186699785671539
gross_profit_plus_interest_to_total_assets,0.5184099358920305,0.5184099358920304
sales_to_total_assets,0.5162922325966751,0.516292232596675
liabilities_days_ratio,0.5139960464853935,0.5139960464853934
pca_embed_21,0.5135813210550698,0.5135813210550697
pca_embed_26,0.5068566417180471,0.506856641718047
pca_embed_14,0.502514258698794,0.5025142586987938
gross_profit_plus_depreciation_to_total_liabilities,0.5012251968420729,0.5012251968420728
pca_embed_48,0.5004591677469471,0.500459167746947
working_capital_to_total_assets,0.49919945799883864,0.4991994579988385
current_assets_to_total_liabilities,0.4900652103631292,0.4900652103631291
pca_embed_35,0.48771613098636296,0.48771613098636285
pca_embed_15,0.48403980354609993,0.48403980354609977
operating_profit_to_sales,0.4634668834051601,0.46346688340516
pca_embed_37,0.46077950949657787,0.4607795094965777
short_term_liabilities_days_cost_ratio,0.4488021815584842,0.4488021815584841
liquidity_days_ratio,0.43456942293046197,0.43456942293046186
total_liabilities_to_total_assets,0.4190629230287442,0.41906292302874404
current_assets_minus_inventories_to_long_term_liabilities,0.41547669880441257,0.41547669880441246
net_profit_plus_depreciation_to_total_liabilities,0.4107245159323678,0.41072451593236764
liabilities_to_adjusted_operating_profit,0.4025860929586805,0.40258609295868036
gross_margin,0.3993368102390594,0.3993368102390593
sales_to_short_term_liabilities,0.3912462772241397,0.3912462772241396
inventory_turnover_ratio,0.39091231966882173,0.3909123196688217
long_term_liabilities_to_equity,0.38404853856348886,0.38404853856348875
pca_embed_40,0.3837049840835459,0.3837049840835458
receivables_days_ratio,0.37159538680495025,0.37159538680495013
operating_expenses_to_short_term_liabilities,0.367509787649134,0.3675097876491339
short_term_liabilities_days_ratio,0.35175833827825026,0.3517583382782502
inventory_days_ratio,0.3440121307928006,0.34401213079280046
gross_profit_plus_depreciation_to_sales,0.3362462410270722,0.33624624102707207
working_capital_to_fixed_assets,0.33430802874907906,0.33430802874907894
current_assets_to_short_term_liabilities,0.33426091289173054,0.3342609128917305
pca_embed_33,0.3277437079671262,0.3277437079671261
inventory_days_cost_ratio,0.30757911138072813,0.307579111380728
liquid_assets_to_short_term_liabilities,0.29468065606528077,0.2946806560652807
receivables_plus_inventory_turnover_days,0.28599877267427093,0.2859987726742709
sales_to_fixed_assets,0.255375076427149,0.25537507642714896
net_liabilities_to_sales,0.2544348620657397,0.2544348620657396
short_term_liabilities_to_total_assets,0.25157822103090655,0.2515782210309065
constant_capital_to_fixed_assets,0.23868496212871215,0.2386849621287121
equity_to_fixed_assets,0.22697234996207288,0.2269723499620728
ebit_to_total_assets,0.22412607029807913,0.22412607029807904
ebitda_to_sales,0.2135668925280829,0.21356689252808284
pca_embed_19,0.19440390014611625,0.1944039001461162
gross_profit_to_total_assets,0.1774208283046003,0.17742082830460024
current_liabilities_days_ratio,0.15807321480257092,0.15807321480257086
total_assets_to_total_liabilities,0.14362010783237344,0.1436201078323734
gross_profit_to_short_term_liabilities,0.13437336653083715,0.13437336653083712
ebitda_to_total_assets,0.12695229869086447,0.12695229869086444
gross_profit_plus_interest_to_sales,0.10193821130931241,0.10193821130931237
