number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,545.8876083926414,2026-06-24 13:54:48.109951,2026-06-24 13:54:51.197731,0 days 00:00:03.087780,,,,,,,,,,,,,,240,{},COMPLETE
1,539.1506750931239,2026-06-24 13:54:51.212445,2026-06-24 13:55:02.750473,0 days 00:00:11.538028,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,998,,COMPLETE
2,705.6737527554507,2026-06-24 13:55:02.763108,2026-06-24 13:55:08.512355,0 days 00:00:05.749247,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,1000,,COMPLETE
3,1279.6354717229005,2026-06-24 13:55:08.520420,2026-06-24 13:55:11.955612,0 days 00:00:03.435192,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,1218.90722824679,2026-06-24 13:55:11.964090,2026-06-24 13:55:15.188719,0 days 00:00:03.224629,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,542.9572713266443,2026-06-24 13:55:15.197876,2026-06-24 13:55:22.851731,0 days 00:00:07.653855,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,134,,COMPLETE
6,1105.4199135483714,2026-06-24 13:55:22.860817,2026-06-24 13:55:26.269784,0 days 00:00:03.408967,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,677.259735644328,2026-06-24 13:55:26.278298,2026-06-24 13:55:38.606935,0 days 00:00:12.328637,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,1000,,COMPLETE
8,537.6982580296442,2026-06-24 13:55:38.616067,2026-06-24 13:55:47.241699,0 days 00:00:08.625632,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,401,,COMPLETE
9,549.3326864993982,2026-06-24 13:55:47.257769,2026-06-24 13:56:03.853596,0 days 00:00:16.595827,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,1000,,COMPLETE
10,582.0522686797683,2026-06-24 13:56:03.862502,2026-06-24 13:56:08.827268,0 days 00:00:04.964766,0.7022641957948879,1.0,0.005502059192515464,0.0017684001062801304,False,0.7971859899035706,0.028575443310857374,1.0306723536455278,0.03977775115411819,31.0,16.0,23.0,8.0,999,,COMPLETE
11,561.225675293941,2026-06-24 13:56:08.838426,2026-06-24 13:56:21.791676,0 days 00:00:12.953250,0.997185108046352,1.0,0.038127979308424445,57.93237101717496,False,0.997017217496806,0.6254146766515248,0.9843201610931961,0.005765273233019838,8.0,1.0,62.0,31.0,1000,,COMPLETE
12,538.8896561870513,2026-06-24 13:56:21.801210,2026-06-24 13:56:34.909464,0 days 00:00:13.108254,0.9160269836051458,1.0,0.22091546031704815,0.0013419844206405704,False,0.8595566678354043,0.20534873592247582,1.9853766433570812,0.040851082831757854,97.0,4.0,27.0,197.0,222,,COMPLETE
13,539.9114772136624,2026-06-24 13:56:34.918607,2026-06-24 13:56:47.715410,0 days 00:00:12.796803,0.8091386286860937,1.0,0.019290034742268158,0.001371659105498169,False,0.856815538324733,0.19618126578446127,1.938542777112231,0.04451506475158212,94.0,4.0,18.0,197.0,195,,COMPLETE
14,547.0148574963152,2026-06-24 13:56:47.724638,2026-06-24 13:56:54.436061,0 days 00:00:06.711423,0.9106002826605426,1.0,0.14466608887097088,0.00709442762392244,False,0.6965914741188153,0.2551315635069747,0.9670130922993264,0.04470899732921436,28.0,20.0,12.0,84.0,219,,COMPLETE
15,549.3906206289076,2026-06-24 13:56:54.445097,2026-06-24 13:57:14.446257,0 days 00:00:20.001160,0.794037454742461,1.0,0.006008688948620167,0.006788261361065667,True,0.836178851072827,0.2567812682755308,1.9876865353142437,0.030195934611497704,52.0,4.0,36.0,84.0,1000,,COMPLETE
16,541.3247650519324,2026-06-24 13:57:14.455684,2026-06-24 13:57:22.815295,0 days 00:00:08.359611,0.872861114179559,1.0,0.05330696328159756,0.09919122221659406,False,0.7293900759690397,0.42908499855992477,0.5863518207621798,0.06183644942754153,99.0,8.0,2.0,177.0,116,,COMPLETE
17,535.2800021174181,2026-06-24 13:57:22.825451,2026-06-24 13:57:31.192404,0 days 00:00:08.366953,0.9881398643569345,1.0,0.020246527681539072,0.0012624457944142222,False,0.8937917322587875,0.6050811408676781,1.2631607822622877,0.05764690687438797,25.0,3.0,10.0,55.0,466,,COMPLETE
