number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.19751595098741836,2026-06-24 16:11:38.927095,2026-06-24 16:11:39.698021,0 days 00:00:00.770926,,,,,,,,,,,,,,18,{},COMPLETE
1,0.18890106019182107,2026-06-24 16:11:39.714002,2026-06-24 16:11:41.533434,0 days 00:00:01.819432,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,142,,COMPLETE
2,0.18005493952504814,2026-06-24 16:11:41.547297,2026-06-24 16:11:41.928087,0 days 00:00:00.380790,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,47,,COMPLETE
3,0.1770355716143759,2026-06-24 16:11:41.940981,2026-06-24 16:11:42.551803,0 days 00:00:00.610822,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,707,,COMPLETE
4,0.17583676186937058,2026-06-24 16:11:42.564835,2026-06-24 16:11:43.329347,0 days 00:00:00.764512,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,929,,COMPLETE
5,0.20061378536922014,2026-06-24 16:11:43.342085,2026-06-24 16:11:46.407032,0 days 00:00:03.064947,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,47,,COMPLETE
6,0.17592297849091332,2026-06-24 16:11:46.416627,2026-06-24 16:11:46.877055,0 days 00:00:00.460428,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,457,,COMPLETE
7,0.17875467276282486,2026-06-24 16:11:46.886337,2026-06-24 16:11:47.706317,0 days 00:00:00.819980,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,85,,COMPLETE
8,0.19734021363097454,2026-06-24 16:11:47.717892,2026-06-24 16:11:50.040161,0 days 00:00:02.322269,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,78,,COMPLETE
9,0.18122672189927624,2026-06-24 16:11:50.049621,2026-06-24 16:11:50.498241,0 days 00:00:00.448620,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,28,,COMPLETE
10,0.17730827847675668,2026-06-24 16:11:50.510047,2026-06-24 16:11:50.809870,0 days 00:00:00.299823,0.7022641957948879,1.0,0.057653378104997925,0.22558869559786265,True,0.6839963928728011,0.6782859743712771,0.8995064310918593,0.005636613642342692,8.0,58.0,23.0,8.0,33,,COMPLETE
11,0.1771983938967635,2026-06-24 16:11:50.818603,2026-06-24 16:11:51.387504,0 days 00:00:00.568901,0.9924871008391687,1.0,0.30004565117993076,0.4525643080820252,True,0.42613796171626006,0.7704611500939563,0.17282920674635915,0.027318196863439406,17.0,63.0,5.0,2.0,700,,COMPLETE
