number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.21717241720638447,2026-06-24 16:14:12.732402,2026-06-24 16:14:13.474506,0 days 00:00:00.742104,,,,,,,,,,,,11,{},COMPLETE
1,0.19666077179664132,2026-06-24 16:14:13.490720,2026-06-24 16:14:16.451449,0 days 00:00:02.960729,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,13,,COMPLETE
2,0.1917673384385341,2026-06-24 16:14:16.464794,2026-06-24 16:14:17.346013,0 days 00:00:00.881219,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,88,,COMPLETE
3,0.19923521526782406,2026-06-24 16:14:17.360409,2026-06-24 16:14:21.609796,0 days 00:00:04.249387,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,143,,COMPLETE
4,0.19740332081364698,2026-06-24 16:14:21.619854,2026-06-24 16:14:22.333180,0 days 00:00:00.713326,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,19,,COMPLETE
5,0.19302804431880527,2026-06-24 16:14:22.342734,2026-06-24 16:14:24.189004,0 days 00:00:01.846270,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,231,,COMPLETE
6,0.19228534599458513,2026-06-24 16:14:24.199207,2026-06-24 16:14:26.421029,0 days 00:00:02.221822,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,209,,COMPLETE
7,0.18831575932119415,2026-06-24 16:14:26.431148,2026-06-24 16:14:30.522415,0 days 00:00:04.091267,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,839,,COMPLETE
8,0.20296900437525434,2026-06-24 16:14:30.538273,2026-06-24 16:14:31.324016,0 days 00:00:00.785743,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,21,,COMPLETE
9,0.1929604523898002,2026-06-24 16:14:31.333269,2026-06-24 16:14:33.433965,0 days 00:00:02.100696,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,180,,COMPLETE
10,0.20242469109996286,2026-06-24 16:14:33.446023,2026-06-24 16:14:34.746794,0 days 00:00:01.300771,0.8560354009870226,0.9630659181130071,depthwise,0.005461221300406469,31.0,8.0,9.0,0.05431856977726699,4.7988577526525065,0.08014213586217389,0.9729161367647149,171,,COMPLETE
