number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.19467729734034078,2026-06-24 16:16:58.686271,2026-06-24 16:16:59.589858,0 days 00:00:00.903587,,,,,,,,,,,,,,100,{},COMPLETE
1,0.19482476862911646,2026-06-24 16:16:59.606410,2026-06-24 16:17:00.733920,0 days 00:00:01.127510,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,368,,COMPLETE
2,0.20396901709401716,2026-06-24 16:17:00.742645,2026-06-24 16:17:01.542333,0 days 00:00:00.799688,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,287,,COMPLETE
3,0.19425452566756918,2026-06-24 16:17:01.551387,2026-06-24 16:17:03.221710,0 days 00:00:01.670323,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,611,,COMPLETE
4,0.19427320565907524,2026-06-24 16:17:03.234575,2026-06-24 16:17:04.001384,0 days 00:00:00.766809,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,216,,COMPLETE
5,0.19213461759657413,2026-06-24 16:17:04.013505,2026-06-24 16:17:07.770428,0 days 00:00:03.756923,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,293,,COMPLETE
6,0.2173868583107713,2026-06-24 16:17:07.783678,2026-06-24 16:17:09.106834,0 days 00:00:01.323156,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,344,,COMPLETE
7,0.20099431968997195,2026-06-24 16:17:09.115698,2026-06-24 16:17:14.326023,0 days 00:00:05.210325,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,215,,COMPLETE
8,0.193725513616818,2026-06-24 16:17:14.335143,2026-06-24 16:17:20.510586,0 days 00:00:06.175443,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,386,,COMPLETE
9,0.20951780405584752,2026-06-24 16:17:20.519797,2026-06-24 16:17:24.960069,0 days 00:00:04.440272,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,177,,COMPLETE
