number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.6258073084643959,2026-06-24 22:57:48.853267,2026-06-24 22:57:51.044638,0 days 00:00:02.191371,,,,,,,,,,,,,,100,{},COMPLETE
1,0.43143813508597945,2026-06-24 22:57:51.059302,2026-06-24 22:58:00.668766,0 days 00:00:09.609464,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,665,,COMPLETE
2,0.4580308427961809,2026-06-24 22:58:00.683074,2026-06-24 22:58:03.926161,0 days 00:00:03.243087,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,301,,COMPLETE
3,0.4370955811010987,2026-06-24 22:58:03.936846,2026-06-24 22:58:16.228031,0 days 00:00:12.291185,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.4559072343048648,2026-06-24 22:58:16.238729,2026-06-24 22:58:19.629455,0 days 00:00:03.390726,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,346,,COMPLETE
5,0.42694011820180355,2026-06-24 22:58:19.638601,2026-06-24 22:58:48.265411,0 days 00:00:28.626810,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,919,,COMPLETE
6,0.5321384491627656,2026-06-24 22:58:48.279360,2026-06-24 22:58:52.608473,0 days 00:00:04.329113,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,220,,COMPLETE
7,0.46150866328593654,2026-06-24 22:58:52.617431,2026-06-24 22:59:11.861413,0 days 00:00:19.243982,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,338,,COMPLETE
8,0.43250535669779033,2026-06-24 22:59:11.871135,2026-06-24 23:00:03.443226,0 days 00:00:51.572091,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.47748005016877154,2026-06-24 23:00:03.452969,2026-06-24 23:00:13.275955,0 days 00:00:09.822986,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,226,,COMPLETE
