number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,88982.50113272716,2026-06-24 23:10:35.139188,2026-06-24 23:10:40.726019,0 days 00:00:05.586831,,,,,,,,,,,,,,699,{},COMPLETE
1,88336.2053910357,2026-06-24 23:10:40.740422,2026-06-24 23:10:49.518468,0 days 00:00:08.778046,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,1000,,COMPLETE
2,99968.36094792378,2026-06-24 23:10:49.533055,2026-06-24 23:10:52.857881,0 days 00:00:03.324826,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,1000,,COMPLETE
3,156576.74584660857,2026-06-24 23:10:52.867801,2026-06-24 23:10:54.750532,0 days 00:00:01.882731,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,162268.4807538365,2026-06-24 23:10:54.759927,2026-06-24 23:10:56.361805,0 days 00:00:01.601878,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,92208.08199995103,2026-06-24 23:10:56.370968,2026-06-24 23:11:09.833506,0 days 00:00:13.462538,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,359,,COMPLETE
6,141788.05784923193,2026-06-24 23:11:09.842569,2026-06-24 23:11:11.744019,0 days 00:00:01.901450,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,95125.63404743148,2026-06-24 23:11:11.753281,2026-06-24 23:11:19.703716,0 days 00:00:07.950435,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,1000,,COMPLETE
8,87725.75471472146,2026-06-24 23:11:19.712130,2026-06-24 23:11:33.501116,0 days 00:00:13.788986,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,993,,COMPLETE
9,89670.24859987633,2026-06-24 23:11:33.517541,2026-06-24 23:11:46.935003,0 days 00:00:13.417462,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,998,,COMPLETE
10,89888.8620234713,2026-06-24 23:11:46.944413,2026-06-24 23:11:50.523442,0 days 00:00:03.579029,0.7022641957948879,1.0,0.005502059192515464,0.0017684001062801304,False,0.7971859899035706,0.028575443310857374,1.0306723536455278,0.03977775115411819,31.0,16.0,23.0,8.0,1000,,COMPLETE
11,94138.73379656015,2026-06-24 23:11:50.532774,2026-06-24 23:12:00.802242,0 days 00:00:10.269468,0.997185108046352,1.0,0.038127979308424445,57.93237101717496,False,0.997017217496806,0.6254146766515248,0.9843201610931961,0.005765273233019838,8.0,1.0,62.0,31.0,1000,,COMPLETE
12,89567.0627622446,2026-06-24 23:12:00.812624,2026-06-24 23:12:28.835551,0 days 00:00:28.022927,0.9160269836051458,1.0,0.22091546031704815,0.0013419844206405704,False,0.8595566678354043,0.20534873592247582,1.9853766433570812,0.040851082831757854,97.0,4.0,27.0,197.0,571,,COMPLETE
13,88816.35383900002,2026-06-24 23:12:28.844715,2026-06-24 23:12:41.159598,0 days 00:00:12.314883,0.7964112275156837,1.0,0.02494206466752136,0.13681772724526498,False,0.7493292963729431,0.6745049569440642,0.9863942205986849,0.04175675997330017,23.0,22.0,12.0,56.0,1000,,COMPLETE
14,87683.82339200328,2026-06-24 23:12:41.169052,2026-06-24 23:12:46.257759,0 days 00:00:05.088707,0.8964737581537803,1.0,0.12318984709409456,0.01375133179800525,False,0.8887540772080859,0.2551315635069747,1.9328891813246218,0.02456627754543285,8.0,3.0,47.0,14.0,1000,,COMPLETE
15,94122.45294231844,2026-06-24 23:12:46.270244,2026-06-24 23:12:50.807160,0 days 00:00:04.536916,0.8745352765879018,1.0,0.013351566451870987,0.006788261361065667,True,0.6332615168718317,0.2567812682755308,1.9871622545624033,0.026613869896088847,13.0,4.0,2.0,14.0,1000,,COMPLETE
16,87788.78637226361,2026-06-24 23:12:50.816752,2026-06-24 23:12:53.719165,0 days 00:00:02.902413,0.8003126062483137,1.0,0.07904646028901316,0.006637181409106276,False,0.8775206571361439,0.21583784494799363,0.5933720656250379,0.0627087596526082,34.0,8.0,34.0,6.0,997,,COMPLETE
17,87777.58082242253,2026-06-24 23:12:53.728195,2026-06-24 23:13:11.924373,0 days 00:00:18.196178,0.8456464729974449,1.0,0.005081173459640525,0.09339989972661035,False,0.8488348824117568,0.3879265001102913,1.274831298573336,0.027776358985100794,25.0,3.0,13.0,80.0,1000,,COMPLETE
18,87384.72070061801,2026-06-24 23:13:11.935847,2026-06-24 23:13:17.182916,0 days 00:00:05.247069,0.9746396875076176,1.0,0.018014818027319714,0.005955912131439701,False,0.7024766984167917,0.5900276705269727,0.6648020539849382,0.05402317772666315,12.0,14.0,11.0,15.0,1000,,COMPLETE
19,90295.39535523747,2026-06-24 23:13:17.195757,2026-06-24 23:13:21.944602,0 days 00:00:04.748845,0.9994897750052127,1.0,0.019226303793719167,0.01201686841643753,True,0.6349180374170156,0.5620842292995404,0.5547491302905476,0.06623438754745689,11.0,23.0,42.0,16.0,1000,,COMPLETE
20,87731.07525962347,2026-06-24 23:13:21.956211,2026-06-24 23:13:25.804899,0 days 00:00:03.848688,0.9134453595637725,1.0,0.04502744165372192,0.05400531636498665,False,0.673365948436623,0.7544023167486005,0.3669057886917406,0.09978856848177636,10.0,13.0,13.0,11.0,979,,COMPLETE
21,92170.68537201539,2026-06-24 23:13:25.815761,2026-06-24 23:13:28.297941,0 days 00:00:02.482180,0.9594717592834971,1.0,0.010944724182953829,0.002884704141156687,False,0.9158490276804512,0.2825855461492154,0.7760780938428422,0.053510438866632,15.0,7.0,4.0,4.0,999,,COMPLETE
22,86130.98953176348,2026-06-24 23:13:28.307570,2026-06-24 23:13:35.038969,0 days 00:00:06.731399,0.8973119672799246,1.0,0.00888214082412623,0.004018152498896557,False,0.7869583138606369,0.14475002022935798,0.8122153250230865,0.03268606864988112,9.0,2.0,9.0,23.0,1000,,COMPLETE
23,87213.97091668591,2026-06-24 23:13:35.052431,2026-06-24 23:13:41.100548,0 days 00:00:06.048117,0.967912315958126,1.0,0.024587684094322538,0.007574987400981899,False,0.7715320684612544,0.12356648910169887,0.7596336581061793,0.030937132628702357,9.0,2.0,8.0,20.0,1000,,COMPLETE
24,86655.67050520227,2026-06-24 23:13:41.109314,2026-06-24 23:13:47.702005,0 days 00:00:06.592691,0.9656984188759933,1.0,0.023083338348769668,0.003064754398922134,False,0.79262539079094,0.11831847556092123,0.7760641008960609,0.033491740762191656,10.0,2.0,9.0,22.0,1000,,COMPLETE
25,85667.00797082456,2026-06-24 23:13:47.712095,2026-06-24 23:13:54.801830,0 days 00:00:07.089735,0.9294960759938988,1.0,0.028795006460185717,0.0034845670921011857,False,0.7851531990997443,0.13532894520017025,0.8123648736994291,0.03255573934660111,10.0,2.0,9.0,24.0,1000,,COMPLETE
