number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,87408.51518725214,2026-06-24 23:37:02.138840,2026-06-24 23:37:04.922196,0 days 00:00:02.783356,,,,,,,,,,,,,,100,{},COMPLETE
1,78836.75652916444,2026-06-24 23:37:04.936603,2026-06-24 23:37:18.643675,0 days 00:00:13.707072,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,81420.0070780454,2026-06-24 23:37:18.657014,2026-06-24 23:37:23.312959,0 days 00:00:04.655945,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,712,,COMPLETE
3,79048.43643965293,2026-06-24 23:37:23.325076,2026-06-24 23:37:45.805338,0 days 00:00:22.480262,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,81001.35905943914,2026-06-24 23:37:45.815346,2026-06-24 23:37:50.308379,0 days 00:00:04.493033,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,482,,COMPLETE
5,78860.48619851026,2026-06-24 23:37:50.319510,2026-06-24 23:38:56.587785,0 days 00:01:06.268275,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,80650.645500765,2026-06-24 23:38:56.596787,2026-06-24 23:39:02.042239,0 days 00:00:05.445452,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,327,,COMPLETE
7,79083.7703462592,2026-06-24 23:39:02.053353,2026-06-24 23:41:08.812853,0 days 00:02:06.759500,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,78957.28110181591,2026-06-24 23:41:08.823483,2026-06-24 23:43:21.964971,0 days 00:02:13.141488,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,81425.65661951293,2026-06-24 23:43:21.975577,2026-06-24 23:43:54.470413,0 days 00:00:32.494836,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,334,,COMPLETE
