number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.08782108943297191,2026-06-25 01:31:54.693799,2026-06-25 01:32:07.630393,0 days 00:00:12.936594,,,,,,,,,,,,,,40,{},COMPLETE
1,0.0935831346552663,2026-06-25 01:32:07.645687,2026-06-25 01:32:56.994906,0 days 00:00:49.349219,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,273,,COMPLETE
2,0.09117128106583647,2026-06-25 01:32:57.004192,2026-06-25 01:34:07.738528,0 days 00:01:10.734336,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,1000,,COMPLETE
3,0.12776033744541293,2026-06-25 01:34:07.748534,2026-06-25 01:34:25.189388,0 days 00:00:17.440854,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.18730045025005887,2026-06-25 01:34:25.199989,2026-06-25 01:34:47.419380,0 days 00:00:22.219391,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,0.1196465157351785,2026-06-25 01:34:47.428646,2026-06-25 01:35:45.732251,0 days 00:00:58.303605,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,37,,COMPLETE
6,0.10591799162242119,2026-06-25 01:35:45.744029,2026-06-25 01:36:05.844005,0 days 00:00:20.099976,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,0.12198083571581785,2026-06-25 01:36:05.854515,2026-06-25 01:38:52.489998,0 days 00:02:46.635483,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,994,,COMPLETE
8,0.11186318265128661,2026-06-25 01:38:52.500073,2026-06-25 01:39:56.284809,0 days 00:01:03.784736,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,88,,COMPLETE
9,0.12290014945283899,2026-06-25 01:39:56.294412,2026-06-25 01:40:29.971738,0 days 00:00:33.677326,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,185,,COMPLETE
10,0.1402367985258029,2026-06-25 01:40:29.982551,2026-06-25 01:40:59.508949,0 days 00:00:29.526398,0.7022641957948879,1.0,0.03512175732792625,54.3011943484829,True,0.6839963928728011,0.028575443310857374,0.8799544141361122,0.0055871933556752105,99.0,18.0,27.0,8.0,1000,,COMPLETE
11,0.09692463174531168,2026-06-25 01:40:59.517997,2026-06-25 01:42:31.017744,0 days 00:01:31.499747,0.7139579426338448,1.0,0.005300516907766692,0.0947583831223014,False,0.6606137630538468,0.6179262230293002,1.177669669284643,0.005566367449340436,19.0,4.0,19.0,8.0,1000,,COMPLETE
12,0.09366299807839834,2026-06-25 01:42:31.026760,2026-06-25 01:42:58.683546,0 days 00:00:27.656786,0.7867898384378925,1.0,0.019304496659096067,0.0013419844206405704,False,0.8519346364158834,0.21653822222812408,1.9928214355933487,0.040851082831757854,24.0,21.0,17.0,8.0,173,,COMPLETE
13,0.1010624538922692,2026-06-25 01:42:58.693070,2026-06-25 01:48:18.737691,0 days 00:05:20.044621,0.993411551511558,1.0,0.11135227807359967,0.012792119321409357,False,0.5878269736599486,0.6358626402580503,0.5758898080001819,0.010541474063835652,8.0,3.0,45.0,197.0,495,,COMPLETE
14,0.11323159099019744,2026-06-25 01:48:18.746207,2026-06-25 01:49:09.294987,0 days 00:00:50.548780,0.7518731735126705,1.0,0.014263758583241665,0.19877254977714987,True,0.7842567150859745,0.5625566057396387,1.9025003652687495,0.036385187905131414,28.0,10.0,11.0,5.0,734,,COMPLETE
15,0.0737585328739435,2026-06-25 01:49:09.304823,2026-06-25 01:49:22.329681,0 days 00:00:13.024858,0.7884179927413881,1.0,0.32217222260323486,95.36610134163884,False,0.41633141583471817,0.7691210686529308,0.5671757914485847,0.06209281661182592,12.0,1.0,36.0,22.0,265,,COMPLETE
16,0.07519412747981995,2026-06-25 01:49:22.343118,2026-06-25 01:49:29.747594,0 days 00:00:07.404476,0.8111456709030648,1.0,0.28948958451383044,66.17168665492028,False,0.616407518203334,0.7392931503949662,0.49589323230531945,0.09926360881313086,13.0,1.0,93.0,18.0,130,,COMPLETE
17,0.07430163679292598,2026-06-25 01:49:29.756881,2026-06-25 01:49:37.585788,0 days 00:00:07.828907,0.810574203698695,1.0,0.29124556892808845,95.74738509612254,False,0.42394390873027815,0.7547386127563189,0.5195937472178664,0.09804703866909242,12.0,1.0,83.0,17.0,166,,COMPLETE
18,0.07462903106297133,2026-06-25 01:49:37.596974,2026-06-25 01:49:52.660274,0 days 00:00:15.063300,0.7815238768494348,1.0,0.661787008342623,89.56683652058133,False,0.40697257697653194,0.7810169008488832,0.7436201132231666,0.06079196465960708,13.0,1.0,41.0,17.0,391,,COMPLETE
19,0.083229813267607,2026-06-25 01:49:52.669357,2026-06-25 01:50:04.173209,0 days 00:00:11.503852,0.8306474970051925,1.0,0.09841013932618968,20.57007542844907,False,0.4116549337418767,0.6754398124859452,0.3612176872517559,0.054166775115293345,10.0,2.0,34.0,16.0,174,,COMPLETE
20,0.0848676641077582,2026-06-25 01:50:04.182298,2026-06-25 01:50:23.897163,0 days 00:00:19.714865,0.7446625225851833,1.0,0.7078561019446277,24.263485594709653,False,0.4035701368628354,0.8801734865222604,0.06334014852984937,0.06083794790984142,10.0,1.0,70.0,52.0,193,,COMPLETE
21,0.07461817644921084,2026-06-25 01:50:23.906416,2026-06-25 01:50:40.179816,0 days 00:00:16.273400,0.7933743597770713,1.0,0.5560454986965472,99.76769990718567,False,0.4075230968718215,0.8021604896627106,0.7760780938428422,0.05886740349946559,14.0,1.0,43.0,17.0,396,,COMPLETE
22,0.07353025087239945,2026-06-25 01:50:40.190400,2026-06-25 01:50:49.849312,0 days 00:00:09.658912,0.791424044930504,1.0,0.2961993707843828,84.85745644702627,False,0.5241312783261977,0.833096620021979,0.7406553765070084,0.09666408015894123,16.0,1.0,48.0,30.0,140,,COMPLETE
23,0.08166146938551982,2026-06-25 01:50:49.862512,2026-06-25 01:51:00.005927,0 days 00:00:10.143415,0.7705242204219465,1.0,0.2265841650822407,26.203841524911354,False,0.5381876197357252,0.8857009678050489,0.35511039353724827,0.08701771748515297,16.0,2.0,65.0,31.0,80,,COMPLETE
