feature_name,raw_gain,percentage_share
PAY_0,12.671378616717638,12.671378616717641
BILL_AMT1,9.659365940783001,9.659365940783001
LIMIT_BAL,8.719118343261773,8.719118343261774
PAY_AMT1,5.350679879135546,5.350679879135547
PAY_AMT3,5.155931610613824,5.155931610613825
AGE,4.714816317646399,4.7148163176464
PAY_AMT6,4.713984494204861,4.713984494204862
PAY_AMT4,4.648516799024353,4.648516799024354
BILL_AMT2,4.644301420537478,4.644301420537479
PAY_AMT2,4.606270292453519,4.6062702924535195
BILL_AMT5,3.7755581470210218,3.775558147021022
PAY_2,3.6652117630401806,3.665211763040181
BILL_AMT4,3.5916586872737875,3.5916586872737883
BILL_AMT3,3.5519069992309356,3.551906999230936
PAY_AMT5,3.3432418591973834,3.343241859197384
BILL_AMT6,3.1843193019912848,3.1843193019912857
PAY_3,3.13098961920805,3.1309896192080506
EDUCATION,2.8605760112540595,2.86057601125406
PAY_5,2.5049786547502375,2.504978654750238
PAY_4,1.7735109596820688,1.7735109596820693
PAY_6,1.7578146536435326,1.7578146536435328
MARRIAGE,1.1100386606319896,1.1100386606319896
SEX,0.8658309686970831,0.8658309686970832
