feature_name,raw_gain,percentage_share
pca_embed_0,281084.23465269804,11.835792086200785
Inflightentertainment,276950.3520323485,11.661724069673035
Seatcomfort,207464.66000916064,8.735845979183914
pca_embed_8,110092.8189085871,4.635748128655439
pca_embed_1,102579.10963010788,4.319363608100173
CustomerType,101677.75532640517,4.281409710942586
pca_embed_5,95385.89048144966,4.016474168643738
Class,86354.8780901879,3.6361996038929
EaseofOnlinebooking,80327.15235380828,3.3823863345127068
pca_embed_15,58814.02309536934,2.476519360717269
Onlineboarding,58193.900934025645,2.450407483689452
pca_embed_17,51826.4804649055,2.1822904728188752
pca_embed_3,45099.4861856699,1.8990326595428277
pca_embed_23,42132.444623455405,1.7740975592698531
TypeofTravel,41866.87642105669,1.7629151105915026
Gatelocation,34466.72072672844,1.4513120628012046
DepartureArrivaltimeconvenient,31655.760302096605,1.33294916994957
pca_embed_4,29290.758094236255,1.2333645224853431
pca_embed_14,28811.47412608564,1.2131830085548694
pca_embed_19,28346.874714761972,1.1936198265692537
Foodanddrink,28329.699511796236,1.192896619408269
pca_embed_7,28197.245466977358,1.1873192929623744
pca_embed_2,28130.202193804085,1.1844962593509816
pca_embed_11,28122.68304336071,1.184179645715846
pca_embed_22,27159.879028223455,1.1436382465975214
Onlinesupport,27090.616254583,1.1407217550727125
pca_embed_27,26114.590363368392,1.0996236140352458
pca_embed_9,25908.600381217897,1.0909498632516563
pca_embed_10,24595.362311318517,1.0356525152014624
pca_embed_25,21871.869239225984,0.9209726656206988
pca_embed_6,21383.217113271356,0.9003966807298169
Onboardservice,21062.561318278313,0.8868946238625495
Cleanliness,20585.25958174467,0.866796577015579
pca_embed_16,17716.899377971888,0.7460167152700982
pca_embed_18,17610.25141261518,0.7415260217741148
Legroomservice,17562.703971132636,0.7395239115087933
pca_embed_30,17254.881374649704,0.726562230267908
pca_embed_26,16650.550004564226,0.7011152660995392
pca_embed_24,16599.381765455008,0.6989606926128333
pca_embed_29,16332.587500207126,0.6877266173287241
Baggagehandling,15385.630594350398,0.6478525024885212
pca_embed_13,14988.900813639164,0.63114715007093
pca_embed_21,13851.219180628657,0.583242068218014
pca_embed_20,13780.305233307183,0.5802560496761139
Inflightwifiservice,10396.406869001687,0.43776809573504316
pca_embed_12,9628.518637657166,0.405434139108611
pca_embed_31,9311.474664464593,0.392084167511923
pca_embed_32,8602.890894263983,0.3622473814320738
FlightDistance,8209.930308714509,0.34570074090496644
Checkinservice,8078.226497210562,0.3401550050089389
ArrivalDelayinMinutes,6827.852511078119,0.28750471479204626
Age,6163.714125871658,0.25953941871814445
pca_embed_28,5773.054117523134,0.24308965005388747
DepartureDelayinMinutes,3167.458320811391,0.1333741757987651
