feature_name,raw_gain,percentage_share
R_AB_3_n,9.053120533475472,9.053120533475473
AGE,7.034902464553384,7.034902464553385
L_BLOOD,7.030960384188318,7.030960384188319
ZSN_A,4.912938221787275,4.912938221787276
NOT_NA_3_n,4.530246411610861,4.530246411610862
ant_im,3.588982992173999,3.5889829921739995
TIME_B_S,3.193224656285984,3.1932246562859845
IBS_POST,2.933076962435889,2.9330769624358894
STENOK_AN,2.832449795601874,2.8324497956018746
ALT_BLOOD,2.6288803470736153,2.6288803470736157
NITR_S,2.4525811757286404,2.452581175728641
S_AD_ORIT,2.286634950119355,2.2866349501193555
NA_BLOOD,2.118604599946792,2.1186045999467926
NOT_NA_2_n,2.1039212683614164,2.103921268361417
NOT_NA_KB,2.0412723358355795,2.0412723358355795
ROE,2.0329266515879616,2.032926651587962
NA_KB,2.0267583433074434,2.0267583433074434
NA_R_3_n,1.8375603716697313,1.8375603716697317
GEPAR_S_n,1.7584795474587607,1.758479547458761
lat_im,1.7491859811148407,1.7491859811148411
zab_leg_02,1.5833263323585476,1.5833263323585478
INF_ANAM,1.5399567638266605,1.5399567638266607
inf_im,1.5007334024558396,1.5007334024558399
n_r_ecg_p_03,1.4224279983887542,1.4224279983887544
ritm_ecg_p_01,1.292821486193658,1.2928214861936582
R_AB_2_n,1.2795672953647639,1.279567295364764
LID_KB,1.1780237132884097,1.17802371328841
D_AD_ORIT,1.135702220640832,1.1357022206408323
K_BLOOD,1.129762636188342,1.1297626361883422
ASP_S_n,1.0877260059586968,1.087726005958697
DLIT_AG,1.0820823050524124,1.0820823050524124
FK_STENOK,1.07420750335148,1.07420750335148
n_p_ecg_p_12,1.0617918282860352,1.0617918282860355
SEX,0.980624929069457,0.9806249290694571
IM_PG_P,0.872746302229719,0.8727463022297192
NOT_NA_1_n,0.8289644879020667,0.8289644879020668
endocr_01,0.7550905867099511,0.7550905867099512
NA_R_2_n,0.7173702404259302,0.7173702404259303
NA_R_1_n,0.6652746450654248,0.6652746450654249
D_AD_KBRIG,0.6169404785845428,0.6169404785845429
ritm_ecg_p_07,0.5979093910670719,0.597909391067072
GIPER_NA,0.5800060403401249,0.580006040340125
O_L_POST,0.5643881214196608,0.5643881214196609
R_AB_1_n,0.5466388085173951,0.5466388085173952
zab_leg_03,0.5072881863121532,0.5072881863121533
K_SH_POST,0.46068972773504785,0.4606897277350479
