feature_name,raw_gain,percentage_share
PageValues,19.978357367778543,19.97835736777855
pca_embed_0,18.505432969068124,18.505432969068135
Month,2.889608656284623,2.8896086562846244
pca_embed_8,2.6356393484298324,2.6356393484298337
pca_embed_5,2.517015527519554,2.517015527519555
pca_embed_2,2.506326664004926,2.506326664004927
pca_embed_3,2.4669021686738413,2.466902168673842
ExitRates,2.376740120362567,2.3767401203625678
TrafficType,2.349079558817517,2.3490795588175177
SpecialDay,2.3206740450610335,2.3206740450610344
pca_embed_6,2.274704013346831,2.274704013346832
BounceRates,2.1598958112944446,2.1598958112944455
ProductRelated_Duration,2.137557981736381,2.1375579817363817
pca_embed_4,2.1220283812497085,2.1220283812497094
pca_embed_1,2.1008760727070666,2.1008760727070674
pca_embed_9,2.0334270281806135,2.0334270281806144
pca_embed_13,1.8246717539580102,1.8246717539580108
pca_embed_17,1.7172266672850833,1.717226667285084
pca_embed_7,1.6817888926624782,1.681788892662479
pca_embed_15,1.671364415181174,1.6713644151811746
pca_embed_12,1.6638725169643762,1.6638725169643769
pca_embed_14,1.633621597574622,1.6336215975746229
pca_embed_19,1.5962481323940065,1.5962481323940074
pca_embed_10,1.573971120460849,1.5739711204608497
pca_embed_11,1.5570810427628317,1.5570810427628323
pca_embed_18,1.49407380729326,1.4940738072932607
pca_embed_16,1.4553414281216004,1.455341428121601
pca_embed_20,1.4420484231260153,1.442048423126016
Administrative_Duration,1.3646929501657135,1.364692950165714
Browser,1.3221152615453355,1.3221152615453362
ProductRelated,1.2814861758723581,1.2814861758723586
Region,1.2738482944316543,1.2738482944316547
Administrative,0.9226614510609996,0.922661451061
Informational_Duration,0.7487692263475352,0.7487692263475355
Weekend,0.738961773797451,0.7389617737974513
OperatingSystems,0.6068381137541082,0.6068381137541085
VisitorType,0.5787091763853642,0.5787091763853645
Informational,0.476342064339514,0.4763420643395142
