feature_name,raw_gain,percentage_share
range_ThermalConductivity,132681920.0,27.535050375785993
range_atomic_radius,50514532.0,10.483117694779013
wtd_std_ThermalConductivity,43360840.0,8.998535096088421
wtd_mean_Valence,23254098.0,4.825847861362454
wtd_gmean_ThermalConductivity,18956152.0,3.9339090077310934
wtd_std_ElectronAffinity,17441962.0,3.6196740469428312
wtd_mean_ThermalConductivity,14019448.0,2.909410769159145
std_ThermalConductivity,10943001.0,2.2709656582997626
wtd_gmean_Valence,8941185.0,1.855535248466574
wtd_entropy_Valence,8199175.5,1.7015484131704628
wtd_range_ElectronAffinity,7984211.5,1.6569376284532948
wtd_gmean_ElectronAffinity,7844563.5,1.627956929991306
std_atomic_mass,7296464.5,1.5142117145473486
wtd_entropy_atomic_mass,6756528.0,1.402160436368486
wtd_entropy_ThermalConductivity,6533411.0,1.3558576858905442
wtd_entropy_fie,5628152.0,1.1679922090559185
std_Density,4951864.5,1.0276444481777647
wtd_std_Valence,4258601.5,0.8837738166051394
wtd_range_atomic_mass,3337415.75,0.6926031127767188
range_fie,3284922.0,0.6817092543620689
wtd_mean_atomic_mass,3232728.25,0.6708776539786016
wtd_std_atomic_mass,3220843.0,0.6684111464282223
wtd_entropy_Density,3189298.0,0.6618647144493651
gmean_Density,2990466.0,0.62060175159566
mean_ThermalConductivity,2718888.5,0.5642421500506264
mean_Density,2633247.25,0.5464692980072186
gmean_ElectronAffinity,2600815.5,0.5397388416645239
wtd_range_Valence,2532102.25,0.5254790027939832
wtd_gmean_Density,2516422.0,0.5222249311491433
wtd_range_fie,2499546.5,0.5187228131317331
std_ElectronAffinity,2473611.75,0.5133406582176844
wtd_range_ThermalConductivity,2458432.0,0.5101904537215342
std_atomic_radius,2314631.25,0.4803479484628991
wtd_std_atomic_radius,2150083.5,0.4461998852944415
wtd_entropy_FusionHeat,2121101.0,0.44018524066526954
wtd_std_Density,2050100.0,0.42545063242526837
wtd_mean_ElectronAffinity,2035623.25,0.4224463192488562
mean_Valence,2012686.625,0.4176863555339393
wtd_entropy_atomic_radius,1994433.0,0.41389823968578365
wtd_mean_fie,1989392.75,0.4128522528802223
wtd_std_fie,1833390.0,0.3804775059666176
wtd_entropy_ElectronAffinity,1819288.5,0.37755106721087645
entropy_Density,1795124.0,0.37253628656249815
wtd_gmean_atomic_mass,1703743.375,0.3535723605600269
mean_atomic_mass,1582994.375,0.32851371053577505
wtd_range_atomic_radius,1574668.75,0.32678592046622446
wtd_mean_atomic_radius,1555929.75,0.3228970763117846
range_atomic_mass,1544919.75,0.3206122065673808
wtd_range_Density,1541371.875,0.31987592752610683
range_ElectronAffinity,1482943.375,0.3077504496095858
entropy_ThermalConductivity,1469944.375,0.30505280911844096
wtd_mean_Density,1469289.25,0.30491685314284583
wtd_mean_FusionHeat,1453675.625,0.30167660796909773
wtd_gmean_fie,1441341.875,0.2991170246621004
entropy_Valence,1421204.5,0.2949379802598104
wtd_std_FusionHeat,1419029.75,0.29448666141542873
wtd_gmean_atomic_radius,1262759.875,0.2620564789132251
mean_atomic_radius,1203650.0,0.24978959744338045
wtd_range_FusionHeat,1178185.25,0.24450498011151794
wtd_gmean_FusionHeat,1123696.125,0.23319702796696426
std_fie,1028193.375,0.21337765067519684
entropy_FusionHeat,1024902.5,0.21269470601396936
entropy_atomic_mass,1016218.0625,0.2108924527450397
entropy_atomic_radius,1013190.125,0.21026407465405916
mean_FusionHeat,1002645.875,0.20807586050306648
gmean_Valence,982052.625,0.2038022098342251
gmean_fie,974282.875,0.20218977870828675
mean_fie,973906.1875,0.202111605967883
std_Valence,967992.125,0.20088427967607891
std_FusionHeat,889970.0625,0.1846926130092096
gmean_ThermalConductivity,888968.125,0.18448468415548264
gmean_atomic_mass,879782.8125,0.18257848591532427
entropy_fie,809020.375,0.16789338578053645
mean_ElectronAffinity,763281.4375,0.15840133179007995
gmean_atomic_radius,608416.875,0.12626278925269765
gmean_FusionHeat,577265.4375,0.11979803202849823
entropy_ElectronAffinity,536674.6875,0.11137436476440576
range_Density,416437.59375,0.0864219489910709
range_FusionHeat,282697.09375,0.05866721492645377
number_of_elements,259497.53125,0.05385268464128985
range_Valence,170096.6875,0.03529961624814313
