number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.05670497206691105,2026-06-24 15:22:54.779436,2026-06-24 15:22:57.897071,0 days 00:00:03.117635,,,,,,,,,,,,242,{},COMPLETE
1,0.055251401071905404,2026-06-24 15:22:57.914401,2026-06-24 15:23:26.401494,0 days 00:00:28.487093,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,1000,,COMPLETE
2,0.05205024067536346,2026-06-24 15:23:26.416456,2026-06-24 15:23:31.232006,0 days 00:00:04.815550,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,409,,COMPLETE
3,0.05378856840288215,2026-06-24 15:23:31.248372,2026-06-24 15:23:46.117146,0 days 00:00:14.868774,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,528,,COMPLETE
4,0.05881794575661259,2026-06-24 15:23:46.127403,2026-06-24 15:23:58.250811,0 days 00:00:12.123408,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.054238191522420154,2026-06-24 15:23:58.261612,2026-06-24 15:24:09.373003,0 days 00:00:11.111391,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,837,,COMPLETE
6,0.05444034306669421,2026-06-24 15:24:09.383110,2026-06-24 15:24:22.255740,0 days 00:00:12.872630,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,717,,COMPLETE
7,0.07145986022111961,2026-06-24 15:24:22.265817,2026-06-24 15:24:25.648217,0 days 00:00:03.382400,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,274,,COMPLETE
8,0.054106370346543975,2026-06-24 15:24:25.658603,2026-06-24 15:24:35.899047,0 days 00:00:10.240444,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,781,,COMPLETE
9,0.05325392330674017,2026-06-24 15:24:35.909360,2026-06-24 15:24:45.448588,0 days 00:00:09.539228,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,665,,COMPLETE
