number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,4.417485550971417,2026-06-24 15:41:29.012003,2026-06-24 15:41:33.596948,0 days 00:00:04.584945,,,,,,,,,,,,,,988,{},COMPLETE
1,4.453950914683366,2026-06-24 15:41:33.613566,2026-06-24 15:41:39.102835,0 days 00:00:05.489269,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,1000,,COMPLETE
2,5.2328793663211846,2026-06-24 15:41:39.114044,2026-06-24 15:41:40.806058,0 days 00:00:01.692014,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,1000,,COMPLETE
3,7.803637164319202,2026-06-24 15:41:40.816769,2026-06-24 15:41:41.510238,0 days 00:00:00.693469,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,7.503668650997798,2026-06-24 15:41:41.519869,2026-06-24 15:41:42.184837,0 days 00:00:00.664968,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,4.889519105009956,2026-06-24 15:41:42.194556,2026-06-24 15:41:47.484029,0 days 00:00:05.289473,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,256,,COMPLETE
6,6.587346406654675,2026-06-24 15:41:47.493752,2026-06-24 15:41:48.154611,0 days 00:00:00.660859,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,5.149182667903206,2026-06-24 15:41:48.164028,2026-06-24 15:41:51.607768,0 days 00:00:03.443740,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,1000,,COMPLETE
8,4.500565241913616,2026-06-24 15:41:51.617406,2026-06-24 15:41:58.729354,0 days 00:00:07.111948,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,602,,COMPLETE
9,4.5434319829163945,2026-06-24 15:41:58.738942,2026-06-24 15:42:01.226250,0 days 00:00:02.487308,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,998,,COMPLETE
