number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,4.4690353920213095,2026-06-24 15:54:38.052315,2026-06-24 15:54:40.724720,0 days 00:00:02.672405,,,,,,,,,,,,13,{},COMPLETE
1,4.4249497843512,2026-06-24 15:54:40.740023,2026-06-24 15:55:38.560562,0 days 00:00:57.820539,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,1000,,COMPLETE
2,4.512557755308682,2026-06-24 15:55:38.575049,2026-06-24 15:55:41.967042,0 days 00:00:03.391993,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,172,,COMPLETE
3,4.338793815629096,2026-06-24 15:55:41.975734,2026-06-24 15:56:09.235394,0 days 00:00:27.259660,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,642,,COMPLETE
4,4.37257406811969,2026-06-24 15:56:09.250193,2026-06-24 15:56:24.086281,0 days 00:00:14.836088,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,891,,COMPLETE
5,4.317739580294916,2026-06-24 15:56:24.096141,2026-06-24 15:56:30.291035,0 days 00:00:06.194894,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,271,,COMPLETE
6,4.335744190839981,2026-06-24 15:56:30.304560,2026-06-24 15:56:42.657611,0 days 00:00:12.353051,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,503,,COMPLETE
7,4.392069400396122,2026-06-24 15:56:42.667676,2026-06-24 15:56:54.951618,0 days 00:00:12.283942,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,4.295191903295068,2026-06-24 15:56:54.961721,2026-06-24 15:57:08.831319,0 days 00:00:13.869598,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,670,,COMPLETE
9,4.3605118807277705,2026-06-24 15:57:08.846247,2026-06-24 15:57:17.730035,0 days 00:00:08.883788,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,356,,COMPLETE
10,4.370559785966204,2026-06-24 15:57:17.739719,2026-06-24 15:57:21.746530,0 days 00:00:04.006811,0.8197534695371591,0.7202259292197385,depthwise,0.08641869155550744,40.0,7.0,137.0,0.05520191203895588,4.7988577526525065,2.938272016159444,0.9729161367647149,62,,COMPLETE
11,4.345640082696605,2026-06-24 15:57:21.756853,2026-06-24 15:57:27.299049,0 days 00:00:05.542196,0.9847867967774614,0.9897154483178633,depthwise,0.03492860276543721,10.0,5.0,41.0,4.8053033036668475,3.796745916038369,3.401784297061922,0.929049245729398,191,,COMPLETE
12,4.306589991228703,2026-06-24 15:57:27.308607,2026-06-24 15:57:52.645875,0 days 00:00:25.337268,0.9979548057541356,0.9984066126989741,lossguide,0.007758119926434361,35.0,5.0,62.0,4.562561034189502,2.9662524884224752,4.972706674202061,0.881811023830265,1000,,COMPLETE
13,4.325936578371163,2026-06-24 15:57:52.655836,2026-06-24 15:58:18.472184,0 days 00:00:25.816348,0.906702606839036,0.9091201923395409,lossguide,0.007891352116508358,36.0,5.0,107.0,0.08111039541916326,4.980085345107131,4.997042698365308,0.8569406103460745,1000,,COMPLETE
14,4.35704086738178,2026-06-24 15:58:18.481710,2026-06-24 15:58:33.731192,0 days 00:00:15.249482,0.9246810535722221,0.732520405161235,depthwise,0.008948307671845351,71.0,6.0,217.0,1.6590135619732442,1.159598005410121,3.4860454645220273,0.9877079408194872,590,,COMPLETE
