number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,6.586214399180902,2026-06-24 16:18:11.911663,2026-06-24 16:18:13.795492,0 days 00:00:01.883829,,,,,,,,,,,,,,100,{},COMPLETE
1,4.24521792766787,2026-06-24 16:18:13.811682,2026-06-24 16:18:23.332307,0 days 00:00:09.520625,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,4.404234879354274,2026-06-24 16:18:23.345990,2026-06-24 16:18:26.307719,0 days 00:00:02.961729,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,563,,COMPLETE
3,4.287767795659217,2026-06-24 16:18:26.317997,2026-06-24 16:18:42.972119,0 days 00:00:16.654122,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,4.359239320510425,2026-06-24 16:18:42.981510,2026-06-24 16:18:45.835372,0 days 00:00:02.853862,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,566,,COMPLETE
5,4.401843799203935,2026-06-24 16:18:45.846234,2026-06-24 16:19:45.591647,0 days 00:00:59.745413,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,4.411474387452139,2026-06-24 16:19:45.602201,2026-06-24 16:19:52.257472,0 days 00:00:06.655271,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,812,,COMPLETE
7,4.69997476098978,2026-06-24 16:19:52.267632,2026-06-24 16:21:36.626996,0 days 00:01:44.359364,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,4.775579870434767,2026-06-24 16:21:36.636935,2026-06-24 16:23:21.693809,0 days 00:01:45.056874,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,5.042542552834071,2026-06-24 16:23:21.704248,2026-06-24 16:23:58.191775,0 days 00:00:36.487527,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,451,,COMPLETE
