number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.015885416666666652,2026-06-25 00:35:16.088364,2026-06-25 00:35:19.016835,0 days 00:00:02.928471,,,,,,,,,,,,128,{},COMPLETE
1,0.014565972222222223,2026-06-25 00:35:19.033366,2026-06-25 00:35:57.496294,0 days 00:00:38.462928,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,1000,,COMPLETE
2,0.0143836805555555,2026-06-25 00:35:57.511291,2026-06-25 00:36:04.552221,0 days 00:00:07.040930,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,485,,COMPLETE
3,0.014956597222222201,2026-06-25 00:36:04.565820,2026-06-25 00:36:25.886544,0 days 00:00:21.320724,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,810,,COMPLETE
4,0.015199652777777795,2026-06-25 00:36:25.896102,2026-06-25 00:36:42.507922,0 days 00:00:16.611820,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.015876736111111178,2026-06-25 00:36:42.518001,2026-06-25 00:36:58.349479,0 days 00:00:15.831478,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,1000,,COMPLETE
6,0.014592013888888977,2026-06-25 00:36:58.359991,2026-06-25 00:37:19.141194,0 days 00:00:20.781203,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,0.022265625000000067,2026-06-25 00:37:19.151821,2026-06-25 00:37:32.807538,0 days 00:00:13.655717,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.015434027777777803,2026-06-25 00:37:32.818342,2026-06-25 00:37:51.336531,0 days 00:00:18.518189,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,1000,,COMPLETE
9,0.014010416666666692,2026-06-25 00:37:51.346161,2026-06-25 00:38:05.078591,0 days 00:00:13.732430,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,653,,COMPLETE
10,0.014548611111111165,2026-06-25 00:38:05.092821,2026-06-25 00:38:10.598676,0 days 00:00:05.505855,0.8062687886189569,0.9630659181130071,depthwise,0.08778240234405048,31.0,7.0,257.0,0.0010663930543587375,4.7988577526525065,2.336797458371832,0.6071847502459279,296,,COMPLETE
11,0.01475694444444442,2026-06-25 00:38:10.619462,2026-06-25 00:38:18.292763,0 days 00:00:07.673301,0.6050267801745011,0.8708325161651091,depthwise,0.06332006310759493,18.0,6.0,100.0,0.01204984104596513,1.9534174139152363,2.0058140000654903,0.6566253231793134,411,,COMPLETE
12,0.014192708333333304,2026-06-25 00:38:18.303079,2026-06-25 00:38:27.902748,0 days 00:00:09.599669,0.7535827807956464,0.7226811722572968,depthwise,0.043794259325046325,27.0,5.0,306.0,0.0011414457040556348,2.0704175678053014,1.96768501091077,0.6826218295941222,547,,COMPLETE
13,0.014079861111111036,2026-06-25 00:38:27.912353,2026-06-25 00:38:43.854462,0 days 00:00:15.942109,0.7761517409961671,0.6822083682520652,depthwise,0.035565488152743456,29.0,6.0,293.0,0.001175754833794099,1.2426539852373626,2.7530017841269254,0.7060061617842285,1000,,COMPLETE
14,0.01532986111111112,2026-06-25 00:38:43.864830,2026-06-25 00:38:57.005673,0 days 00:00:13.140843,0.8524022468206217,0.7244653141219445,depthwise,0.03511443499312203,32.0,6.0,896.0,0.03511633869126774,1.2814625095192045,2.9835019260155593,0.9877079408194872,660,,COMPLETE
15,0.01658854166666668,2026-06-25 00:38:57.017814,2026-06-25 00:39:22.675088,0 days 00:00:25.657274,0.7673541236936567,0.8940510393661395,depthwise,0.007692335773292521,43.0,7.0,178.0,0.003735256546929993,2.973268022189518,2.932252850302071,0.723774852570234,1000,,COMPLETE
16,0.013628472222222188,2026-06-25 00:39:22.688183,2026-06-25 00:39:40.039262,0 days 00:00:17.351079,0.6145219252928473,0.7080033104005191,depthwise,0.02969917292051504,13.0,6.0,492.0,0.04103176542862972,1.1099602167884166,2.727374833683828,0.6328419617855737,1000,,COMPLETE
17,0.013776041666666572,2026-06-25 00:39:40.054476,2026-06-25 00:40:02.120958,0 days 00:00:22.066482,0.6009005886195512,0.8945592106701401,depthwise,0.022633869656253205,11.0,7.0,491.0,0.06110020394896116,1.1763598652839529,3.5406488219370402,0.6068970499506987,1000,,COMPLETE
18,0.01396701388888899,2026-06-25 00:40:02.131949,2026-06-25 00:40:26.125088,0 days 00:00:23.993139,0.6603146831627652,0.9153175069788861,depthwise,0.028801565781167122,11.0,8.0,553.0,0.07596554845633456,0.8488271884952896,3.608215052144737,0.600695552292868,1000,,COMPLETE
19,0.015590277777777772,2026-06-25 00:40:26.135027,2026-06-25 00:40:48.824166,0 days 00:00:22.689139,0.6855721815900874,0.7402619469885638,depthwise,0.008968124597279048,12.0,7.0,602.0,0.05489708631080588,2.5236209090484,3.4812966051196237,0.6343326738691247,1000,,COMPLETE
20,0.015069444444444469,2026-06-25 00:40:48.834025,2026-06-25 00:40:57.807237,0 days 00:00:08.973212,0.6254811373429379,0.9989879313923895,depthwise,0.052414931243966734,12.0,8.0,169.0,0.16823215829599794,4.067105946049195,1.407837660900503,0.7486721528730329,626,,COMPLETE
21,0.013480902777777803,2026-06-25 00:40:57.817667,2026-06-25 00:41:20.854144,0 days 00:00:23.036477,0.6717019861516687,0.9154394954761349,depthwise,0.029431033550187252,12.0,8.0,561.0,0.06862763425369879,1.0303709433460755,3.5330478929149516,0.6018234379427246,1000,,COMPLETE
22,0.01317708333333334,2026-06-25 00:41:20.868298,2026-06-25 00:41:48.212625,0 days 00:00:27.344327,0.7008811898903122,0.9112711677510569,depthwise,0.021630090558234068,11.0,9.0,506.0,0.02397078351191797,1.0990895652524393,3.3484122784313595,0.6026658150018103,1000,,COMPLETE
23,0.013776041666666683,2026-06-25 00:41:48.226323,2026-06-25 00:42:11.117813,0 days 00:00:22.891490,0.7030013847808918,0.9277139901237001,depthwise,0.035942993171509244,14.0,10.0,992.0,0.02108784475462908,1.0091399680992705,3.1450238351286757,0.6479348700657003,1000,,COMPLETE
24,0.01351562499999992,2026-06-25 00:42:11.127343,2026-06-25 00:42:47.309665,0 days 00:00:36.182322,0.7304778338937856,0.8505938732900676,depthwise,0.018374922817820574,9.0,9.0,665.0,0.013905179348320867,0.019253807989099148,3.911834506948747,0.6926957755382839,1000,,COMPLETE
25,0.01373263888888887,2026-06-25 00:42:47.323196,2026-06-25 00:43:23.883238,0 days 00:00:36.560042,0.7459669042606282,0.846428001484841,depthwise,0.02067104965445781,9.0,9.0,182.0,0.014432857379562817,0.01382716012932848,4.051006402754381,0.6746563915974955,1000,,COMPLETE
