number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.0242447916666666,2026-06-25 00:43:37.370606,2026-06-25 00:43:40.742259,0 days 00:00:03.371653,,,,,,,,,,,,358,{},COMPLETE
1,0.027656249999999938,2026-06-25 00:43:40.757947,2026-06-25 00:44:10.951854,0 days 00:00:30.193907,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,1000,,COMPLETE
2,0.02568576388888888,2026-06-25 00:44:10.961857,2026-06-25 00:44:18.165145,0 days 00:00:07.203288,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,1000,,COMPLETE
3,0.029991319444444442,2026-06-25 00:44:18.175218,2026-06-25 00:44:36.883451,0 days 00:00:18.708233,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,1000,,COMPLETE
4,0.032977430555555465,2026-06-25 00:44:36.893310,2026-06-25 00:44:46.904649,0 days 00:00:10.011339,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.03077256944444451,2026-06-25 00:44:46.913744,2026-06-25 00:44:57.109638,0 days 00:00:10.195894,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,1000,,COMPLETE
6,0.028767361111111223,2026-06-25 00:44:57.119232,2026-06-25 00:45:10.645698,0 days 00:00:13.526466,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,0.05148437500000003,2026-06-25 00:45:10.655801,2026-06-25 00:45:18.046207,0 days 00:00:07.390406,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.029149305555555505,2026-06-25 00:45:18.056782,2026-06-25 00:45:28.357676,0 days 00:00:10.300894,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,1000,,COMPLETE
9,0.02618055555555565,2026-06-25 00:45:28.367754,2026-06-25 00:45:39.521887,0 days 00:00:11.154133,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,1000,,COMPLETE
10,0.03184027777777776,2026-06-25 00:45:39.531447,2026-06-25 00:45:44.732016,0 days 00:00:05.200569,0.8262452362725613,0.9630659181130071,depthwise,0.08949625745239276,34.0,7.0,9.0,0.038946887834449,4.7988577526525065,2.71904209561275,0.9729161367647149,1000,,COMPLETE
11,0.029322916666666643,2026-06-25 00:45:44.741854,2026-06-25 00:45:51.082417,0 days 00:00:06.340563,0.7404683974004522,0.8915741122102389,depthwise,0.08501524685764598,12.0,6.0,100.0,0.04042693539277767,4.977421634433221,1.560580209495288,0.6186105901784599,1000,,COMPLETE
12,0.02874131944444447,2026-06-25 00:45:51.092626,2026-06-25 00:45:57.766459,0 days 00:00:06.673833,0.7925153971864091,0.7125773965100655,depthwise,0.050457787252396434,35.0,4.0,39.0,0.019314596151057493,3.8279366924088967,0.023977219287894647,0.6972199533346464,1000,,COMPLETE
13,0.038758680555555536,2026-06-25 00:45:57.776204,2026-06-25 00:46:07.912293,0 days 00:00:10.136089,0.8891574925069551,0.7273233682425135,depthwise,0.006411410197700943,86.0,5.0,222.0,0.001554688254501323,1.8663543902940938,1.972528897080586,0.9862773857081615,1000,,COMPLETE
14,0.027847222222222134,2026-06-25 00:46:07.922462,2026-06-25 00:46:18.070459,0 days 00:00:10.147997,0.7495910822966338,0.9107906991300486,depthwise,0.041314384168676443,34.0,7.0,809.0,0.09935644753041646,2.698823923874447,3.337065485228577,0.6816138270785628,1000,,COMPLETE
15,0.037673611111111116,2026-06-25 00:46:18.081614,2026-06-25 00:46:29.538252,0 days 00:00:11.456638,0.9003988944050104,0.7341314012620829,depthwise,0.008174820266833511,12.0,10.0,24.0,0.006212428242515323,4.099757473106143,1.4737037396922226,0.731194128587385,1000,,COMPLETE
16,0.026918402777777795,2026-06-25 00:46:29.548704,2026-06-25 00:46:38.958344,0 days 00:00:09.409640,0.9993506902420715,0.9977290715610889,depthwise,0.042159745134423166,53.0,6.0,146.0,4.829246219957369,1.0959681739818286,2.5640530385803895,0.9255974822311327,1000,,COMPLETE
17,0.029548611111111178,2026-06-25 00:46:38.968122,2026-06-25 00:46:49.590931,0 days 00:00:10.622809,0.6027704937724259,0.7661747881062846,lossguide,0.06163068252879087,24.0,8.0,527.0,0.004856289978867744,3.933766983108475,4.956386852998385,0.6657586950439942,1000,,COMPLETE
18,0.02977430555555549,2026-06-25 00:46:49.602072,2026-06-25 00:46:57.011147,0 days 00:00:07.409075,0.6836406712826314,0.683519822554032,depthwise,0.02852187637913693,11.0,4.0,54.0,0.14531130777953669,2.5868110908138124,3.199248875647957,0.6015118333244462,1000,,COMPLETE
19,0.035937499999999956,2026-06-25 00:46:57.021045,2026-06-25 00:47:05.901551,0 days 00:00:08.880506,0.7904391101394644,0.8450908885239403,depthwise,0.008968124597279048,70.0,5.0,15.0,1.7542272389950821,2.279698573546349,0.08689028168849333,0.795795163509494,1000,,COMPLETE
20,0.028081597222222254,2026-06-25 00:47:05.910978,2026-06-25 00:47:19.268932,0 days 00:00:13.357954,0.8361817615060125,0.8913676651757465,lossguide,0.032774219475051866,42.0,7.0,154.0,0.013829300816489531,3.3804812279315257,0.9599935067915479,0.7275479039774285,1000,,COMPLETE
21,0.025572916666666612,2026-06-25 00:47:19.279601,2026-06-25 00:47:27.938865,0 days 00:00:08.659264,0.6135687189172484,0.8562980083822379,depthwise,0.06705368648731322,23.0,6.0,259.0,0.0010207655884173598,1.3828603437516316,2.563249481976951,0.6308462011438297,1000,,COMPLETE
22,0.02422743055555554,2026-06-25 00:47:27.949060,2026-06-25 00:47:35.740732,0 days 00:00:07.791672,0.6991762343271417,0.8569133924514517,depthwise,0.06715224202248112,26.0,4.0,59.0,0.002621758568249972,1.1339833706007358,1.9401264821764195,0.6465289123842691,1000,,COMPLETE
23,0.02442708333333332,2026-06-25 00:47:35.756281,2026-06-25 00:47:43.264163,0 days 00:00:07.507882,0.643503250116406,0.8660698517703787,depthwise,0.07568138245470976,25.0,5.0,213.0,0.002448869075705572,1.1863721300782364,1.8550039915389052,0.6365285370463405,845,,COMPLETE
24,0.023706597222222126,2026-06-25 00:47:43.274118,2026-06-25 00:47:50.271195,0 days 00:00:06.997077,0.6876617927361093,0.9188578171727513,depthwise,0.08777928487042905,26.0,5.0,71.0,0.002391619785593804,1.0767745619370133,2.034830589539315,0.650773441009233,752,,COMPLETE
25,0.024236111111111125,2026-06-25 00:47:50.285021,2026-06-25 00:47:58.206955,0 days 00:00:07.921934,0.6880843915978823,0.9279631666069392,depthwise,0.0488681106581144,29.0,4.0,63.0,0.0026302011731194164,0.6816343399447649,2.05389950245555,0.7068067986028324,1000,,COMPLETE
