number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.052508680555555576,2026-06-25 01:01:00.141727,2026-06-25 01:01:01.519351,0 days 00:00:01.377624,,,,,,,,,,,,,,100,{},COMPLETE
1,0.030729166666666696,2026-06-25 01:01:01.534511,2026-06-25 01:01:09.808958,0 days 00:00:08.274447,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.02552951388888891,2026-06-25 01:01:09.825099,2026-06-25 01:01:14.574131,0 days 00:00:04.749032,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,1000,,COMPLETE
3,0.03414062500000015,2026-06-25 01:01:14.588903,2026-06-25 01:01:26.456767,0 days 00:00:11.867864,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.025616319444444424,2026-06-25 01:01:26.467059,2026-06-25 01:01:31.471911,0 days 00:00:05.004852,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,1000,,COMPLETE
5,0.028098958333333313,2026-06-25 01:01:31.481037,2026-06-25 01:02:04.182419,0 days 00:00:32.701382,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.027196180555555616,2026-06-25 01:02:04.195427,2026-06-25 01:02:10.228185,0 days 00:00:06.032758,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,823,,COMPLETE
7,0.030642361111111183,2026-06-25 01:02:10.238393,2026-06-25 01:02:54.421207,0 days 00:00:44.182814,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,0.03019965277777792,2026-06-25 01:02:54.431371,2026-06-25 01:03:47.882712,0 days 00:00:53.451341,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.026762152777777826,2026-06-25 01:03:47.893360,2026-06-25 01:04:10.707064,0 days 00:00:22.813704,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,677,,COMPLETE
10,0.02624131944444441,2026-06-25 01:04:10.716590,2026-06-25 01:04:34.724877,0 days 00:00:24.008287,Plain,Bernoulli,0.994218715820859,8.0,SymmetricTree,0.16834311272906852,4.0,0.034362454376490444,254.0,3.0,0.37215132795144673,8.0,0.701799154886745,835,,COMPLETE
11,0.026562499999999933,2026-06-25 01:04:34.734946,2026-06-25 01:04:38.533732,0 days 00:00:03.798786,Plain,Bernoulli,0.9702939709090881,4.0,SymmetricTree,0.009383155137023777,1.0,0.09859566104262237,254.0,5.0,0.10508574021578714,12.0,0.9899746260236472,988,,COMPLETE
12,0.025581597222222197,2026-06-25 01:04:38.543711,2026-06-25 01:04:46.628157,0 days 00:00:08.084446,Plain,Bernoulli,0.955174389309064,5.0,SymmetricTree,0.009706696817697365,1.0,0.04687577794802675,254.0,3.0,1.3733890861878526,18.0,0.9251002050978866,1000,,COMPLETE
13,0.02635416666666668,2026-06-25 01:04:46.638037,2026-06-25 01:04:53.150920,0 days 00:00:06.512883,Plain,Bernoulli,0.9988651477461036,5.0,SymmetricTree,0.004554392014489827,2.0,0.044658849726746185,254.0,3.0,1.470597003362009,13.0,0.9079030091838672,1000,,COMPLETE
14,0.027118055555555465,2026-06-25 01:04:53.160746,2026-06-25 01:05:00.776442,0 days 00:00:07.615696,Plain,Bernoulli,0.9611729786769923,5.0,SymmetricTree,0.04169905477996449,1.0,0.03673316573803936,254.0,3.0,0.4942190394834163,8.0,0.9276830750816984,1000,,COMPLETE
15,0.027456597222222268,2026-06-25 01:05:00.786413,2026-06-25 01:05:10.230620,0 days 00:00:09.444207,Plain,Bernoulli,0.8507110179479633,5.0,SymmetricTree,0.0013565712111179196,2.0,0.02262884359906933,254.0,3.0,0.9739764230952354,19.0,0.870400413360304,1000,,COMPLETE
16,0.025138888888888822,2026-06-25 01:05:10.240461,2026-06-25 01:05:20.242312,0 days 00:00:10.001851,Plain,Bernoulli,0.9369170693737766,6.0,SymmetricTree,0.6277222417627694,5.0,0.05275157445783033,254.0,2.0,1.4945482753836539,11.0,0.9563428461313846,1000,,COMPLETE
17,0.025538194444444384,2026-06-25 01:05:20.256299,2026-06-25 01:05:31.477669,0 days 00:00:11.221370,Plain,Bernoulli,0.9264268797440672,6.0,SymmetricTree,1.7440497369295562,5.0,0.05645036086372511,254.0,2.0,0.460559467004393,11.0,0.9564116384944106,1000,,COMPLETE
18,0.027803819444444322,2026-06-25 01:05:31.488398,2026-06-25 01:05:45.180826,0 days 00:00:13.692428,Plain,Bernoulli,0.9090982619335759,6.0,SymmetricTree,0.6697492172569028,19.0,0.024017446950345443,254.0,2.0,0.2261573695265,10.0,0.877289053115623,1000,,COMPLETE
19,0.027161458333333277,2026-06-25 01:05:45.191739,2026-06-25 01:06:04.384071,0 days 00:00:19.192332,Plain,Bernoulli,0.8956903189549392,8.0,SymmetricTree,0.09591687414642047,6.0,0.06123568960054419,254.0,2.0,0.8735904247338344,15.0,0.9520728160611944,771,,COMPLETE
20,0.02689236111111115,2026-06-25 01:06:04.394405,2026-06-25 01:06:15.474764,0 days 00:00:11.080359,Plain,Bernoulli,0.9371809026042587,6.0,SymmetricTree,0.3273853965265869,3.0,0.033112506776184596,254.0,2.0,0.5133609957268597,25.0,0.9631072309172714,1000,,COMPLETE
