number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.20562466856537953,2026-06-25 01:41:28.245119,2026-06-25 01:41:30.533736,0 days 00:00:02.288617,,,,,,,,,,,,,,100,{},COMPLETE
1,0.2026307700709078,2026-06-25 01:41:30.549580,2026-06-25 01:41:39.102126,0 days 00:00:08.552546,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,818,,COMPLETE
2,0.20661038915213215,2026-06-25 01:41:39.116079,2026-06-25 01:41:41.846005,0 days 00:00:02.729926,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,314,,COMPLETE
3,0.20262189946903264,2026-06-25 01:41:41.855368,2026-06-25 01:41:55.866408,0 days 00:00:14.011040,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,841,,COMPLETE
4,0.20645141227274255,2026-06-25 01:41:55.884608,2026-06-25 01:41:58.578653,0 days 00:00:02.694045,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,388,,COMPLETE
5,0.2017299530362604,2026-06-25 01:41:58.589194,2026-06-25 01:42:26.173567,0 days 00:00:27.584373,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,826,,COMPLETE
6,0.21079777027254099,2026-06-25 01:42:26.189255,2026-06-25 01:42:29.973076,0 days 00:00:03.783821,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,225,,COMPLETE
7,0.204509143646873,2026-06-25 01:42:29.983155,2026-06-25 01:43:01.532664,0 days 00:00:31.549509,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,455,,COMPLETE
8,0.2021194723090366,2026-06-25 01:43:01.543460,2026-06-25 01:43:50.244593,0 days 00:00:48.701133,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.21207367258124143,2026-06-25 01:43:50.255113,2026-06-25 01:44:01.993994,0 days 00:00:11.738881,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,213,,COMPLETE
10,0.20388513543031883,2026-06-25 01:44:02.004129,2026-06-25 01:44:25.089492,0 days 00:00:23.085363,Plain,Bernoulli,0.9942561717820161,8.0,Depthwise,1.841152012664479,5.0,0.03273941684536397,254.0,3.0,1.3327052390755632,92.0,0.701799154886745,250,,COMPLETE
11,0.20310821697415726,2026-06-25 01:44:25.098510,2026-06-25 01:44:54.468453,0 days 00:00:29.369943,Plain,Bernoulli,0.8590619822699883,6.0,Depthwise,2.4898729835966105,5.0,0.005160968868344048,254.0,4.0,1.2655561354454108,8.0,0.8633100588308208,1000,,COMPLETE
12,0.2030702422959304,2026-06-25 01:44:54.478197,2026-06-25 01:45:13.167385,0 days 00:00:18.689188,Plain,Bernoulli,0.898227943447388,6.0,Depthwise,0.0013785419874151365,20.0,0.012940395513776229,254.0,4.0,0.9638906978134099,99.0,0.772242381250273,641,,COMPLETE
13,0.20219487221494092,2026-06-25 01:45:13.178727,2026-06-25 01:45:50.875450,0 days 00:00:37.696723,Plain,Bernoulli,0.857206299528177,7.0,Depthwise,0.24942303118287568,2.0,0.007332155651385135,254.0,3.0,0.4259534965648961,8.0,0.8884653446882487,659,,COMPLETE
14,0.20296529346036218,2026-06-25 01:45:50.887124,2026-06-25 01:46:06.804378,0 days 00:00:15.917254,Plain,Bernoulli,0.9178489469316413,6.0,Depthwise,0.00429918955530283,1.0,0.02289647896082038,254.0,4.0,0.8431457882848591,59.0,0.8953683793126899,562,,COMPLETE
15,0.20437121811674563,2026-06-25 01:46:06.814225,2026-06-25 01:46:50.104392,0 days 00:00:43.290167,Plain,Bernoulli,0.9558908203545738,8.0,Depthwise,0.00047392792958192057,5.0,0.008115758867184377,254.0,3.0,0.45873983522616135,11.0,0.7967528254645134,777,,COMPLETE
16,0.20236134564976305,2026-06-25 01:46:50.113977,2026-06-25 01:47:16.979061,0 days 00:00:26.865084,Plain,Bernoulli,0.8833519535351692,5.0,Depthwise,0.19154321197381433,2.0,0.0050089136603965086,254.0,5.0,1.4890526206331551,17.0,0.7609524784084656,1000,,COMPLETE
17,0.20367500714117703,2026-06-25 01:47:16.988951,2026-06-25 01:47:40.352685,0 days 00:00:23.363734,Plain,Bernoulli,0.8689568749704395,7.0,Depthwise,0.7492619520252408,3.0,0.02362254703263174,254.0,4.0,1.0110777531206498,64.0,0.8389012843051735,609,,COMPLETE
18,0.2027392567295091,2026-06-25 01:47:40.363069,2026-06-25 01:48:02.933702,0 days 00:00:22.570633,Plain,Bernoulli,0.8951545739987901,5.0,Depthwise,0.06387682284350765,20.0,0.009910174326785265,254.0,3.0,0.5878043062262267,12.0,0.9163439401186273,669,,COMPLETE
19,0.20314859150788056,2026-06-25 01:48:02.943832,2026-06-25 01:48:11.263282,0 days 00:00:08.319450,Plain,Bernoulli,0.852253181743853,6.0,SymmetricTree,0.008353794059715439,7.0,0.018915137025867522,254.0,5.0,0.3333264932500701,72.0,0.8171487165359391,495,,COMPLETE
20,0.20372588256544677,2026-06-25 01:48:11.274599,2026-06-25 01:48:41.703411,0 days 00:00:30.428812,Plain,Bernoulli,0.9924443382121896,8.0,Depthwise,3.8893686524007403,1.0,0.03887497205274868,254.0,4.0,1.0336089152854948,25.0,0.8607523619111284,363,,COMPLETE
21,0.20244467478240413,2026-06-25 01:48:41.715593,2026-06-25 01:49:20.378541,0 days 00:00:38.662948,Plain,Bernoulli,0.8645839228473448,7.0,Depthwise,0.2365005063317685,2.0,0.0069823958994677015,254.0,3.0,0.3954977102755365,8.0,0.8879706691792802,777,,COMPLETE
22,0.20191637975938437,2026-06-25 01:49:20.389231,2026-06-25 01:50:02.723157,0 days 00:00:42.333926,Plain,Bernoulli,0.8868711494381605,7.0,Depthwise,1.07914172565915,3.0,0.006495151561733194,254.0,3.0,0.2757098820830613,12.0,0.9255875610053275,806,,COMPLETE
23,0.2015081455623886,2026-06-25 01:50:02.733126,2026-06-25 01:50:29.881596,0 days 00:00:27.148470,Plain,Bernoulli,0.8846713259434354,6.0,Depthwise,4.977922601866984,3.0,0.00987946772747951,254.0,4.0,0.23142600967276916,12.0,0.9493939040541554,938,,COMPLETE
24,0.2027749668145311,2026-06-25 01:50:29.897979,2026-06-25 01:50:53.807493,0 days 00:00:23.909514,Plain,Bernoulli,0.8858213924185484,6.0,Depthwise,1.0478981065096382,3.0,0.010266046735814235,254.0,3.0,0.22819427796837932,12.0,0.9594557026945683,625,,COMPLETE
25,0.2021833757603253,2026-06-25 01:50:53.817324,2026-06-25 01:51:17.418955,0 days 00:00:23.601631,Plain,Bernoulli,0.885312772783205,5.0,Depthwise,4.100488754494156,7.0,0.00957237388215651,254.0,4.0,0.2222824287627769,10.0,0.9284129918974938,950,,COMPLETE
