number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.17915006048110843,2026-06-25 02:18:49.174145,2026-06-25 02:19:02.560859,0 days 00:00:13.386714,,,,,,,,,,,,13,{},COMPLETE
1,0.17777435292696264,2026-06-25 02:19:02.577702,2026-06-25 02:20:36.386970,0 days 00:01:33.809268,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,282,,COMPLETE
2,0.17742747337795592,2026-06-25 02:20:36.402137,2026-06-25 02:20:56.855935,0 days 00:00:20.453798,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,82,,COMPLETE
3,0.17752571076718077,2026-06-25 02:20:56.870210,2026-06-25 02:22:10.055336,0 days 00:01:13.185126,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,267,,COMPLETE
4,0.17598010751851734,2026-06-25 02:22:10.066058,2026-06-25 02:23:12.318276,0 days 00:01:02.252218,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,407,,COMPLETE
5,0.17671191267828043,2026-06-25 02:23:12.332930,2026-06-25 02:24:00.584275,0 days 00:00:48.251345,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,253,,COMPLETE
6,0.17651431689969505,2026-06-25 02:24:00.595493,2026-06-25 02:25:03.799682,0 days 00:01:03.204189,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,316,,COMPLETE
7,0.17643503718891185,2026-06-25 02:25:03.810369,2026-06-25 02:26:50.182067,0 days 00:01:46.371698,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.1769549429303958,2026-06-25 02:26:50.192087,2026-06-25 02:27:55.268530,0 days 00:01:05.076443,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,370,,COMPLETE
9,0.17691672366627678,2026-06-25 02:27:55.278497,2026-06-25 02:28:38.636825,0 days 00:00:43.358328,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,204,,COMPLETE
10,0.17750957931513758,2026-06-25 02:28:38.646894,2026-06-25 02:29:05.427088,0 days 00:00:26.780194,0.8067426612208689,0.9630659181130071,lossguide,0.08641685654424158,31.0,7.0,137.0,0.05330630380208628,4.7988577526525065,2.5876151166352477,0.9729161367647149,63,,COMPLETE
11,0.17648479678615386,2026-06-25 02:29:05.436064,2026-06-25 02:30:42.844166,0 days 00:01:37.408102,0.8693222283329037,0.7235303726679885,depthwise,0.005166571376786263,14.0,10.0,8.0,0.09577630678348173,1.8141903773623267,0.10318214814797955,0.7411359388715663,1000,,COMPLETE
12,0.17619587358198913,2026-06-25 02:30:42.855045,2026-06-25 02:32:32.623253,0 days 00:01:49.768208,0.9087718335040773,0.7139841381087227,depthwise,0.005340496449166291,27.0,8.0,9.0,0.09909199881818531,1.2194504168217553,2.819880703393326,0.9942255032714351,1000,,COMPLETE
13,0.17594121232465132,2026-06-25 02:32:32.633438,2026-06-25 02:34:00.065392,0 days 00:01:27.431954,0.7502594821192226,0.7233933640208136,depthwise,0.008490571824219754,31.0,6.0,18.0,0.06411433585408148,0.021909040647912992,3.0673050924287018,0.9894947648438202,543,,COMPLETE
14,0.17654349810051956,2026-06-25 02:34:00.079892,2026-06-25 02:35:51.922423,0 days 00:01:51.842531,0.7553082698269054,0.8772756035711652,lossguide,0.008846808792590102,39.0,5.0,92.0,0.018777940651326392,0.18502785993036094,4.897130016304546,0.6026695735436801,557,,COMPLETE
15,0.17652493831872923,2026-06-25 02:35:51.932361,2026-06-25 02:37:38.375837,0 days 00:01:46.443476,0.6074809036781629,0.7273245014903308,lossguide,0.009153276128267576,13.0,6.0,29.0,0.0408117742232564,0.1361924100533458,3.332711542974665,0.763710392697964,482,,COMPLETE
16,0.17636653790257822,2026-06-25 02:37:38.385746,2026-06-25 02:38:03.773211,0 days 00:00:25.387465,0.768122913298292,0.7595783448113417,depthwise,0.03918360066441182,37.0,4.0,18.0,0.21496112933886996,1.0230393593771117,1.8034599171080825,0.9255974822311327,122,,COMPLETE
17,0.17745559740962397,2026-06-25 02:38:03.784494,2026-06-25 02:39:29.849095,0 days 00:01:26.064601,0.6575909660103075,0.9117712809246714,depthwise,0.008957853685580532,11.0,6.0,195.0,2.736338151827644,0.060749223339732095,3.8036330837353507,0.691346484168823,560,,COMPLETE
18,0.17691881453902797,2026-06-25 02:39:29.860975,2026-06-25 02:40:52.258098,0 days 00:01:22.397123,0.6774251146815251,0.688190021707737,lossguide,0.011432865494151928,20.0,5.0,63.0,0.014421501096701761,1.048659003113193,3.121938658088208,0.9588847400219365,425,,COMPLETE
19,0.17595569992284124,2026-06-25 02:40:52.267891,2026-06-25 02:42:27.320685,0 days 00:01:35.052794,0.7719898235665422,0.7638280966937018,depthwise,0.007017517731905446,50.0,4.0,882.0,0.18383936790895114,2.5236209090483994,1.9083088930479097,0.795795163509494,798,,COMPLETE
20,0.17733803400790935,2026-06-25 02:42:27.331160,2026-06-25 02:44:26.582983,0 days 00:01:59.251823,0.786169799770249,0.7621855468317963,depthwise,0.007198707013071298,58.0,7.0,1021.0,0.18160184577969496,4.851901986528535,1.484411118637185,0.8630494184421366,778,,COMPLETE
21,0.1759372969843359,2026-06-25 02:44:26.593508,2026-06-25 02:46:08.403631,0 days 00:01:41.810123,0.7371485947131424,0.8416687055755367,depthwise,0.007074070980381135,82.0,4.0,494.0,1.244005869433835,3.8435308439856453,2.0497548724238874,0.7996037522585402,873,,COMPLETE
22,0.17580613014791974,2026-06-25 02:46:08.417537,2026-06-25 02:47:51.215844,0 days 00:01:42.798307,0.731916694372774,0.8542485768690842,depthwise,0.006831020375001861,97.0,4.0,533.0,0.9632776226045423,3.998912048294657,2.052586482518728,0.802687917019911,886,,COMPLETE
23,0.17597699679288592,2026-06-25 02:47:51.230179,2026-06-25 02:49:26.372327,0 days 00:01:35.142148,0.7151532732742633,0.8624812215977623,depthwise,0.007013155961283423,86.0,4.0,551.0,1.2064418375017718,4.1548154125433525,2.355255532362779,0.8292061247376862,835,,COMPLETE
24,0.1765035220890969,2026-06-25 02:49:26.384530,2026-06-25 02:51:24.694934,0 days 00:01:58.310404,0.7394176335207925,0.9066046462641375,depthwise,0.0068438569255342765,97.0,5.0,234.0,1.2038359833294547,3.8692710003521675,1.8915667695716334,0.7049117467483595,899,,COMPLETE
25,0.17631285405406893,2026-06-25 02:51:24.705129,2026-06-25 02:52:38.518626,0 days 00:01:13.813497,0.8145305924647133,0.8366307154849336,depthwise,0.009877222365591246,75.0,4.0,586.0,2.2439091659852384,3.604270424413423,2.218066956007481,0.8849512645251131,592,,COMPLETE
