number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.20355489165862295,2026-06-25 05:23:37.974758,2026-06-25 05:23:43.692464,0 days 00:00:05.717706,,,,,,,,,,,,,,262,{},COMPLETE
1,0.19533869632368028,2026-06-25 05:23:43.709427,2026-06-25 05:24:03.723418,0 days 00:00:20.013991,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,992,,COMPLETE
2,0.22275678346914018,2026-06-25 05:24:03.738130,2026-06-25 05:24:10.185102,0 days 00:00:06.446972,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,1000,,COMPLETE
3,0.30125287210019125,2026-06-25 05:24:10.194935,2026-06-25 05:24:13.822638,0 days 00:00:03.627703,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.27635921101636085,2026-06-25 05:24:13.833914,2026-06-25 05:24:17.394413,0 days 00:00:03.560499,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,990,,COMPLETE
5,0.1923606494678547,2026-06-25 05:24:17.404366,2026-06-25 05:24:48.470625,0 days 00:00:31.066259,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,427,,COMPLETE
6,0.27064003618921195,2026-06-25 05:24:48.484554,2026-06-25 05:24:51.864560,0 days 00:00:03.380006,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,999,,COMPLETE
7,0.19676545719506044,2026-06-25 05:24:51.875392,2026-06-25 05:25:03.398033,0 days 00:00:11.522641,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,1000,,COMPLETE
8,0.19124086330391066,2026-06-25 05:25:03.407691,2026-06-25 05:25:36.108468,0 days 00:00:32.700777,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,771,,COMPLETE
9,0.19657868832253556,2026-06-25 05:25:36.122809,2026-06-25 05:25:46.864328,0 days 00:00:10.741519,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,575,,COMPLETE
10,0.20674182662555374,2026-06-25 05:25:46.875943,2026-06-25 05:25:54.177506,0 days 00:00:07.301563,0.7022641957948879,1.0,0.005502059192515464,0.0017684001062801304,False,0.7971859899035706,0.028575443310857374,1.0306723536455278,0.03977775115411819,31.0,16.0,23.0,8.0,1000,,COMPLETE
11,0.19358307054138657,2026-06-25 05:25:54.188189,2026-06-25 05:26:31.241577,0 days 00:00:37.053388,0.802754798121327,1.0,0.03536892572122951,0.0020887870522944057,False,0.9963467604631535,0.3000390111022635,0.7163719076622409,0.08666902684228948,100.0,1.0,5.0,165.0,523,,COMPLETE
12,0.1869599947994688,2026-06-25 05:26:31.252826,2026-06-25 05:27:21.384095,0 days 00:00:50.131269,0.8856171653185642,1.0,0.029127421278420326,0.023236969066106287,False,0.8519346364158834,0.29184973741789866,0.6532413869928695,0.05049708384913899,57.0,4.0,2.0,197.0,613,,COMPLETE
13,0.18997565488724177,2026-06-25 05:27:21.397750,2026-06-25 05:27:59.358412,0 days 00:00:37.960662,0.9920834141079983,1.0,0.01938931160836007,0.025307483776499752,False,0.7854734755930853,0.19618126578446127,0.981940413742047,0.04451506475158212,26.0,4.0,2.0,70.0,999,,COMPLETE
14,0.1902082394559319,2026-06-25 05:27:59.368804,2026-06-25 05:28:36.970681,0 days 00:00:37.601877,0.9948058470333414,1.0,0.025980185125489465,0.09987391715719031,False,0.7009103725244568,0.17223522836234695,0.6843121017907677,0.05002775977434885,25.0,3.0,2.0,89.0,749,,COMPLETE
15,0.18893826410158954,2026-06-25 05:28:36.982349,2026-06-25 05:29:04.430760,0 days 00:00:27.448411,0.9700644510349015,1.0,0.019581855971507568,0.01493772876676166,True,0.758715770964258,0.6243444716863706,1.9591343319554362,0.028831156262608983,23.0,4.0,4.0,186.0,830,,COMPLETE
16,0.19095078629740447,2026-06-25 05:29:04.441895,2026-06-25 05:29:25.726299,0 days 00:00:21.284404,0.9251467596532666,1.0,0.07904646028901316,0.13437254643856286,True,0.6311642650937075,0.6413939884122909,0.4028071054836734,0.027556878263997272,15.0,22.0,10.0,176.0,996,,COMPLETE
17,0.20303013522195457,2026-06-25 05:29:25.735543,2026-06-25 05:29:39.249815,0 days 00:00:13.514272,0.9112449808283285,1.0,0.015418376754974029,95.74738509612254,True,0.8733847247304694,0.6628463853060793,1.900480052879167,0.005690829910093074,8.0,11.0,4.0,33.0,1000,,COMPLETE
18,0.18794281160975324,2026-06-25 05:29:39.260290,2026-06-25 05:30:04.710318,0 days 00:00:25.450028,0.9645870093596539,1.0,0.005021964143218035,0.009638477793817058,True,0.731230791287209,0.5614293684921348,1.9546206485449105,0.026617835507468632,52.0,2.0,11.0,106.0,999,,COMPLETE
19,0.19202677065464935,2026-06-25 05:30:04.721940,2026-06-25 05:30:19.893003,0 days 00:00:15.171063,0.9002130949429755,1.0,0.0052793985260479286,0.005623071362746154,True,0.648175063612376,0.5173314516651393,1.3362009445980374,0.06344289877537906,58.0,2.0,13.0,107.0,525,,COMPLETE
20,0.1989614110600061,2026-06-25 05:30:19.904193,2026-06-25 05:30:28.625969,0 days 00:00:08.721776,0.8024056473923528,1.0,0.04810528221408441,0.07512062455058074,True,0.8767713729272371,0.38490263364388067,0.06334014852984937,0.02082897300585644,97.0,1.0,31.0,15.0,990,,COMPLETE
21,0.18763946791841923,2026-06-25 05:30:28.636897,2026-06-25 05:30:56.737995,0 days 00:00:28.101098,0.9677373480008111,1.0,0.008498970662208586,0.0070852451765801025,True,0.7668713218815729,0.6313474071953713,1.9879485205431544,0.030667465739234494,44.0,4.0,10.0,200.0,980,,COMPLETE
22,0.19078801810585877,2026-06-25 05:30:56.748901,2026-06-25 05:31:19.023160,0 days 00:00:22.274259,0.9563006298503778,1.0,0.007961404585316295,0.007455844691098742,True,0.40015726738282775,0.5576354554394988,1.815536811980587,0.03502214318266956,44.0,3.0,10.0,122.0,991,,COMPLETE
23,0.19196997978142893,2026-06-25 05:31:19.034328,2026-06-25 05:31:34.397851,0 days 00:00:15.363523,0.9720923476365954,1.0,0.009737059545721845,0.004283826810310258,True,0.8356421729921483,0.755137356721671,1.3730094248239788,0.060602519852266695,73.0,5.0,17.0,47.0,1000,,COMPLETE
24,0.18924183451454057,2026-06-25 05:31:34.408532,2026-06-25 05:31:57.045579,0 days 00:00:22.637047,0.9342230147643463,1.0,0.005169521279760216,0.36786249029011164,True,0.7254264396520024,0.7550085934658913,1.9979523823930145,0.029994177848560895,34.0,9.0,41.0,195.0,950,,COMPLETE
25,0.18851071050964263,2026-06-25 05:31:57.056815,2026-06-25 05:32:21.584492,0 days 00:00:24.527677,0.8972066070734026,1.0,0.015307951565569343,0.049496384556725795,True,0.6383875096302482,0.5750511785507268,1.7617454744369208,0.02058898404051705,51.0,2.0,10.0,102.0,1000,,COMPLETE
