number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.21558307610763372,2026-06-25 06:52:20.414452,2026-06-25 06:52:25.947918,0 days 00:00:05.533466,,,,,,,,,,,,,,100,{},COMPLETE
1,0.1951086866647842,2026-06-25 06:52:25.964398,2026-06-25 06:52:47.373888,0 days 00:00:21.409490,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.18402113145413745,2026-06-25 06:52:47.389516,2026-06-25 06:53:04.920309,0 days 00:00:17.530793,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,1000,,COMPLETE
3,0.1941893733070258,2026-06-25 06:53:04.935544,2026-06-25 06:53:34.523865,0 days 00:00:29.588321,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.18524777463941589,2026-06-25 06:53:34.535551,2026-06-25 06:53:46.539420,0 days 00:00:12.003869,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,1000,,COMPLETE
5,0.1779095535612607,2026-06-25 06:53:46.550493,2026-06-25 06:55:00.760335,0 days 00:01:14.209842,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.19500379437134074,2026-06-25 06:55:00.775288,2026-06-25 06:55:17.521549,0 days 00:00:16.746261,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,564,,COMPLETE
7,0.1768142799370488,2026-06-25 06:55:17.531442,2026-06-25 06:57:05.551620,0 days 00:01:48.020178,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,0.17857771084235896,2026-06-25 06:57:05.566880,2026-06-25 06:59:24.656211,0 days 00:02:19.089331,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.17675871868157822,2026-06-25 06:59:24.665748,2026-06-25 07:00:23.511688,0 days 00:00:58.845940,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,856,,COMPLETE
