number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.48362111593309753,2026-06-25 08:39:40.636186,2026-06-25 08:39:45.926469,0 days 00:00:05.290283,,,,,,,,,,,,13,{},COMPLETE
1,0.4566750205182877,2026-06-25 08:39:45.942357,2026-06-25 08:40:49.790505,0 days 00:01:03.848148,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,339,,COMPLETE
2,0.4530026928231363,2026-06-25 08:40:49.805394,2026-06-25 08:41:01.337699,0 days 00:00:11.532305,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,109,,COMPLETE
3,0.45276883146655494,2026-06-25 08:41:01.353302,2026-06-25 08:41:47.548113,0 days 00:00:46.194811,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,338,,COMPLETE
4,0.4538919391909927,2026-06-25 08:41:47.564476,2026-06-25 08:42:31.457832,0 days 00:00:43.893356,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,466,,COMPLETE
5,0.45670337489032337,2026-06-25 08:42:31.467985,2026-06-25 08:43:00.542771,0 days 00:00:29.074786,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,323,,COMPLETE
6,0.4547353368006759,2026-06-25 08:43:00.555020,2026-06-25 08:43:43.341936,0 days 00:00:42.786916,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,367,,COMPLETE
7,0.45770749100345376,2026-06-25 08:43:43.352214,2026-06-25 08:44:52.432005,0 days 00:01:09.079791,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.458631217539048,2026-06-25 08:44:52.441586,2026-06-25 08:45:35.586579,0 days 00:00:43.144993,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,433,,COMPLETE
9,0.4530059932011205,2026-06-25 08:45:35.598876,2026-06-25 08:46:05.609936,0 days 00:00:30.011060,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,270,,COMPLETE
10,0.4558133073456211,2026-06-25 08:46:05.621071,2026-06-25 08:46:16.969130,0 days 00:00:11.348059,0.8383148270515275,0.9630659181130071,lossguide,0.08675823913417954,99.0,8.0,968.0,0.038946887834449,4.7988577526525065,0.08173818767886609,0.9729161367647149,101,,COMPLETE
11,0.4511792436464642,2026-06-25 08:46:16.978909,2026-06-25 08:46:27.768729,0 days 00:00:10.789820,0.7746248333280521,0.7313127643705745,depthwise,0.08501524685764598,36.0,7.0,223.0,0.003878180358100527,3.1483061821907277,1.4282053211721337,0.6271281071050484,84,,COMPLETE
12,0.44843131363914146,2026-06-25 08:46:27.782022,2026-06-25 08:46:45.338974,0 days 00:00:17.556952,0.8068005390606677,0.6908556046603515,depthwise,0.04662774190283785,40.0,7.0,301.0,0.011249098181617553,3.88146395948761,1.4927691297664818,0.6134343539737889,208,,COMPLETE
13,0.44834107656620287,2026-06-25 08:46:45.353050,2026-06-25 08:47:01.520773,0 days 00:00:16.167723,0.8059920460193122,0.6934298894556589,depthwise,0.051329873808044546,35.0,7.0,222.0,0.031450860626848674,4.325038654835021,1.9522576469317154,0.6052561262871232,219,,COMPLETE
14,0.4465448170041453,2026-06-25 08:47:01.535824,2026-06-25 08:47:19.157735,0 days 00:00:17.621911,0.8309310603636082,0.7008970172268514,depthwise,0.0437519493631013,33.0,6.0,137.0,0.039400415302171324,4.728955085940117,2.4632184466245146,0.6007702501206821,279,,COMPLETE
15,0.44976100933384433,2026-06-25 08:47:19.173144,2026-06-25 08:47:38.618488,0 days 00:00:19.445344,0.8975007187145309,0.7242757678791987,depthwise,0.03961253559320304,34.0,6.0,130.0,0.054180658275204574,4.945733364480215,2.6838929720467597,0.7020228276855585,272,,COMPLETE
16,0.44864335617173423,2026-06-25 08:47:38.629389,2026-06-25 08:47:59.167039,0 days 00:00:20.537650,0.7614221373570337,0.7419012606285457,depthwise,0.036162566907958785,25.0,6.0,155.0,0.05775619562374011,4.215169121494801,2.2874294499643906,0.6997108097658562,273,,COMPLETE
17,0.4469591052002573,2026-06-25 08:47:59.177033,2026-06-25 08:48:14.149458,0 days 00:00:14.972425,0.8725947984564898,0.6751623289431748,depthwise,0.059033322074456135,59.0,5.0,498.0,0.02080821878347479,4.082694686525883,3.1112320241399143,0.605286777185501,207,,COMPLETE
18,0.45225537167701596,2026-06-25 08:48:14.159882,2026-06-25 08:48:26.481261,0 days 00:00:12.321379,0.9039100248497318,0.6016517653007968,depthwise,0.06909625383276675,71.0,5.0,546.0,0.15847195772915262,3.5164279944762784,3.2506006295647225,0.6677956761254961,128,,COMPLETE
19,0.4503531778569042,2026-06-25 08:48:26.492042,2026-06-25 08:48:49.158494,0 days 00:00:22.666452,0.8658928756119261,0.8874958133168993,depthwise,0.03299356557243857,50.0,5.0,52.0,0.014455676365353356,4.369998384339443,3.153801966734485,0.7184348381010864,283,,COMPLETE
20,0.446699715155361,2026-06-25 08:48:49.168575,2026-06-25 08:49:00.300398,0 days 00:00:11.131823,0.932883700518172,0.6605685035054936,depthwise,0.09964188570253778,78.0,6.0,638.0,0.08931508712839452,3.5854181925841813,3.748244631742049,0.6513710037394319,106,,COMPLETE
21,0.4516391567339903,2026-06-25 08:49:00.309986,2026-06-25 08:49:11.611173,0 days 00:00:11.301187,0.943788410674838,0.6555702201882603,depthwise,0.09019204540388963,72.0,6.0,516.0,0.08895292143268643,3.7856132791133854,3.8260838278620324,0.6540906671218429,107,,COMPLETE
22,0.45160741621937656,2026-06-25 08:49:11.621634,2026-06-25 08:49:25.421008,0 days 00:00:13.799374,0.8760977632791143,0.6836570206112695,depthwise,0.0625227880935834,75.0,5.0,639.0,0.02415136283189468,2.6091237975403505,2.9296387491312283,0.6026227598477283,110,,COMPLETE
23,0.45076049360118575,2026-06-25 08:49:25.431570,2026-06-25 08:49:36.244953,0 days 00:00:10.813383,0.991073994056354,0.7545820262493111,depthwise,0.09621307392362627,47.0,6.0,194.0,0.13768069290378035,4.513951916906199,3.46471455392226,0.6522170590230612,120,,COMPLETE
24,0.450348828370692,2026-06-25 08:49:36.255728,2026-06-25 08:49:51.475261,0 days 00:00:15.219533,0.9292996285811176,0.6555053064437759,depthwise,0.0517233662137985,28.0,5.0,361.0,0.009720438681941173,3.6122477822470773,2.042371922546014,0.6865009835234404,173,,COMPLETE
25,0.4509408700777766,2026-06-25 08:49:51.486169,2026-06-25 08:50:05.756406,0 days 00:00:14.270237,0.8584136913902359,0.7183522163157116,depthwise,0.07137732635895705,66.0,7.0,724.0,0.020051858806076413,3.982660438618188,4.870422392922617,0.7392760797292423,130,,COMPLETE
