number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.51208729256436,2026-06-25 09:32:45.043106,2026-06-25 09:32:51.963562,0 days 00:00:06.920456,,,,,,,,,,,,,,100,{},COMPLETE
1,0.5520341604461696,2026-06-25 09:32:51.979113,2026-06-25 09:33:00.897526,0 days 00:00:08.918413,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,221,,COMPLETE
2,0.5274927500627521,2026-06-25 09:33:00.907372,2026-06-25 09:33:04.863752,0 days 00:00:03.956380,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,170,,COMPLETE
3,0.4624708133747337,2026-06-25 09:33:04.874176,2026-06-25 09:33:17.105562,0 days 00:00:12.231386,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,997,,COMPLETE
4,0.4913825358069871,2026-06-25 09:33:17.120695,2026-06-25 09:33:20.777180,0 days 00:00:03.656485,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,180,,COMPLETE
5,0.4674901017799669,2026-06-25 09:33:20.787682,2026-06-25 09:33:48.735060,0 days 00:00:27.947378,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,627,,COMPLETE
6,0.8746954687498705,2026-06-25 09:33:48.746016,2026-06-25 09:33:56.132992,0 days 00:00:07.386976,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,123,,COMPLETE
7,0.6147270363893814,2026-06-25 09:33:56.142522,2026-06-25 09:34:19.103565,0 days 00:00:22.961043,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,236,,COMPLETE
8,0.48437384268063566,2026-06-25 09:34:19.114316,2026-06-25 09:35:04.865565,0 days 00:00:45.751249,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,629,,COMPLETE
9,0.5586908664530648,2026-06-25 09:35:04.875345,2026-06-25 09:35:16.593637,0 days 00:00:11.718292,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,157,,COMPLETE
10,0.49157692257689795,2026-06-25 09:35:16.604297,2026-06-25 09:35:53.520172,0 days 00:00:36.915875,Plain,Bernoulli,0.9947167472260312,8.0,Depthwise,0.17516619421446947,1.0,0.02632754856303217,254.0,3.0,0.11492914573793168,8.0,0.701799154886745,354,,COMPLETE
11,0.4649366286707286,2026-06-25 09:35:53.530171,2026-06-25 09:36:15.970761,0 days 00:00:22.440590,Plain,Bernoulli,0.8551596726501958,6.0,Depthwise,3.018545874002565,5.0,0.014611907623616187,254.0,3.0,1.1917585890137399,100.0,0.8654107265462174,527,,COMPLETE
12,0.46506663474581666,2026-06-25 09:36:15.981699,2026-06-25 09:36:28.864169,0 days 00:00:12.882470,Plain,Bernoulli,0.8541841812899111,5.0,Depthwise,4.58594509662496,5.0,0.024150116411730572,254.0,3.0,1.4079596741368336,99.0,0.8230095165863519,477,,COMPLETE
13,0.4637950643613277,2026-06-25 09:36:28.874311,2026-06-25 09:36:44.684662,0 days 00:00:15.810351,Plain,Bernoulli,0.9687616019374847,5.0,Depthwise,0.7053167561062582,1.0,0.018577637922759304,254.0,3.0,0.2503130280392127,56.0,0.7778092363919423,809,,COMPLETE
14,0.471083868177828,2026-06-25 09:36:44.694961,2026-06-25 09:36:53.804992,0 days 00:00:09.110031,Plain,Bernoulli,0.9730708379780038,5.0,Depthwise,0.25922819868967223,1.0,0.0331153740615849,254.0,3.0,0.21453225144748356,56.0,0.7733448218973679,462,,COMPLETE
15,0.48822127855479214,2026-06-25 09:36:53.820076,2026-06-25 09:37:00.953645,0 days 00:00:07.133569,Plain,Bernoulli,0.9352986108747314,5.0,Depthwise,0.04420287337695384,1.0,0.04415017166722884,254.0,2.0,0.17392397625102543,60.0,0.7736379663675922,308,,COMPLETE
16,0.4603174460088753,2026-06-25 09:37:00.965347,2026-06-25 09:37:15.845763,0 days 00:00:14.880416,Plain,Bernoulli,0.9681397823457133,4.0,Depthwise,0.7565650973777974,2.0,0.010844474076775067,254.0,3.0,0.32575658412201763,41.0,0.7670296579521766,1000,,COMPLETE
17,0.46203837726578134,2026-06-25 09:37:15.860342,2026-06-25 09:37:27.853259,0 days 00:00:11.992917,Plain,Bernoulli,0.9257394614530026,4.0,Depthwise,0.0047439625734073945,2.0,0.010007918752186118,254.0,2.0,0.3825478655722862,39.0,0.7525255121737926,743,,COMPLETE
18,0.4641880475447375,2026-06-25 09:37:27.864370,2026-06-25 09:37:42.178704,0 days 00:00:14.314334,Plain,Bernoulli,0.99869157942154,4.0,Depthwise,0.002820633892550751,2.0,0.008181917406826071,254.0,3.0,0.42689124086740965,26.0,0.7415121238925909,893,,COMPLETE
