number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.07027394702323253,2026-06-25 09:49:30.732386,2026-06-25 09:49:31.845420,0 days 00:00:01.113034,,,,,,,,,,,,9,{},COMPLETE
1,0.06653265604953962,2026-06-25 09:49:31.860991,2026-06-25 09:49:43.045620,0 days 00:00:11.184629,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,137,,COMPLETE
2,0.06549251332278205,2026-06-25 09:49:43.059440,2026-06-25 09:49:44.960102,0 days 00:00:01.900662,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,145,,COMPLETE
3,0.06591846715593408,2026-06-25 09:49:44.973333,2026-06-25 09:49:52.821744,0 days 00:00:07.848411,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,196,,COMPLETE
4,0.06536904681483413,2026-06-25 09:49:52.831601,2026-06-25 09:49:59.721707,0 days 00:00:06.890106,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,664,,COMPLETE
5,0.06543563857104306,2026-06-25 09:49:59.734857,2026-06-25 09:50:02.797378,0 days 00:00:03.062521,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,211,,COMPLETE
6,0.06508011673297798,2026-06-25 09:50:02.807369,2026-06-25 09:50:07.605163,0 days 00:00:04.797794,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,295,,COMPLETE
7,0.06571083369742436,2026-06-25 09:50:07.618515,2026-06-25 09:50:15.428155,0 days 00:00:07.809640,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.06504832702790131,2026-06-25 09:50:15.437999,2026-06-25 09:50:19.718271,0 days 00:00:04.280272,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,357,,COMPLETE
9,0.06594185591258261,2026-06-25 09:50:19.733382,2026-06-25 09:50:22.481327,0 days 00:00:02.747945,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,151,,COMPLETE
10,0.06596806158012158,2026-06-25 09:50:22.490685,2026-06-25 09:50:24.490173,0 days 00:00:01.999488,0.8197534695371591,0.7202259292197385,depthwise,0.08641869155550744,40.0,7.0,137.0,0.05520191203895588,4.7988577526525065,2.938272016159444,0.9729161367647149,54,,COMPLETE
11,0.0657684985379079,2026-06-25 09:50:24.505674,2026-06-25 09:50:32.688878,0 days 00:00:08.183204,0.7476913183222175,0.8839329637013178,depthwise,0.007631609688708743,65.0,5.0,9.0,4.6723067682627075,0.9641094099774248,3.350824334225044,0.7334795125859336,1000,,COMPLETE
12,0.06523572018697898,2026-06-25 09:50:32.699319,2026-06-25 09:50:35.868201,0 days 00:00:03.168882,0.991014113930097,0.7496463164130361,lossguide,0.03926563841225128,47.0,5.0,25.0,0.09909199881818531,0.9377444039036937,3.690465616670249,0.7276511734528,124,,COMPLETE
13,0.06498395972219773,2026-06-25 09:50:35.878913,2026-06-25 09:50:41.449050,0 days 00:00:05.570137,0.8804333170988682,0.9232264137788657,depthwise,0.010309562071127988,32.0,5.0,19.0,1.2908069566778397,0.0126290482219521,2.1628087272886978,0.6052561262871233,491,,COMPLETE
14,0.06530220123124586,2026-06-25 09:50:41.462730,2026-06-25 09:50:46.780191,0 days 00:00:05.317461,0.9077910132332764,0.9775877699121216,depthwise,0.009309267776085818,29.0,6.0,84.0,0.08803036017901623,0.18402345014119317,2.179742806694334,0.602166200629372,363,,COMPLETE
15,0.06583685729880062,2026-06-25 09:50:46.789244,2026-06-25 09:50:52.890327,0 days 00:00:06.101083,0.91239882733399,0.8937243027997998,depthwise,0.008628072216867533,32.0,6.0,203.0,1.3748531255792884,1.287170179301996,1.792015584924231,0.9700614417713568,447,,COMPLETE
16,0.06500059631178645,2026-06-25 09:50:52.900435,2026-06-25 09:50:59.998951,0 days 00:00:07.098516,0.8294757870022369,0.9262479618727643,depthwise,0.0067233690060056715,80.0,5.0,57.0,0.025484991969112997,2.3522367917764235,2.8046788152973128,0.8614838463376575,632,,COMPLETE
17,0.06551249009026705,2026-06-25 09:51:00.009182,2026-06-25 09:51:09.470423,0 days 00:00:09.461241,0.8201628186063393,0.9298528902087924,depthwise,0.005682832100775162,99.0,7.0,17.0,0.019664645404049837,4.397516029360762,1.343108584263221,0.6858836045009767,1000,,COMPLETE
18,0.06585330056401495,2026-06-25 09:51:09.482041,2026-06-25 09:51:16.127230,0 days 00:00:06.645189,0.8479855777386011,0.933605409226467,depthwise,0.007643988196980509,74.0,4.0,50.0,0.021193013199747167,2.5868110908138124,2.7391563101676324,0.601200977892428,719,,COMPLETE
19,0.06472170566565838,2026-06-25 09:51:16.137087,2026-06-25 09:51:22.184590,0 days 00:00:06.047503,0.7719898235665422,0.9925640933474911,depthwise,0.010540340367489508,12.0,5.0,15.0,0.0019694151498193153,3.968158109243487,0.08689028168849333,0.9215606325104604,585,,COMPLETE
20,0.06469125771059236,2026-06-25 09:51:22.199236,2026-06-25 09:51:28.030657,0 days 00:00:05.831421,0.7731149133835266,0.9989879313923895,depthwise,0.011191536767915341,12.0,6.0,15.0,0.0016034900695416868,4.067105946049195,0.14378321929197124,0.9404052868155786,549,,COMPLETE
