number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.8916716785841329,2026-06-25 10:27:43.228440,2026-06-25 10:27:44.706718,0 days 00:00:01.478278,,,,,,,,,,,,,,41,{},COMPLETE
1,0.8989143419258282,2026-06-25 10:27:44.723392,2026-06-25 10:27:50.991951,0 days 00:00:06.268559,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,281,,COMPLETE
2,0.879688923932719,2026-06-25 10:27:51.004508,2026-06-25 10:27:52.764096,0 days 00:00:01.759588,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,413,,COMPLETE
3,0.9022705562456832,2026-06-25 10:27:52.777891,2026-06-25 10:27:53.853616,0 days 00:00:01.075725,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,994,,COMPLETE
4,0.8841159163563037,2026-06-25 10:27:53.863701,2026-06-25 10:27:54.737115,0 days 00:00:00.873414,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,993,,COMPLETE
5,0.9116504543790659,2026-06-25 10:27:54.746485,2026-06-25 10:28:00.234736,0 days 00:00:05.488251,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,265,,COMPLETE
6,0.8954830355408547,2026-06-25 10:28:00.244706,2026-06-25 10:28:00.962087,0 days 00:00:00.717381,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,590,,COMPLETE
7,0.865938076474502,2026-06-25 10:28:00.971975,2026-06-25 10:28:04.232614,0 days 00:00:03.260639,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,338,,COMPLETE
8,0.8892629241138701,2026-06-25 10:28:04.249730,2026-06-25 10:28:07.981332,0 days 00:00:03.731602,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,90,,COMPLETE
9,0.8719145365477314,2026-06-25 10:28:07.991652,2026-06-25 10:28:09.116604,0 days 00:00:01.124952,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,57,,COMPLETE
10,0.8695863602930889,2026-06-25 10:28:09.126455,2026-06-25 10:28:12.497827,0 days 00:00:03.371372,0.9908611332363597,1.0,0.03512175732792625,55.54162315706866,True,0.6839963928728011,0.5905156421247704,0.02569074131920096,0.005556572437269131,99.0,19.0,23.0,12.0,867,,COMPLETE
11,0.8718350990042534,2026-06-25 10:28:12.508999,2026-06-25 10:28:15.714235,0 days 00:00:03.205236,0.9984567420564903,1.0,0.03352561511977935,52.38654328518467,True,0.6606137630538468,0.6091129560474012,0.07101727097318089,0.005738601544760158,100.0,21.0,22.0,14.0,760,,COMPLETE
12,0.8645385681994338,2026-06-25 10:28:15.725022,2026-06-25 10:28:18.745741,0 days 00:00:03.020719,0.9979535080856271,1.0,0.2848884235393859,0.305128880331871,True,0.6537243008275448,0.6091933662784068,0.4702775475535603,0.005311126596497428,100.0,3.0,16.0,9.0,996,,COMPLETE
13,0.8676330447728138,2026-06-25 10:28:18.759952,2026-06-25 10:28:20.682945,0 days 00:00:01.922993,0.9503189177548768,1.0,0.3291749957500556,0.22993750167349042,True,0.5971997400602952,0.6618040375958354,0.5602118722015308,0.00991549581849095,69.0,3.0,9.0,7.0,646,,COMPLETE
