number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,1.021720977707986,2026-06-25 10:56:26.154665,2026-06-25 10:56:28.015757,0 days 00:00:01.861092,,,,,,,,,,,,,,100,{},COMPLETE
1,0.8693476641325014,2026-06-25 10:56:28.032600,2026-06-25 10:56:34.219111,0 days 00:00:06.186511,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,953,,COMPLETE
2,0.8957106039676189,2026-06-25 10:56:34.234204,2026-06-25 10:56:36.245563,0 days 00:00:02.011359,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,411,,COMPLETE
3,0.8682322970406133,2026-06-25 10:56:36.256524,2026-06-25 10:56:49.685983,0 days 00:00:13.429459,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,948,,COMPLETE
4,0.886184611998151,2026-06-25 10:56:49.701370,2026-06-25 10:56:51.365090,0 days 00:00:01.663720,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,212,,COMPLETE
5,0.8892039521212544,2026-06-25 10:56:51.377024,2026-06-25 10:57:35.321146,0 days 00:00:43.944122,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.8912961358752192,2026-06-25 10:57:35.332143,2026-06-25 10:57:38.555429,0 days 00:00:03.223286,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,323,,COMPLETE
7,0.9166262502485044,2026-06-25 10:57:38.566821,2026-06-25 10:59:15.685248,0 days 00:01:37.118427,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,0.9173847690590997,2026-06-25 10:59:15.696634,2026-06-25 11:00:55.020087,0 days 00:01:39.323453,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.9447369643221354,2026-06-25 11:00:55.032329,2026-06-25 11:01:16.254392,0 days 00:00:21.222063,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,294,,COMPLETE
