number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.21523862451259446,2026-06-25 11:12:54.744821,2026-06-25 11:12:56.922754,0 days 00:00:02.177933,,,,,,,,,,,,,,100,{},COMPLETE
1,0.23749172948559405,2026-06-25 11:12:56.938355,2026-06-25 11:12:58.602642,0 days 00:00:01.664287,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,325,,COMPLETE
2,0.2524614866350504,2026-06-25 11:12:58.612780,2026-06-25 11:12:59.835636,0 days 00:00:01.222856,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,205,,COMPLETE
3,0.20721294759116238,2026-06-25 11:12:59.845595,2026-06-25 11:13:02.203996,0 days 00:00:02.358401,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,352,,COMPLETE
4,0.22476887946632995,2026-06-25 11:13:02.218663,2026-06-25 11:13:03.523117,0 days 00:00:01.304454,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,294,,COMPLETE
5,0.20749598577471529,2026-06-25 11:13:03.532997,2026-06-25 11:13:08.498719,0 days 00:00:04.965722,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,291,,COMPLETE
6,0.3026732168468361,2026-06-25 11:13:08.508487,2026-06-25 11:13:10.740229,0 days 00:00:02.231742,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,253,,COMPLETE
7,0.2562434819269088,2026-06-25 11:13:10.750125,2026-06-25 11:13:21.063217,0 days 00:00:10.313092,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,341,,COMPLETE
8,0.20251148794622964,2026-06-25 11:13:21.075043,2026-06-25 11:13:31.494608,0 days 00:00:10.419565,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,411,,COMPLETE
9,0.21210414998275307,2026-06-25 11:13:31.509131,2026-06-25 11:13:39.337722,0 days 00:00:07.828591,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,251,,COMPLETE
10,0.23167639796908446,2026-06-25 11:13:39.348250,2026-06-25 11:13:57.260411,0 days 00:00:17.912161,Plain,Bernoulli,0.9942230638674576,8.0,Depthwise,0.0025843128549611844,4.0,0.030271331966456122,254.0,3.0,1.3207438549980748,8.0,0.701799154886745,689,,COMPLETE
11,0.20801100180135845,2026-06-25 11:13:57.273177,2026-06-25 11:14:03.204290,0 days 00:00:05.931113,Plain,Bernoulli,0.9285482344165584,6.0,Depthwise,0.10524335090470852,1.0,0.005160968868344048,254.0,3.0,0.10288032422491665,11.0,0.7973348052196165,331,,COMPLETE
12,0.2183370416168251,2026-06-25 11:14:03.214301,2026-06-25 11:14:25.885189,0 days 00:00:22.670888,Plain,Bernoulli,0.9657886018570107,8.0,Depthwise,3.449608770519814,1.0,0.01875405184824264,254.0,3.0,0.20461845882875795,67.0,0.7965301532800794,470,,COMPLETE
13,0.2069962248127536,2026-06-25 11:14:25.895028,2026-06-25 11:14:31.210585,0 days 00:00:05.315557,Plain,Bernoulli,0.9126200375323257,5.0,Depthwise,0.0007839096771543011,2.0,0.005034883324665496,254.0,4.0,0.3495337593931401,16.0,0.8337704856011925,683,,COMPLETE
14,0.2132170132550123,2026-06-25 11:14:31.222385,2026-06-25 11:14:38.375977,0 days 00:00:07.153592,Plain,Bernoulli,0.9016307944245174,6.0,Depthwise,0.0006838202236668118,2.0,0.005437657626972361,254.0,4.0,0.41202089151503213,16.0,0.8620578004240508,569,,COMPLETE
15,0.20694680344618221,2026-06-25 11:14:38.387903,2026-06-25 11:14:42.702379,0 days 00:00:04.314476,Plain,Bernoulli,0.8507110179479633,5.0,Depthwise,0.0005441742243389679,4.0,0.007902171043613584,254.0,4.0,0.8782369802293923,11.0,0.7578650436126024,530,,COMPLETE
16,0.22460876432463184,2026-06-25 11:14:42.713476,2026-06-25 11:14:51.582015,0 days 00:00:08.868539,Plain,Bernoulli,0.8505149299655245,7.0,Depthwise,0.0003013698130317311,5.0,0.008230172404929674,254.0,5.0,0.8630272419774733,10.0,0.7558494069090618,266,,COMPLETE
17,0.23244885897159184,2026-06-25 11:14:51.591885,2026-06-25 11:14:54.415884,0 days 00:00:02.823999,Plain,Bernoulli,0.8578230213769714,5.0,Depthwise,0.0047439625734073945,6.0,0.027884137123098597,254.0,4.0,1.0078346420593125,12.0,0.7599193310814873,171,,COMPLETE
18,0.23268499728686787,2026-06-25 11:14:54.427935,2026-06-25 11:15:11.259997,0 days 00:00:16.832062,Plain,Bernoulli,0.8658998550623541,8.0,Depthwise,0.0006059189448179995,18.0,0.008181917406826071,254.0,3.0,1.4938813382420368,22.0,0.7631508831304501,250,,COMPLETE
19,0.21628882855223652,2026-06-25 11:15:11.270915,2026-06-25 11:15:14.205100,0 days 00:00:02.934185,Plain,Bernoulli,0.8858157867545566,6.0,SymmetricTree,0.00738836580729759,3.0,0.007002505321215677,254.0,5.0,0.5436420817895176,8.0,0.8888407987184511,382,,COMPLETE
20,0.20934853057165403,2026-06-25 11:15:14.215212,2026-06-25 11:15:24.383393,0 days 00:00:10.168181,Plain,Bernoulli,0.9551758942509833,7.0,Depthwise,0.00010747518428058305,2.0,0.011614261866644401,254.0,4.0,0.8183086185969305,13.0,0.729763351809107,360,,COMPLETE
21,0.20766568260993234,2026-06-25 11:15:24.393836,2026-06-25 11:15:28.765828,0 days 00:00:04.371992,Plain,Bernoulli,0.9139554327629617,5.0,Depthwise,0.001016734327592685,2.0,0.0059656164314314765,254.0,4.0,0.30280138604997164,15.0,0.8266793265555382,330,,COMPLETE
22,0.20735364719599314,2026-06-25 11:15:28.778857,2026-06-25 11:15:31.868731,0 days 00:00:03.089874,Plain,Bernoulli,0.9182036692517659,5.0,Depthwise,0.00037032079124511526,3.0,0.009392381067407238,254.0,4.0,0.5307388275405848,20.0,0.7835511988922192,172,,COMPLETE
23,0.22085614448790392,2026-06-25 11:15:31.878765,2026-06-25 11:15:36.032300,0 days 00:00:04.153535,Plain,Bernoulli,0.9416533222824036,5.0,Depthwise,0.0015622752407399368,6.0,0.006518832291211454,254.0,3.0,0.45612142214232354,10.0,0.8525069620060415,320,,COMPLETE
24,0.19945076724150113,2026-06-25 11:15:36.042763,2026-06-25 11:15:41.115992,0 days 00:00:05.073229,Plain,Bernoulli,0.8937242373578121,6.0,Depthwise,0.0003230090581882583,2.0,0.0050054157372874265,254.0,4.0,0.32301218427337564,23.0,0.8235727635213447,207,,COMPLETE
25,0.21759080419658006,2026-06-25 11:15:41.129044,2026-06-25 11:15:49.149367,0 days 00:00:08.020323,Plain,Bernoulli,0.8917878822307699,6.0,Depthwise,0.00020398532099821982,1.0,0.016653174827777992,254.0,5.0,0.25003814286117926,26.0,0.7777033381233488,640,,COMPLETE
