number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,9.443106162806137,2026-06-25 13:55:02.323588,2026-06-25 13:55:07.550669,0 days 00:00:05.227081,,,,,,,,,,,,,,100,{},COMPLETE
1,8.954638937692792,2026-06-25 13:55:07.565311,2026-06-25 13:55:36.701955,0 days 00:00:29.136644,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,9.004398301349157,2026-06-25 13:55:36.718746,2026-06-25 13:55:46.903774,0 days 00:00:10.185028,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,573,,COMPLETE
3,8.920316025279211,2026-06-25 13:55:46.913709,2026-06-25 13:56:41.374432,0 days 00:00:54.460723,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,8.993429277424209,2026-06-25 13:56:41.389234,2026-06-25 13:56:50.792988,0 days 00:00:09.403754,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,625,,COMPLETE
5,8.847295911779181,2026-06-25 13:56:50.802776,2026-06-25 13:59:11.747226,0 days 00:02:20.944450,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,9.001653291631225,2026-06-25 13:59:11.762207,2026-06-25 13:59:24.205031,0 days 00:00:12.442824,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,541,,COMPLETE
7,8.835504456107572,2026-06-25 13:59:24.214407,2026-06-25 14:03:31.315888,0 days 00:04:07.101481,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,8.867121223816175,2026-06-25 14:03:31.329885,2026-06-25 14:07:34.182236,0 days 00:04:02.852351,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,8.956625219236594,2026-06-25 14:07:34.191582,2026-06-25 14:08:41.346898,0 days 00:01:07.155316,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,448,,COMPLETE
10,8.878888037772445,2026-06-25 14:08:41.357896,2026-06-25 14:11:45.073993,0 days 00:03:03.716097,Plain,Bernoulli,0.994248489293539,8.0,Depthwise,0.0025843128549611844,5.0,0.03240424724296597,254.0,5.0,1.3206749356439977,8.0,0.701799154886745,738,,COMPLETE
11,8.913417366250657,2026-06-25 14:11:45.085200,2026-06-25 14:14:40.833503,0 days 00:02:55.748303,Plain,Bernoulli,0.8549932633645971,6.0,Depthwise,2.4898729835966105,20.0,0.0052080693455495404,254.0,4.0,1.2655561354454108,100.0,0.9038784049301825,1000,,COMPLETE
12,8.854018741779123,2026-06-25 14:14:40.843665,2026-06-25 14:16:56.970573,0 days 00:02:16.126908,Plain,Bernoulli,0.8670006455900089,6.0,Depthwise,3.9041261223984254,6.0,0.01145480320111291,254.0,5.0,0.9630707673942561,88.0,0.8975510374983446,1000,,COMPLETE
13,8.845584763719,2026-06-25 14:16:56.982171,2026-06-25 14:21:07.998976,0 days 00:04:11.016805,Plain,Bernoulli,0.8826375479575675,7.0,Depthwise,0.28698307039225834,8.0,0.008344926503893351,254.0,3.0,0.4254040339656282,60.0,0.9161269787227282,1000,,COMPLETE
14,8.84553693715183,2026-06-25 14:21:08.010299,2026-06-25 14:28:13.664840,0 days 00:07:05.654541,Plain,Bernoulli,0.8808344937319049,8.0,Depthwise,0.3654853999924955,20.0,0.007078533713410339,254.0,3.0,0.3912199534925042,55.0,0.9254840274447367,1000,,COMPLETE
15,8.865623640806595,2026-06-25 14:28:13.674436,2026-06-25 14:31:47.334367,0 days 00:03:33.659931,Plain,Bernoulli,0.8507110179479633,8.0,Depthwise,0.001225794132010376,20.0,0.020703623152145932,254.0,3.0,0.3084410420137245,51.0,0.9458095732243166,733,,COMPLETE
16,8.818924670816326,2026-06-25 14:31:47.343877,2026-06-25 14:38:53.098131,0 days 00:07:05.754254,Plain,Bernoulli,0.915549300711777,8.0,Depthwise,0.2958191752009149,15.0,0.007660187413735661,254.0,3.0,0.43171887056318564,56.0,0.867884767929035,1000,,COMPLETE
17,8.855033732404564,2026-06-25 14:38:53.112080,2026-06-25 14:41:19.468922,0 days 00:02:26.356842,Plain,Bernoulli,0.9552255825112729,7.0,Depthwise,0.00010054132507341733,4.0,0.022913026485058104,254.0,3.0,0.7133534086746168,64.0,0.8572959943054353,1000,,COMPLETE
18,8.83452207673807,2026-06-25 14:41:19.479288,2026-06-25 14:47:55.800743,0 days 00:06:36.321455,Plain,Bernoulli,0.919747160001019,8.0,Depthwise,0.007455256503447234,11.0,0.00821594320961682,254.0,5.0,0.5390670248416615,45.0,0.8605993916700079,1000,,COMPLETE
19,8.854243174934966,2026-06-25 14:47:55.810340,2026-06-25 14:50:34.512235,0 days 00:02:38.701895,Plain,Bernoulli,0.9226644974746073,8.0,SymmetricTree,0.008353794059715439,14.0,0.0164628027988069,254.0,4.0,0.24084452639470638,40.0,0.7773606708871206,1000,,COMPLETE
20,8.879027914987226,2026-06-25 14:50:34.522144,2026-06-25 14:53:09.785987,0 days 00:02:35.263843,Plain,Bernoulli,0.9578109299938373,8.0,Depthwise,0.09389232194198535,7.0,0.03887497205274868,254.0,3.0,0.5133609957268597,73.0,0.8410838119234255,611,,COMPLETE
