number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,9.393485711752266,2026-06-25 16:24:45.821427,2026-06-25 16:24:49.114348,0 days 00:00:03.292921,,,,,,,,,,,,,,100,{},COMPLETE
1,8.935253282263654,2026-06-25 16:24:49.131462,2026-06-25 16:25:08.318276,0 days 00:00:19.186814,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,8.989682717319214,2026-06-25 16:25:08.333314,2026-06-25 16:25:14.257750,0 days 00:00:05.924436,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,561,,COMPLETE
3,8.909411323264917,2026-06-25 16:25:14.268229,2026-06-25 16:25:48.088259,0 days 00:00:33.820030,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,8.980609762674272,2026-06-25 16:25:48.102802,2026-06-25 16:25:53.400001,0 days 00:00:05.297199,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,437,,COMPLETE
5,8.82278020755694,2026-06-25 16:25:53.410662,2026-06-25 16:27:26.470674,0 days 00:01:33.060012,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,8.976485898298309,2026-06-25 16:27:26.484708,2026-06-25 16:27:36.955081,0 days 00:00:10.470373,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,526,,COMPLETE
7,8.815106437195023,2026-06-25 16:27:36.964807,2026-06-25 16:30:02.960536,0 days 00:02:25.995729,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,8.820950364974392,2026-06-25 16:30:02.976195,2026-06-25 16:32:30.675013,0 days 00:02:27.698818,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,8.939723318351136,2026-06-25 16:32:30.685112,2026-06-25 16:33:05.807553,0 days 00:00:35.122441,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,354,,COMPLETE
