feature_name,raw_gain,percentage_share
loc,4.632155515023283,4.632155515023283
pca_embed_2,2.769185853872587,2.769185853872587
pca_embed_0,2.622413472041487,2.622413472041487
pca_embed_28,2.406402834083379,2.406402834083379
pca_embed_11,2.3735277763975535,2.3735277763975535
pca_embed_4,2.184853918730027,2.184853918730027
pca_embed_8,2.1831029229135765,2.1831029229135765
pca_embed_14,1.9956541651623645,1.9956541651623645
pca_embed_20,1.961148800458242,1.961148800458242
pca_embed_3,1.9321087133663308,1.9321087133663306
pca_embed_15,1.9167557492180898,1.9167557492180898
pca_embed_13,1.904561758934372,1.904561758934372
pca_embed_30,1.863992633609424,1.8639926336094241
pca_embed_17,1.8329506811641834,1.8329506811641831
pca_embed_29,1.8305253079704054,1.8305253079704054
pca_embed_24,1.7985944999642567,1.7985944999642567
pca_embed_27,1.783641575571015,1.783641575571015
pca_embed_16,1.7804763157253127,1.7804763157253127
pca_embed_12,1.7757334855396352,1.775733485539635
pca_embed_38,1.775086522066944,1.7750865220669443
pca_embed_22,1.7717167474198805,1.7717167474198805
pca_embed_23,1.7686811228237922,1.7686811228237922
pca_embed_21,1.7443477135515486,1.7443477135515486
pca_embed_33,1.7414497040049264,1.7414497040049264
pca_embed_26,1.7328627811061832,1.7328627811061832
lOBlank,1.7192579062684026,1.7192579062684024
pca_embed_5,1.6981089807635101,1.6981089807635104
pca_embed_39,1.6387885658842716,1.6387885658842714
pca_embed_19,1.6367039359533044,1.6367039359533047
pca_embed_10,1.6286828628838914,1.6286828628838914
pca_embed_31,1.6169433702760347,1.6169433702760347
pca_embed_34,1.6114922880472475,1.6114922880472475
pca_embed_40,1.6041021611806363,1.604102161180636
pca_embed_32,1.6026505699141411,1.6026505699141411
pca_embed_35,1.5925796077532657,1.5925796077532657
pca_embed_25,1.576695219004426,1.5766952190044263
pca_embed_41,1.575323989170219,1.575323989170219
pca_embed_6,1.5719595029543885,1.5719595029543885
pca_embed_18,1.5640702449758423,1.5640702449758423
pca_embed_9,1.5364200904620187,1.5364200904620187
pca_embed_7,1.5070409616835168,1.5070409616835168
pca_embed_37,1.4931618879152757,1.4931618879152757
pca_embed_36,1.447627859632483,1.447627859632483
pca_embed_1,1.397024210844849,1.397024210844849
i,1.3791740774830885,1.3791740774830885
l,1.3035521967557835,1.3035521967557835
total_Op,1.2284381546604788,1.2284381546604788
branchCount,1.196959200424912,1.196959200424912
uniq_Opnd,1.1885938584971947,1.1885938584971947
v,1.1158890302344557,1.1158890302344557
e,1.1145926940912014,1.1145926940912014
v(g),0.991082408550012,0.991082408550012
lOCode,0.9002751311012421,0.900275131101242
total_Opnd,0.8726931176695539,0.8726931176695538
iv(g),0.8665924736093906,0.8665924736093906
t,0.8601421682044091,0.8601421682044091
uniq_Op,0.8589118318305735,0.8589118318305735
d,0.8482331218497605,0.8482331218497605
n,0.7461498480552513,0.7461498480552513
b,0.6699527862587529,0.6699527862587529
lOComment,0.6688490848759436,0.6688490848759436
ev(g),0.5887994341421339,0.5887994341421339
locCodeAndComment,0.5005545954193553,0.5005545954193553
