feature_name,raw_gain,percentage_share
loc,13.032556196518637,13.032556196518644
i,8.042442450409023,8.042442450409027
lOBlank,7.723017304822562,7.723017304822566
lOCode,6.121596592521094,6.1215965925210964
d,5.667893637510907,5.667893637510909
total_Op,5.197274126762818,5.197274126762821
v,4.8244183138537,4.824418313853702
iv(g),4.773104503418019,4.773104503418021
uniq_Opnd,4.74999094548835,4.749990945488352
total_Opnd,4.652528488798814,4.652528488798816
n,4.284215500637404,4.284215500637406
uniq_Op,4.275725150906993,4.275725150906995
lOComment,3.716404876731242,3.7164048767312434
branchCount,3.667835601166915,3.667835601166917
t,3.4813562105474896,3.4813562105474913
e,3.478191613784257,3.478191613784259
v(g),3.227796289455008,3.2277962894550094
ev(g),2.925308715253766,2.925308715253767
l,2.6337999909294676,2.6337999909294685
locCodeAndComment,1.8582546934988806,1.8582546934988815
b,1.6662887969846192,1.6662887969846198
