feature_name,raw_gain,percentage_share
Curricular_units_2nd_sem_approved,22677.971763628535,14.246747744004917
pca_embed_0,11744.528425617144,7.37814367157898
Curricular_units_1st_sem_approved,10082.676257126033,6.334135464888621
Tuition_fees_up_to_date,9458.167343465379,5.941806686568355
pca_embed_3,9164.445384872146,5.7572847771767846
Curricular_units_2nd_sem_grade,7706.9378912597895,4.841649912960441
pca_embed_2,6818.785368640441,4.283695035873367
pca_embed_1,6705.073946250603,4.212259284595192
pca_embed_4,5647.01026179269,3.5475628749391808
pca_embed_5,5004.1102030025795,3.1436804176517787
Curricular_units_1st_sem_grade,4898.693002344109,3.0774552595417797
Scholarship_holder,3831.675550316926,2.4071339170545865
Debtor,2216.661938264966,1.3925506124338278
pca_embed_6,2181.830434633419,1.3706687770141843
pca_embed_7,2089.353040938644,1.31257266005431
pca_embed_8,1995.825286349631,1.253816685729044
pca_embed_10,1877.82126336894,1.1796842383608905
Gender,1798.5272341701202,1.1298701701816032
pca_embed_9,1687.7800970388344,1.0602966411850356
pca_embed_16,1686.7349531867967,1.059640061268129
pca_embed_19,1669.2901724996045,1.0486809070505319
pca_embed_23,1597.7236004890874,1.0037213794100466
Curricular_units_2nd_sem_evaluations,1582.9691567954303,0.9944523477877485
pca_embed_26,1566.980493573472,0.9844079551912103
GDP,1457.0982283987105,0.9153777557623791
pca_embed_12,1449.0825165035203,0.910342127949201
pca_embed_17,1393.8338150833733,0.8756338074467885
Age_at_enrollment,1347.4341171933338,0.8464846049463414
pca_embed_24,1340.542320677545,0.8421550428723233
pca_embed_25,1317.3820503884926,0.827605305711953
Course,1308.5036900937557,0.8220277452132503
Displaced,1260.8129614647478,0.7920674918190308
pca_embed_20,1253.3300244505517,0.7873665636612265
Admission_grade,1206.7520135231316,0.7581053414048018
pca_embed_13,1155.8758828127757,0.7261439557934155
pca_embed_28,1154.9217909350991,0.7255445765170173
pca_embed_14,1118.5785110034049,0.7027130135018882
pca_embed_11,1102.2370909210294,0.6924470121099203
Curricular_units_1st_sem_evaluations,1101.5521056130528,0.6920166908716363
pca_embed_18,1048.9926284700632,0.6589977939342166
Inflation_rate,996.3984088017933,0.625957071059327
Unemployment_rate,983.9380377172492,0.6181292209548964
pca_embed_15,982.6018919504713,0.6172898279136265
pca_embed_22,943.6188583734911,0.5927999197571112
pca_embed_27,938.3182207141072,0.5894699549611973
pca_embed_21,842.8208812586963,0.5294766486979409
Curricular_units_2nd_sem_enrolled,840.4363221563399,0.5279786217859209
Previous_qualification_grade,830.2894485271536,0.5216041562696898
Application_order,640.3246745057404,0.40226455024414004
Daytimeevening_attendance,621.3069851342589,0.3903172638653872
Curricular_units_1st_sem_enrolled,596.8415313661098,0.3749475847816319
Mothers_occupation,547.6688536796719,0.34405634185224876
Fathers_occupation,533.6256405394524,0.3352341192474531
Curricular_units_1st_sem_credited,473.31055684387684,0.29734299778713075
Application_mode,469.08220902457833,0.29468666655154496
International,382.9036999626769,0.24054763276332644
Mothers_qualification,340.5325736030936,0.21392925810592034
Fathers_qualification,332.0046836361289,0.20857186995788352
Previous_qualification,278.70785798411816,0.17508975618974662
Curricular_units_2nd_sem_credited,244.29039454290796,0.15346802895830844
Marital_status,225.88013166561723,0.14190233984609954
Curricular_units_1st_sem_without_evaluations,168.6066737882793,0.10592202752760635
Educational_special_needs,113.46769348205999,0.07128263598624077
Curricular_units_2nd_sem_without_evaluations,106.63372483383864,0.0669894025156092
Nationality,37.878137001767755,0.023795790404084183
