feature_name,raw_gain,percentage_share
Curricular_units_2nd_sem_approved,24.97969611749973,24.97969611749973
pca_embed_0,7.337341799982393,7.337341799982393
Curricular_units_1st_sem_approved,5.832160909499447,5.832160909499447
pca_embed_3,5.162498304358552,5.162498304358552
Curricular_units_2nd_sem_grade,3.2074821043888746,3.207482104388874
pca_embed_2,2.7088142629950536,2.7088142629950536
Course,2.6583957228188413,2.6583957228188413
pca_embed_1,2.3292654617538924,2.3292654617538924
Application_mode,2.061770416515808,2.061770416515808
Mothers_occupation,1.9420885584571723,1.9420885584571723
Fathers_occupation,1.867285516714139,1.867285516714139
pca_embed_4,1.8268228288566613,1.8268228288566613
Mothers_qualification,1.7061543837341746,1.7061543837341746
Tuition_fees_up_to_date,1.5652198544360236,1.5652198544360236
pca_embed_5,1.4938372136800562,1.4938372136800562
Fathers_qualification,1.4402964224993415,1.4402964224993415
Previous_qualification,1.2522688487490288,1.2522688487490288
pca_embed_6,1.1665732685795707,1.1665732685795707
Curricular_units_1st_sem_grade,1.1129723677483585,1.1129723677483585
pca_embed_7,1.0155585134036353,1.0155585134036353
Curricular_units_2nd_sem_evaluations,0.9774744885943071,0.9774744885943071
pca_embed_13,0.9736744493864012,0.9736744493864012
pca_embed_9,0.9462946467129031,0.9462946467129032
pca_embed_16,0.9330479727405705,0.9330479727405704
pca_embed_8,0.9165697040472028,0.916569704047203
Curricular_units_1st_sem_enrolled,0.9101150994795533,0.9101150994795533
pca_embed_10,0.900364521547973,0.9003645215479729
pca_embed_26,0.8898602450024965,0.8898602450024965
pca_embed_20,0.8561947410388528,0.8561947410388528
pca_embed_14,0.8318058902706428,0.8318058902706429
pca_embed_25,0.8282675484727234,0.8282675484727233
pca_embed_17,0.8129643510042526,0.8129643510042526
pca_embed_24,0.8007068752002127,0.8007068752002127
pca_embed_19,0.796618368408547,0.796618368408547
pca_embed_21,0.7911890024844127,0.7911890024844126
pca_embed_18,0.7778174986633694,0.7778174986633694
GDP,0.7774894418704489,0.7774894418704489
pca_embed_12,0.7738423496481315,0.7738423496481315
pca_embed_22,0.767611564146986,0.767611564146986
Unemployment_rate,0.7635067819372341,0.7635067819372341
Admission_grade,0.7559465151046746,0.7559465151046746
pca_embed_15,0.73871542046293,0.73871542046293
pca_embed_11,0.7335544868332936,0.7335544868332936
Curricular_units_2nd_sem_enrolled,0.7331890003851075,0.7331890003851075
pca_embed_23,0.7310255803149969,0.7310255803149969
pca_embed_28,0.6982539495613823,0.6982539495613823
pca_embed_27,0.6681441597661337,0.6681441597661337
Age_at_enrollment,0.6298064938545945,0.6298064938545945
Scholarship_holder,0.6207558850930303,0.6207558850930303
Previous_qualification_grade,0.6128641932071549,0.6128641932071549
Curricular_units_1st_sem_evaluations,0.5645413488818661,0.5645413488818661
Inflation_rate,0.5533430750410027,0.5533430750410027
Application_order,0.42642068457209803,0.4264206845720981
Nationality,0.3879512745570186,0.3879512745570186
Curricular_units_1st_sem_credited,0.22573755189425943,0.22573755189425945
Marital_status,0.20364140757046112,0.20364140757046112
Debtor,0.19575965169498452,0.19575965169498452
Gender,0.18115373286115516,0.18115373286115516
Curricular_units_2nd_sem_credited,0.17664968693723634,0.17664968693723634
Curricular_units_1st_sem_without_evaluations,0.13045276843581022,0.13045276843581022
Displaced,0.13041193674023654,0.13041193674023654
Curricular_units_2nd_sem_without_evaluations,0.1141852869269204,0.1141852869269204
Daytimeevening_attendance,0.059910168860563655,0.05991016886056366
Educational_special_needs,0.019141214173487683,0.019141214173487683
International,0.016526108941616904,0.016526108941616904
