number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.21059523809523806,2026-06-24 15:33:14.602569,2026-06-24 15:33:15.379451,0 days 00:00:00.776882,,,,,,,,,,,,,,83,{},COMPLETE
1,0.1891666666666667,2026-06-24 15:33:15.393907,2026-06-24 15:33:18.306823,0 days 00:00:02.912916,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,447,,COMPLETE
2,0.19541666666666668,2026-06-24 15:33:18.319935,2026-06-24 15:33:19.509195,0 days 00:00:01.189260,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,476,,COMPLETE
3,0.2198809523809524,2026-06-24 15:33:19.523421,2026-06-24 15:33:20.181899,0 days 00:00:00.658478,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,997,,COMPLETE
4,0.22860119047619043,2026-06-24 15:33:20.193255,2026-06-24 15:33:20.375839,0 days 00:00:00.182584,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,78,,COMPLETE
5,0.17511904761904762,2026-06-24 15:33:20.386513,2026-06-24 15:33:22.232756,0 days 00:00:01.846243,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,72,,COMPLETE
6,0.21833333333333338,2026-06-24 15:33:22.245768,2026-06-24 15:33:22.946409,0 days 00:00:00.700641,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,720,,COMPLETE
7,0.19226190476190474,2026-06-24 15:33:22.955899,2026-06-24 15:33:24.875021,0 days 00:00:01.919122,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,427,,COMPLETE
8,0.18940476190476185,2026-06-24 15:33:24.888138,2026-06-24 15:33:26.740262,0 days 00:00:01.852124,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,134,,COMPLETE
9,0.19011904761904763,2026-06-24 15:33:26.749918,2026-06-24 15:33:27.773727,0 days 00:00:01.023809,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,250,,COMPLETE
10,0.19577380952380952,2026-06-24 15:33:27.782128,2026-06-24 15:33:28.495168,0 days 00:00:00.713040,0.7022641957948879,1.0,0.04511907294391529,0.04720368256012399,False,0.6839963928728011,0.028575443310857374,0.7118736529455119,0.09147573288296829,99.0,18.0,23.0,146.0,85,,COMPLETE
11,0.19690476190476192,2026-06-24 15:33:28.503562,2026-06-24 15:33:31.654934,0 days 00:00:03.151372,0.997185108046352,1.0,0.10355398368539027,59.004773178182376,False,0.997017217496806,0.6379161258052591,0.6865342032051936,0.0056614118574980525,8.0,1.0,64.0,16.0,731,,COMPLETE
