number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2031547619047619,2026-06-24 15:36:35.110078,2026-06-24 15:36:35.724237,0 days 00:00:00.614159,,,,,,,,,,,,61,{},COMPLETE
1,0.18767857142857136,2026-06-24 15:36:35.739708,2026-06-24 15:36:40.934701,0 days 00:00:05.194993,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,231,,COMPLETE
2,0.1897619047619048,2026-06-24 15:36:40.948350,2026-06-24 15:36:41.830387,0 days 00:00:00.882037,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,163,,COMPLETE
3,0.18452380952380953,2026-06-24 15:36:41.839374,2026-06-24 15:36:45.228798,0 days 00:00:03.389424,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,302,,COMPLETE
4,0.19071428571428573,2026-06-24 15:36:45.240859,2026-06-24 15:36:48.654467,0 days 00:00:03.413608,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,759,,COMPLETE
5,0.19946428571428565,2026-06-24 15:36:48.663916,2026-06-24 15:36:51.969497,0 days 00:00:03.305581,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,796,,COMPLETE
6,0.1875,2026-06-24 15:36:51.978594,2026-06-24 15:36:55.461864,0 days 00:00:03.483270,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,526,,COMPLETE
7,0.19547619047619058,2026-06-24 15:36:55.470668,2026-06-24 15:36:58.826154,0 days 00:00:03.355486,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.18607142857142844,2026-06-24 15:36:58.834961,2026-06-24 15:37:02.851653,0 days 00:00:04.016692,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,831,,COMPLETE
9,0.18654761904761907,2026-06-24 15:37:02.862142,2026-06-24 15:37:04.540991,0 days 00:00:01.678849,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,254,,COMPLETE
