number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,7.410581033843041,2026-06-24 16:58:05.756891,2026-06-24 16:58:08.250057,0 days 00:00:02.493166,,,,,,,,,,,,,,23,{},COMPLETE
1,7.499842644991808,2026-06-24 16:58:08.264680,2026-06-24 16:58:16.614468,0 days 00:00:08.349788,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,153,,COMPLETE
2,7.378588275004016,2026-06-24 16:58:16.623442,2026-06-24 16:58:22.452383,0 days 00:00:05.828941,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,453,,COMPLETE
3,7.4234638637539785,2026-06-24 16:58:22.464543,2026-06-24 16:58:26.729931,0 days 00:00:04.265388,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,7.39351829251831,2026-06-24 16:58:26.738810,2026-06-24 16:58:30.108484,0 days 00:00:03.369674,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,998,,COMPLETE
5,7.799124652238092,2026-06-24 16:58:30.116659,2026-06-24 16:58:41.410540,0 days 00:00:11.293881,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,18,,COMPLETE
6,7.404300301485819,2026-06-24 16:58:41.420448,2026-06-24 16:58:44.521528,0 days 00:00:03.101080,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,756,,COMPLETE
7,7.355126028873384,2026-06-24 16:58:44.530828,2026-06-24 16:58:51.831062,0 days 00:00:07.300234,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,239,,COMPLETE
8,7.646912774653909,2026-06-24 16:58:51.842720,2026-06-24 16:59:00.939625,0 days 00:00:09.096905,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,43,,COMPLETE
9,7.363794647399805,2026-06-24 16:59:00.964987,2026-06-24 16:59:04.771885,0 days 00:00:03.806898,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,50,,COMPLETE
10,7.323233511526487,2026-06-24 16:59:04.780504,2026-06-24 16:59:14.336245,0 days 00:00:09.555741,0.9908611332363597,1.0,0.03512175732792625,55.54162315706866,True,0.6839963928728011,0.5905156421247704,0.02569074131920096,0.005556572437269131,99.0,19.0,23.0,12.0,1000,,COMPLETE
11,7.322294924867306,2026-06-24 16:59:14.348379,2026-06-24 16:59:23.807540,0 days 00:00:09.459161,0.9984567420564903,1.0,0.03352561511977935,52.38654328518467,True,0.6606137630538468,0.6091129560474012,0.07101727097318089,0.005738601544760158,100.0,21.0,22.0,14.0,1000,,COMPLETE
12,7.330565139895088,2026-06-24 16:59:23.821541,2026-06-24 16:59:32.457333,0 days 00:00:08.635792,0.998616078450363,1.0,0.02676229286869991,55.53187773415999,True,0.6845696095993247,0.6520293429889962,0.03804429992316361,0.005255135061222826,100.0,15.0,23.0,8.0,1000,,COMPLETE
13,7.328086719514845,2026-06-24 16:59:32.466665,2026-06-24 16:59:41.442561,0 days 00:00:08.975896,0.9985353113769252,1.0,0.02914770065052806,54.968351402679744,True,0.6433675493110087,0.6360410952129852,0.5758898080001819,0.0052007496586138,99.0,23.0,22.0,10.0,1000,,COMPLETE
14,7.317940190799552,2026-06-24 16:59:41.451977,2026-06-24 16:59:51.708623,0 days 00:00:10.256646,0.9605080248750977,1.0,0.0055838132272772,89.40824084383351,True,0.7842567150859745,0.6293657331632125,0.43579878177655923,0.008291154641249288,66.0,26.0,36.0,15.0,1000,,COMPLETE
15,7.317702503183497,2026-06-24 16:59:51.722055,2026-06-24 17:00:02.401849,0 days 00:00:10.679794,0.9191796543739653,1.0,0.005218266243290512,98.95687836909025,True,0.789808277976172,0.7590091192238623,0.5099076817503314,0.009006824541820979,57.0,32.0,43.0,19.0,857,,COMPLETE
16,7.340548798100404,2026-06-24 17:00:02.415730,2026-06-24 17:00:10.001055,0 days 00:00:07.585325,0.9179529721791937,1.0,0.006282068728733329,14.45530425068901,True,0.8006754697504556,0.7794502594914474,0.7120172347255748,0.009641113166690661,32.0,38.0,47.0,5.0,961,,COMPLETE
17,7.317306614691287,2026-06-24 17:00:10.010144,2026-06-24 17:00:21.012844,0 days 00:00:11.002700,0.7964213466755055,1.0,0.005041891483930411,95.74738509612254,True,0.7977041228181876,0.7670271414026139,0.9015904517191156,0.00818183918706734,26.0,64.0,42.0,24.0,792,,COMPLETE
18,7.323068181923434,2026-06-24 17:00:21.025744,2026-06-24 17:00:28.132199,0 days 00:00:07.106455,0.7106077375554529,1.0,0.012996966526735685,0.36967575476309333,True,0.8796609974036012,0.8119251834415823,0.9396826870671133,0.013019373982071928,26.0,60.0,12.0,27.0,362,,COMPLETE
19,7.3186008891109084,2026-06-24 17:00:28.142383,2026-06-24 17:00:33.755376,0 days 00:00:05.612993,0.8006872099736219,1.0,0.005237841843042017,20.57007542844907,True,0.7719727339389696,0.8895674638241589,1.1470096825756664,0.030539550602294446,19.0,10.0,82.0,63.0,159,,COMPLETE
20,7.316712948361073,2026-06-24 17:00:33.764425,2026-06-24 17:01:01.991129,0 days 00:00:28.226704,0.794091493001118,1.0,0.015367657821211097,4.873487769614051,True,0.8745031247207258,0.7325937076040033,0.824564298749583,0.007798023423799105,25.0,38.0,37.0,165.0,552,,COMPLETE
21,7.315687023904056,2026-06-24 17:01:02.004242,2026-06-24 17:01:30.807960,0 days 00:00:28.803718,0.7765983755779468,1.0,0.016075529498362023,3.9037753657514926,True,0.8566795796460805,0.768436351514385,0.8254760661321725,0.007846638450822476,26.0,37.0,35.0,189.0,548,,COMPLETE
22,7.3179916548442145,2026-06-24 17:01:30.823232,2026-06-24 17:02:02.593534,0 days 00:00:31.770302,0.7828960347895416,1.0,0.018440675207020116,0.2694711003409093,True,0.8834291871041491,0.7225329011488016,0.8299751348268503,0.006772705782845092,26.0,60.0,34.0,190.0,630,,COMPLETE
23,7.320679396291531,2026-06-24 17:02:02.609589,2026-06-24 17:02:17.104064,0 days 00:00:14.494475,0.7494478610119301,1.0,0.016420502009953906,2.349901991003418,True,0.9236794103082646,0.5010894290949055,1.1668760347310763,0.011160257638858292,24.0,39.0,13.0,106.0,341,,COMPLETE
24,7.31292494417097,2026-06-24 17:02:17.115891,2026-06-24 17:02:44.157399,0 days 00:00:27.041508,0.7716502756854975,1.0,0.06532233630157715,0.07315943662461448,True,0.832917596365526,0.878408652959528,0.825624151408976,0.007413182373939181,15.0,13.0,61.0,119.0,717,,COMPLETE
25,7.312930402331228,2026-06-24 17:02:44.170898,2026-06-24 17:03:26.393418,0 days 00:00:42.222520,0.7583183081788043,1.0,0.07450222990721406,0.11736346634684994,True,0.990711058421796,0.8650730514423353,1.2216128822808932,0.006805801987040124,13.0,12.0,78.0,198.0,709,,COMPLETE
