number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,2.9599311134466104,2026-06-25 03:02:38.776350,2026-06-25 03:02:42.713682,0 days 00:00:03.937332,,,,,,,,,,,,,,100,{},COMPLETE
1,2.8946289481462575,2026-06-25 03:02:42.727505,2026-06-25 03:03:07.936879,0 days 00:00:25.209374,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,2.902286740449057,2026-06-25 03:03:07.950487,2026-06-25 03:03:16.205122,0 days 00:00:08.254635,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,530,,COMPLETE
3,2.8932851214616693,2026-06-25 03:03:16.214269,2026-06-25 03:04:01.156255,0 days 00:00:44.941986,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,2.898914276434838,2026-06-25 03:04:01.169437,2026-06-25 03:04:08.416027,0 days 00:00:07.246590,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,458,,COMPLETE
5,2.8890191473219273,2026-06-25 03:04:08.424328,2026-06-25 03:06:08.873964,0 days 00:02:00.449636,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,2.898099505005368,2026-06-25 03:06:08.886534,2026-06-25 03:06:18.940975,0 days 00:00:10.054441,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,400,,COMPLETE
7,2.889711206010792,2026-06-25 03:06:18.949682,2026-06-25 03:09:24.889528,0 days 00:03:05.939846,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,2.8903616299327437,2026-06-25 03:09:24.899210,2026-06-25 03:12:32.380934,0 days 00:03:07.481724,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,2.9168394493939527,2026-06-25 03:12:32.389290,2026-06-25 03:13:11.176555,0 days 00:00:38.787265,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,270,,COMPLETE
