number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.7496881551712253,2026-06-25 04:46:02.157333,2026-06-25 04:46:07.311248,0 days 00:00:05.153915,,,,,,,,,,,,10,{},COMPLETE
1,0.7368700353434281,2026-06-25 04:46:07.327729,2026-06-25 04:47:33.943944,0 days 00:01:26.616215,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,261,,COMPLETE
2,0.7398388703573633,2026-06-25 04:47:33.956390,2026-06-25 04:47:40.528663,0 days 00:00:06.572273,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,69,,COMPLETE
3,0.7367620616392077,2026-06-25 04:47:40.537615,2026-06-25 04:48:25.437111,0 days 00:00:44.899496,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,216,,COMPLETE
4,0.7345025996746384,2026-06-25 04:48:25.448778,2026-06-25 04:48:46.418384,0 days 00:00:20.969606,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,412,,COMPLETE
5,0.7359046477939695,2026-06-25 04:48:46.432022,2026-06-25 04:49:00.815145,0 days 00:00:14.383123,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,196,,COMPLETE
6,0.7364662563314026,2026-06-25 04:49:00.823592,2026-06-25 04:49:19.942671,0 days 00:00:19.119079,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,269,,COMPLETE
7,0.7351390934069433,2026-06-25 04:49:19.951665,2026-06-25 04:49:57.650956,0 days 00:00:37.699291,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.735120033961744,2026-06-25 04:49:57.659599,2026-06-25 04:50:20.242745,0 days 00:00:22.583146,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,363,,COMPLETE
9,0.7378997741835042,2026-06-25 04:50:20.253300,2026-06-25 04:50:34.749465,0 days 00:00:14.496165,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,170,,COMPLETE
10,0.7403275734885337,2026-06-25 04:50:34.758498,2026-06-25 04:50:52.015895,0 days 00:00:17.257397,0.8067426612208689,0.9630659181130071,lossguide,0.08641685654424158,31.0,7.0,137.0,0.05330630380208628,4.7988577526525065,2.5876151166352477,0.9729161367647149,43,,COMPLETE
11,0.7351654601191884,2026-06-25 04:50:52.024663,2026-06-25 04:51:21.933877,0 days 00:00:29.909214,0.97422475043257,0.7708449222533328,depthwise,0.007631609688708743,45.0,5.0,100.0,0.09577630678348173,0.03136188345709323,3.3642039785002864,0.7583456077143143,526,,COMPLETE
12,0.7351983231706141,2026-06-25 04:51:21.942389,2026-06-25 04:51:46.707164,0 days 00:00:24.764775,0.8157266657691016,0.7291307885159549,depthwise,0.010247194466389494,91.0,5.0,110.0,0.09909199881818531,0.9818702536731095,4.971418225794803,0.723386600583146,446,,COMPLETE
13,0.7356999213909428,2026-06-25 04:51:46.716052,2026-06-25 04:51:55.521443,0 days 00:00:08.805391,0.8861307862102439,0.883798810243418,depthwise,0.0364822543842359,14.0,4.0,55.0,4.866898981828709,1.0522260977505589,3.6125954486160503,0.8358277126374244,116,,COMPLETE
14,0.7354796371894402,2026-06-25 04:51:55.530947,2026-06-25 04:52:33.562737,0 days 00:00:38.031790,0.7495910822966338,0.7005424337543547,lossguide,0.010605642416818913,34.0,6.0,241.0,0.28045822018461186,0.2670696293404993,3.0482475386887744,0.9178581456448356,407,,COMPLETE
15,0.7355346349215472,2026-06-25 04:52:33.593386,2026-06-25 04:52:56.947843,0 days 00:00:23.354457,0.6132003474911671,0.8937243027997998,lossguide,0.01025237417582529,59.0,4.0,21.0,0.020632919445076704,1.0188898566026179,1.792015584924231,0.7926625480650832,458,,COMPLETE
16,0.735682762988161,2026-06-25 04:52:56.956244,2026-06-25 04:53:34.788806,0 days 00:00:37.832562,0.9156004804052825,0.7595783448113417,depthwise,0.006672521066435252,11.0,5.0,69.0,0.9699237240770512,2.606985296204103,3.930163231695479,0.6997108097658562,702,,COMPLETE
17,0.7362208246353505,2026-06-25 04:53:34.798437,2026-06-25 04:53:48.814595,0 days 00:00:14.016158,0.7707479923219709,0.8081868560766363,depthwise,0.0356863977250977,25.0,6.0,168.0,0.17403750557109499,4.082694686525883,4.956386852998385,0.8690045836379999,141,,COMPLETE
18,0.7375384053515206,2026-06-25 04:53:48.830164,2026-06-25 04:54:07.821251,0 days 00:00:18.991087,0.6589045438667185,0.7075496061281158,lossguide,0.013935056466356678,41.0,4.0,28.0,1.1848741161449718,1.481333218580351,2.8232167254681393,0.6045069592622337,363,,COMPLETE
19,0.7355010200582969,2026-06-25 04:54:07.830026,2026-06-25 04:54:38.515121,0 days 00:00:30.685095,0.8604629585815665,0.9267880433897815,depthwise,0.007639372044947846,70.0,5.0,491.0,0.031097159192888094,0.5357781842146492,1.9083088930479097,0.9834399962929773,528,,COMPLETE
20,0.7379298005379594,2026-06-25 04:54:38.523602,2026-06-25 04:54:50.811636,0 days 00:00:12.288034,0.9356651181665276,0.9989879313923895,lossguide,0.0327058315965888,11.0,7.0,8.0,2.4204669033113664,0.06968721693075244,4.240256463755374,0.7808035118246838,177,,COMPLETE
21,0.7362456366563217,2026-06-25 04:54:50.820147,2026-06-25 04:55:23.313865,0 days 00:00:32.493718,0.9437546906951262,0.6091497488421054,depthwise,0.005095815389007805,19.0,10.0,8.0,0.4778920174847739,1.8342010215764206,0.29988107547707044,0.8950519805584949,1000,,COMPLETE
22,0.7341673121969498,2026-06-25 04:55:23.323021,2026-06-25 04:56:00.754803,0 days 00:00:37.431782,0.8823630661884385,0.6657598517445137,depthwise,0.00547113729269119,27.0,9.0,14.0,0.2839956203505417,2.1741247802314554,0.3779693216432795,0.9422864667424152,1000,,COMPLETE
23,0.7334609531883631,2026-06-25 04:56:00.767616,2026-06-25 04:56:22.599585,0 days 00:00:21.831969,0.9876233694442227,0.6641302655284147,depthwise,0.012242824462321562,27.0,8.0,13.0,0.18198052398909864,3.8128528237225376,0.0744921894940953,0.9597980872083617,466,,COMPLETE
24,0.734442707793469,2026-06-25 04:56:22.612079,2026-06-25 04:56:57.112941,0 days 00:00:34.500862,0.9858236428533037,0.6656037618164192,depthwise,0.006818417257407664,24.0,8.0,15.0,0.17490898792271053,3.5185467855376586,0.034333693800164045,0.9399682617620093,781,,COMPLETE
25,0.7347831861347174,2026-06-25 04:56:57.123009,2026-06-25 04:57:31.311598,0 days 00:00:34.188589,0.9947647361543167,0.663945874007628,depthwise,0.007048073535244201,27.0,8.0,13.0,0.14067267898297098,3.913063177632239,0.031211490942872067,0.9549291159824506,777,,COMPLETE
