number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.8496879985842878,2026-06-25 05:27:55.612209,2026-06-25 05:28:02.465907,0 days 00:00:06.853698,,,,,,,,,,,,,,100,{},COMPLETE
1,0.7345703853658716,2026-06-25 05:28:02.483693,2026-06-25 05:28:30.481376,0 days 00:00:27.997683,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.7430884916234701,2026-06-25 05:28:30.493681,2026-06-25 05:28:38.513657,0 days 00:00:08.019976,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,341,,COMPLETE
3,0.736067289646458,2026-06-25 05:28:38.523256,2026-06-25 05:29:16.930923,0 days 00:00:38.407667,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.7455673741872021,2026-06-25 05:29:16.939405,2026-06-25 05:29:24.524442,0 days 00:00:07.585037,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,369,,COMPLETE
5,0.7347494667989792,2026-06-25 05:29:24.533983,2026-06-25 05:31:00.077702,0 days 00:01:35.543719,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.747189187637872,2026-06-25 05:31:00.087532,2026-06-25 05:31:13.202147,0 days 00:00:13.114615,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,431,,COMPLETE
7,0.7350645368860873,2026-06-25 05:31:13.210695,2026-06-25 05:33:49.565457,0 days 00:02:36.354762,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,1000,,COMPLETE
8,0.7371538689833204,2026-06-25 05:33:49.574510,2026-06-25 05:36:20.530142,0 days 00:02:30.955632,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.7505596876349883,2026-06-25 05:36:20.538978,2026-06-25 05:37:00.306866,0 days 00:00:39.767888,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,320,,COMPLETE
