number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.11407458305402998,2026-06-25 07:36:03.407529,2026-06-25 07:36:04.843326,0 days 00:00:01.435797,,,,,,,,,,,,30,{},COMPLETE
1,0.1116506183921004,2026-06-25 07:36:04.857244,2026-06-25 07:36:43.202985,0 days 00:00:38.345741,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,1000,,COMPLETE
2,0.11853306448146353,2026-06-25 07:36:43.215880,2026-06-25 07:36:50.232362,0 days 00:00:07.016482,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,561,,COMPLETE
3,0.11564003475309462,2026-06-25 07:36:50.241811,2026-06-25 07:37:10.199977,0 days 00:00:19.958166,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,1000,,COMPLETE
4,0.11915928872601789,2026-06-25 07:37:10.209916,2026-06-25 07:37:25.975652,0 days 00:00:15.765736,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.12425790248680442,2026-06-25 07:37:25.985063,2026-06-25 07:37:39.882927,0 days 00:00:13.897864,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,1000,,COMPLETE
6,0.11709459170384678,2026-06-25 07:37:39.891683,2026-06-25 07:37:59.294624,0 days 00:00:19.402941,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,0.1538873472032765,2026-06-25 07:37:59.303543,2026-06-25 07:38:11.215475,0 days 00:00:11.911932,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.11673056503563413,2026-06-25 07:38:11.223921,2026-06-25 07:38:25.010838,0 days 00:00:13.786917,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,1000,,COMPLETE
9,0.11352484000366714,2026-06-25 07:38:25.019718,2026-06-25 07:38:39.075864,0 days 00:00:14.056146,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,1000,,COMPLETE
10,0.12314551523410378,2026-06-25 07:38:39.084185,2026-06-25 07:38:46.250808,0 days 00:00:07.166623,0.8262452362725613,0.7202259292197385,lossguide,0.0864853073450281,8.0,7.0,971.0,0.05528731777524736,4.7988577526525065,2.58248067449815,0.9729161367647149,1000,,COMPLETE
11,0.11129218261660162,2026-06-25 07:38:46.258985,2026-06-25 07:39:02.439266,0 days 00:00:16.180281,0.6046474205309514,0.9934451536735682,depthwise,0.031790458723690476,29.0,10.0,366.0,0.04042693539277767,1.573844819665746,2.6859221413477004,0.6143298441164314,1000,,COMPLETE
12,0.11119464134709321,2026-06-25 07:39:02.451602,2026-06-25 07:39:17.292393,0 days 00:00:14.840791,0.6832384449578339,0.9984066126989741,depthwise,0.03789339775622382,31.0,10.0,706.0,0.07468257012566243,1.2194504168217553,2.9786214466713585,0.6134343539737889,840,,COMPLETE
13,0.11132529287562623,2026-06-25 07:39:17.306515,2026-06-25 07:39:30.527002,0 days 00:00:13.220487,0.7237153061989431,0.9980542727874653,depthwise,0.04230887169822177,32.0,10.0,284.0,0.05090057180402597,1.2440041811653146,2.8756220391219838,0.6052561262871232,682,,COMPLETE
14,0.11452081487699287,2026-06-25 07:39:30.536113,2026-06-25 07:39:42.678123,0 days 00:00:12.142010,0.6043956756975085,0.9205170455861619,depthwise,0.03716183214757016,34.0,8.0,444.0,0.06303778320874585,2.569836323292532,1.6749607638010404,0.6922024797237817,1000,,COMPLETE
15,0.11808247137241351,2026-06-25 07:39:42.687613,2026-06-25 07:39:54.139466,0 days 00:00:11.451853,0.7764118010291039,0.9075522800557438,depthwise,0.03642697975991697,34.0,9.0,162.0,0.01334137491131252,4.085765918801954,3.332711542974665,0.6012640651885367,1000,,COMPLETE
16,0.11274605726966312,2026-06-25 07:39:54.148490,2026-06-25 07:40:02.615899,0 days 00:00:08.467409,0.6786780362255161,0.9994227365141046,depthwise,0.060622866520930296,25.0,10.0,602.0,0.10024718629363112,1.096109728200584,2.0335756181687437,0.714600907382719,468,,COMPLETE
