number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.1484634551297716,2026-06-25 07:42:05.545443,2026-06-25 07:42:08.101849,0 days 00:00:02.556406,,,,,,,,,,,,35,{},COMPLETE
1,0.13357145119331895,2026-06-25 07:42:08.116408,2026-06-25 07:43:15.649300,0 days 00:01:07.532892,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,1000,,COMPLETE
2,0.1378600434393926,2026-06-25 07:43:15.663714,2026-06-25 07:43:24.409959,0 days 00:00:08.746245,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,574,,COMPLETE
3,0.1389665500894559,2026-06-25 07:43:24.419075,2026-06-25 07:43:56.910215,0 days 00:00:32.491140,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,1000,,COMPLETE
4,0.1394405638849524,2026-06-25 07:43:56.920236,2026-06-25 07:44:16.157859,0 days 00:00:19.237623,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,1000,,COMPLETE
5,0.141901645064322,2026-06-25 07:44:16.166466,2026-06-25 07:44:33.281075,0 days 00:00:17.114609,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,1000,,COMPLETE
6,0.13574552810366802,2026-06-25 07:44:33.289762,2026-06-25 07:45:01.620008,0 days 00:00:28.330246,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,1000,,COMPLETE
7,0.21802908348483047,2026-06-25 07:45:01.630530,2026-06-25 07:45:17.546300,0 days 00:00:15.915770,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,1000,,COMPLETE
8,0.13636399654363268,2026-06-25 07:45:17.554560,2026-06-25 07:45:39.046062,0 days 00:00:21.491502,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,1000,,COMPLETE
9,0.13386947007976152,2026-06-25 07:45:39.057911,2026-06-25 07:46:00.198512,0 days 00:00:21.140601,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,1000,,COMPLETE
10,0.1480404439994074,2026-06-25 07:46:00.207954,2026-06-25 07:46:10.300105,0 days 00:00:10.092151,0.8262452362725613,0.7202259292197385,lossguide,0.0864853073450281,8.0,7.0,971.0,0.05528731777524736,4.7988577526525065,2.58248067449815,0.9729161367647149,1000,,COMPLETE
11,0.1351411190610642,2026-06-25 07:46:10.308569,2026-06-25 07:46:35.254835,0 days 00:00:24.946266,0.6046474205309514,0.9934451536735682,depthwise,0.031790458723690476,29.0,10.0,366.0,0.04042693539277767,1.573844819665746,2.6859221413477004,0.6143298441164314,1000,,COMPLETE
12,0.14575292277020302,2026-06-25 07:46:35.263455,2026-06-25 07:47:01.833636,0 days 00:00:26.570181,0.6838815379137628,0.8911897308951136,depthwise,0.0080760183343821,30.0,6.0,706.0,0.0013459039828471252,1.2194504168217553,2.5749005730633145,0.6994124578001686,1000,,COMPLETE
13,0.1346774147657178,2026-06-25 07:47:01.842241,2026-06-25 07:47:17.793899,0 days 00:00:15.951658,0.602905407024933,0.6963529070506236,depthwise,0.03663053703759853,11.0,7.0,222.0,0.05090057180402597,0.031223607302119483,3.313594042372241,0.6052561262871233,405,,COMPLETE
14,0.14180319840321592,2026-06-25 07:47:17.803691,2026-06-25 07:47:37.139701,0 days 00:00:19.336010,0.7553082698269054,0.8906119515873293,lossguide,0.046050307808350566,28.0,10.0,176.0,0.012602439495315679,2.778074900739916,1.6912633789287002,0.9877079408194872,1000,,COMPLETE
15,0.14179839755251178,2026-06-25 07:47:37.148419,2026-06-25 07:48:18.255603,0 days 00:00:41.107184,0.6557456986923008,0.7064949191538366,lossguide,0.007787130278823456,13.0,6.0,425.0,0.0010522635652398865,1.01595432264829,0.06599475398317933,0.8250051428101366,1000,,COMPLETE
16,0.14486151622861204,2026-06-25 07:48:18.264389,2026-06-25 07:48:37.580673,0 days 00:00:19.316284,0.7758071033940748,0.8803490931102191,depthwise,0.02247106421958931,23.0,8.0,700.0,4.769904923909972,4.371171472097869,1.9388123578047254,0.6891404984361571,1000,,COMPLETE
17,0.15172258236594746,2026-06-25 07:48:37.589725,2026-06-25 07:48:57.285491,0 days 00:00:19.695766,0.6484604632588751,0.6645949882893198,depthwise,0.010270782784764268,55.0,5.0,168.0,0.12954076694398586,2.2679785408172566,4.956386852998385,0.7408099713544737,1000,,COMPLETE
18,0.14193364852842957,2026-06-25 07:48:57.294660,2026-06-25 07:49:25.201570,0 days 00:00:27.906910,0.6082503369845529,0.7478869311737018,lossguide,0.01749850750816677,41.0,6.0,994.0,0.021193013199747167,3.5197464049874734,3.425085600459459,0.9439412561893237,1000,,COMPLETE
19,0.1342440703083697,2026-06-25 07:49:25.210196,2026-06-25 07:49:46.232016,0 days 00:00:21.021820,0.686164528957634,0.8558671462318518,depthwise,0.03299356557243857,11.0,8.0,290.0,1.268769420199407,1.2475146131377393,4.128705850368662,0.6318273349929541,860,,COMPLETE
20,0.13635976900517915,2026-06-25 07:49:46.242742,2026-06-25 07:50:03.156540,0 days 00:00:16.913798,0.7580871998105609,0.9352670682954658,lossguide,0.05459128725962434,83.0,7.0,575.0,0.13405054355715518,0.6609281689574125,3.0147035830453373,0.7486721528730329,273,,COMPLETE
21,0.1350878653618246,2026-06-25 07:50:03.166587,2026-06-25 07:50:25.025451,0 days 00:00:21.858864,0.6877856768965716,0.8372697955013177,depthwise,0.029431033550187252,11.0,9.0,254.0,1.5098478348564155,1.34958118837257,4.129615984741174,0.6392355856317787,875,,COMPLETE
22,0.1366260630370462,2026-06-25 07:50:25.035225,2026-06-25 07:50:43.519715,0 days 00:00:18.484490,0.6547056615055072,0.854489212100215,depthwise,0.03732644529020471,11.0,8.0,115.0,1.9981729116482758,1.7564579732395493,4.0105685287485136,0.6617186070894258,1000,,COMPLETE
23,0.13424150973586046,2026-06-25 07:50:43.528189,2026-06-25 07:51:10.356294,0 days 00:00:26.828105,0.7181179307717442,0.7615612664317423,depthwise,0.02422006618115706,8.0,9.0,277.0,0.8232038874132404,0.9169256774288853,4.935785373135289,0.6328930542865185,1000,,COMPLETE
24,0.1342586076260028,2026-06-25 07:51:10.365232,2026-06-25 07:51:52.801053,0 days 00:00:42.435821,0.7276334541230597,0.7595520776766922,depthwise,0.014839833205421156,8.0,10.0,140.0,0.1737014865794856,0.2688707896954,4.677452624408406,0.7100798706449529,1000,,COMPLETE
25,0.13520485514923264,2026-06-25 07:51:52.810094,2026-06-25 07:52:25.631877,0 days 00:00:32.821783,0.7983880806692214,0.6728327356258498,depthwise,0.02243219088169603,14.0,9.0,530.0,0.003138425082243106,0.9600178682364717,4.95969581495201,0.8513972396841298,854,,COMPLETE
