number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_max_bin,params_max_ctr_complexity,params_model_size_reg,params_one_hot_max_size,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2504501289362275,2026-06-25 07:52:44.479315,2026-06-25 07:52:55.635809,0 days 00:00:11.156494,,,,,,,,,,,,,,100,{},COMPLETE
1,0.11129636290162102,2026-06-25 07:52:55.650643,2026-06-25 07:53:16.917398,0 days 00:00:21.266755,Plain,Bernoulli,0.8733991780504303,4.0,SymmetricTree,0.00018747059221802545,12.0,0.015355286838886862,254.0,2.0,0.6803900745073703,36.0,0.9852142919229748,1000,,COMPLETE
2,0.11673432333991479,2026-06-25 07:53:16.930772,2026-06-25 07:53:22.361636,0 days 00:00:05.430864,Plain,Bernoulli,0.8956363364439306,4.0,SymmetricTree,0.02922905212920092,2.0,0.09138013915892866,254.0,2.0,0.5243180891902851,16.0,0.9497327922401265,402,,COMPLETE
3,0.11357727634408725,2026-06-25 07:53:22.371974,2026-06-25 07:53:41.365678,0 days 00:00:18.993704,Plain,Bernoulli,0.9271351657620417,4.0,Depthwise,0.06077686426194464,1.0,0.011996621453406362,254.0,2.0,0.15869086642715013,36.0,0.8099085529881075,1000,,COMPLETE
4,0.11334283541918702,2026-06-25 07:53:41.374572,2026-06-25 07:53:46.956860,0 days 00:00:05.582288,Plain,Bernoulli,0.9526349539768235,4.0,SymmetricTree,0.011702088154220882,1.0,0.08580222514877409,254.0,5.0,0.10975998502129433,27.0,0.9896896099223678,598,,COMPLETE
5,0.107969767997937,2026-06-25 07:53:46.966266,2026-06-25 07:54:41.213881,0 days 00:00:54.247615,Plain,Bernoulli,0.877728168328829,6.0,Depthwise,3.597899951374983,9.0,0.010855517271883068,254.0,4.0,1.128232550122133,86.0,0.8987566853061946,1000,,COMPLETE
6,0.13595822174086944,2026-06-25 07:54:41.227740,2026-06-25 07:54:49.234130,0 days 00:00:08.006390,Plain,Bernoulli,0.9083015934534223,5.0,SymmetricTree,0.001883913511943895,11.0,0.07913270952323785,254.0,4.0,0.21399549030176218,19.0,0.7265477506155759,335,,COMPLETE
7,0.1257413891631615,2026-06-25 07:54:49.243770,2026-06-25 07:55:29.594257,0 days 00:00:40.350487,Plain,Bernoulli,0.8798073522301258,7.0,Depthwise,0.00010615690854925657,10.0,0.007626348515257587,254.0,5.0,0.7200770311577639,47.0,0.9406590942262119,503,,COMPLETE
8,0.1098233523485566,2026-06-25 07:55:29.605007,2026-06-25 07:56:58.748561,0 days 00:01:29.143554,Plain,Bernoulli,0.8996347037278973,7.0,Depthwise,0.00019891099118865958,2.0,0.006241720498669827,254.0,4.0,0.7212460519889856,17.0,0.8075397185632818,1000,,COMPLETE
9,0.12374282864275592,2026-06-25 07:56:58.758014,2026-06-25 07:57:16.751113,0 days 00:00:17.993099,Plain,Bernoulli,0.9341915796354244,7.0,Depthwise,0.4195190175255899,3.0,0.07132805718188966,254.0,2.0,0.318293122389662,29.0,0.8416644775485848,285,,COMPLETE
